"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AMBUJACEM","EQ","05-Oct-2018","213.70","213.00","214.25","207.00","208.25","208.45","210.50","30,07,099","63,29,82,958.40","24,791","18,08,921","60.16"
"AMBUJACEM","EQ","08-Oct-2018","208.45","206.45","210.65","202.40","207.55","208.10","205.74","24,83,769","51,10,05,568.00","43,204","7,82,601","31.51"
"AMBUJACEM","EQ","09-Oct-2018","208.10","210.00","211.95","202.45","204.50","204.70","205.95","17,90,998","36,88,51,453.00","38,665","5,44,729","30.41"
"AMBUJACEM","EQ","10-Oct-2018","204.70","204.10","210.60","203.15","209.35","209.90","208.24","26,55,944","55,30,73,109.35","36,502","12,66,018","47.67"
"AMBUJACEM","EQ","11-Oct-2018","209.90","204.00","208.80","200.35","207.20","207.85","204.72","35,96,264","73,62,31,088.90","52,417","19,47,038","54.14"
"AMBUJACEM","EQ","12-Oct-2018","207.85","210.00","220.80","208.90","218.20","219.60","216.06","56,95,694","1,23,06,02,579.90","82,088","32,89,642","57.76"
"AMBUJACEM","EQ","15-Oct-2018","219.60","218.80","218.90","209.60","217.50","217.00","213.38","59,76,849","1,27,53,57,106.75","51,758","35,87,448","60.02"
"AMBUJACEM","EQ","16-Oct-2018","217.00","218.00","223.80","217.00","221.60","221.50","221.83","37,61,860","83,44,79,807.25","48,533","20,53,125","54.58"
"AMBUJACEM","EQ","17-Oct-2018","221.50","223.50","227.85","217.40","218.00","219.30","224.53","53,46,216","1,20,04,06,429.65","34,552","31,13,721","58.24"
"AMBUJACEM","EQ","19-Oct-2018","219.30","214.90","215.00","207.85","211.20","209.20","210.81","54,27,052","1,14,40,71,884.60","49,010","32,12,276","59.19"
"AMBUJACEM","EQ","22-Oct-2018","209.20","212.05","213.45","204.70","204.95","206.00","209.34","38,03,442","79,62,11,579.25","31,100","16,78,967","44.14"
"AMBUJACEM","EQ","23-Oct-2018","206.00","202.80","206.00","196.80","201.05","200.60","201.13","84,24,281","1,69,43,45,257.85","61,311","39,83,850","47.29"
"AMBUJACEM","EQ","24-Oct-2018","200.60","202.00","204.45","192.95","195.00","196.40","197.15","1,48,49,782","2,92,75,60,349.55","3,44,145","63,91,902","43.04"
"AMBUJACEM","EQ","25-Oct-2018","196.40","194.00","197.45","191.80","192.35","192.55","194.19","71,80,208","1,39,43,11,065.45","64,081","48,97,258","68.20"
"AMBUJACEM","EQ","26-Oct-2018","192.55","193.65","193.65","188.50","190.45","190.45","190.99","1,64,13,375","3,13,47,32,304.35","23,385","1,38,43,464","84.34"
"AMBUJACEM","EQ","29-Oct-2018","190.45","192.00","194.35","189.05","192.55","193.10","190.89","1,67,72,923","3,20,18,11,875.85","27,945","1,24,59,211","74.28"
"AMBUJACEM","EQ","30-Oct-2018","193.10","193.10","197.10","192.05","192.35","192.45","194.51","39,81,871","77,45,13,959.25","34,031","14,30,537","35.93"
"AMBUJACEM","EQ","31-Oct-2018","192.45","193.00","198.70","188.35","196.65","197.15","193.21","86,28,188","1,66,70,59,424.50","37,783","62,58,577","72.54"
"AMBUJACEM","EQ","01-Nov-2018","197.15","197.60","201.00","197.20","199.60","199.95","199.36","34,16,848","68,11,89,184.25","25,324","12,18,140","35.65"
"AMBUJACEM","EQ","02-Nov-2018","199.95","202.00","208.00","201.40","204.00","204.05","205.16","41,74,804","85,65,00,312.80","40,782","21,03,656","50.39"
"AMBUJACEM","EQ","05-Nov-2018","204.05","203.90","206.10","202.40","205.60","205.45","204.45","26,29,132","53,75,38,121.20","32,913","13,51,510","51.41"
"AMBUJACEM","EQ","06-Nov-2018","205.45","206.00","206.95","203.25","204.00","204.20","205.27","17,57,806","36,08,21,663.00","43,804","9,78,373","55.66"
