"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AMBUJACEM","EQ","05-Oct-2020","221.20","221.20","224.20","219.45","221.70","221.35","221.39","32,59,420","72,16,04,111.20","33,828","7,05,398","21.64"
"AMBUJACEM","EQ","06-Oct-2020","221.35","222.95","227.75","220.10","227.70","225.30","223.04","49,29,361","1,09,94,39,775.65","66,393","19,63,760","39.84"
"AMBUJACEM","EQ","07-Oct-2020","225.30","226.00","237.75","225.00","235.00","234.80","233.77","1,69,14,960","3,95,42,28,000.20","1,26,279","51,85,276","30.65"
"AMBUJACEM","EQ","08-Oct-2020","234.80","234.80","239.95","231.40","237.60","238.15","235.51","81,42,299","1,91,76,15,031.00","60,297","23,09,107","28.36"
"AMBUJACEM","EQ","09-Oct-2020","238.15","236.55","240.55","235.00","238.75","239.35","237.51","66,02,985","1,56,82,50,214.85","47,148","24,10,969","36.51"
"AMBUJACEM","EQ","12-Oct-2020","239.35","238.00","242.35","233.20","238.50","238.40","238.20","64,41,943","1,53,44,95,400.00","44,894","18,05,054","28.02"
"AMBUJACEM","EQ","13-Oct-2020","238.40","237.00","249.35","236.80","241.90","241.75","244.63","1,61,50,051","3,95,07,88,859.60","1,03,182","53,59,932","33.19"
"AMBUJACEM","EQ","14-Oct-2020","241.75","241.95","248.00","240.15","248.00","246.60","244.45","1,03,84,793","2,53,85,57,280.30","57,060","36,55,242","35.20"
"AMBUJACEM","EQ","15-Oct-2020","246.60","248.00","250.00","240.80","241.85","243.35","245.52","80,31,726","1,97,19,18,690.55","68,185","27,33,259","34.03"
"AMBUJACEM","EQ","16-Oct-2020","243.35","243.30","249.00","240.15","247.65","248.00","245.32","1,25,91,434","3,08,89,08,130.00","67,208","50,60,273","40.19"
"AMBUJACEM","EQ","19-Oct-2020","248.00","249.20","249.70","243.40","247.15","247.60","245.76","1,09,69,208","2,69,58,02,248.60","48,494","45,09,609","41.11"
"AMBUJACEM","EQ","20-Oct-2020","247.60","249.90","254.90","247.05","251.75","251.45","251.27","2,01,95,023","5,07,44,71,807.75","1,39,573","59,69,124","29.56"
"AMBUJACEM","EQ","21-Oct-2020","251.45","251.90","254.30","245.95","253.50","253.35","251.12","94,78,126","2,38,01,42,281.95","56,247","26,87,464","28.35"
"AMBUJACEM","EQ","22-Oct-2020","253.35","253.00","255.60","249.50","254.50","253.60","252.76","1,15,69,824","2,92,43,93,364.35","74,815","34,58,985","29.90"
