"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BERGEPAINT","EQ","05-Oct-2023","560.25","567.00","568.65","561.85","563.20","563.20","564.07","7,54,638","42,56,67,954.95","17,272","3,19,987","42.40"
"BERGEPAINT","EQ","06-Oct-2023","563.20","566.90","568.00","561.00","565.10","565.35","565.48","4,39,072","24,82,85,845.15","16,106","1,66,454","37.91"
"BERGEPAINT","EQ","09-Oct-2023","565.35","555.00","565.25","553.00","562.00","562.80","561.69","7,98,497","44,85,08,712.55","28,216","3,26,024","40.83"
"BERGEPAINT","EQ","10-Oct-2023","562.80","567.70","567.70","559.00","561.70","561.80","562.70","4,93,565","27,77,27,974.00","14,515","2,39,317","48.49"
"BERGEPAINT","EQ","11-Oct-2023","561.80","566.45","567.40","559.50","560.60","560.85","562.24","5,58,543","31,40,34,346.95","20,691","2,65,584","47.55"
"BERGEPAINT","EQ","12-Oct-2023","560.85","561.75","568.55","561.60","566.00","565.85","565.21","5,82,423","32,91,93,327.10","16,464","3,09,033","53.06"
"BERGEPAINT","EQ","13-Oct-2023","565.85","564.90","572.25","561.55","567.00","568.25","568.39","9,02,939","51,32,18,601.40","16,341","4,20,506","46.57"
"BERGEPAINT","EQ","16-Oct-2023","568.25","564.90","571.45","560.25","569.40","569.20","567.99","9,28,701","52,74,93,403.80","24,871","4,27,640","46.05"
"BERGEPAINT","EQ","17-Oct-2023","569.20","572.00","575.00","567.15","574.50","573.95","571.80","7,58,296","43,35,92,789.65","18,525","4,22,172","55.67"
"BERGEPAINT","EQ","18-Oct-2023","573.95","575.00","578.15","570.40","571.00","572.35","574.59","8,69,903","49,98,36,144.10","19,034","3,51,933","40.46"
"BERGEPAINT","EQ","19-Oct-2023","572.35","571.00","577.75","566.00","576.00","576.30","574.43","7,15,364","41,09,27,295.60","15,299","3,81,472","53.33"
"BERGEPAINT","EQ","20-Oct-2023","576.30","572.00","585.90","571.05","585.90","584.25","581.05","9,09,357","52,83,81,545.75","23,485","2,82,851","31.10"
"BERGEPAINT","EQ","23-Oct-2023","584.25","585.05","585.05","569.20","571.25","570.50","575.33","7,88,489","45,36,44,691.25","21,487","2,01,765","25.59"
"BERGEPAINT","EQ","25-Oct-2023","570.50","572.05","578.55","560.85","560.90","563.20","568.07","15,91,076","90,38,41,437.00","87,147","8,99,977","56.56"
"BERGEPAINT","EQ","26-Oct-2023","563.20","559.20","561.95","533.10","536.50","537.75","547.43","32,16,925","1,76,10,41,645.45","55,137","17,35,700","53.96"
"BERGEPAINT","EQ","27-Oct-2023","537.75","539.95","546.90","535.95","538.35","537.55","539.45","22,50,687","1,21,41,39,279.15","36,158","14,05,525","62.45"
"BERGEPAINT","EQ","30-Oct-2023","537.55","535.00","547.15","534.50","545.90","545.75","542.86","9,92,646","53,88,63,940.85","27,401","5,30,477","53.44"
