"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BPCL","EQ","06-Oct-2020","354.15","356.70","360.40","350.20","351.40","352.05","354.14","68,86,918","2,43,89,53,554.30","72,202","10,30,063","14.96"
"BPCL","EQ","07-Oct-2020","352.05","353.00","353.70","341.00","342.25","342.25","346.19","1,02,76,023","3,55,74,97,951.75","1,28,174","28,65,135","27.88"
"BPCL","EQ","08-Oct-2020","342.25","344.90","345.00","337.60","340.00","340.05","340.81","95,89,647","3,26,82,06,663.05","1,22,003","30,85,902","32.18"
"BPCL","EQ","09-Oct-2020","340.05","340.50","350.20","339.60","345.45","345.00","345.18","1,34,30,785","4,63,59,97,245.85","1,25,677","30,36,764","22.61"
"BPCL","EQ","12-Oct-2020","345.00","347.00","349.80","340.45","340.80","341.60","344.87","47,97,109","1,65,44,02,003.30","58,204","9,48,751","19.78"
"BPCL","EQ","13-Oct-2020","341.60","342.40","343.70","338.00","338.10","339.10","340.27","52,79,555","1,79,64,87,397.45","52,832","15,58,958","29.53"
"BPCL","EQ","14-Oct-2020","339.10","337.75","338.90","328.50","332.10","332.90","331.96","80,89,512","2,68,53,76,525.55","89,948","17,32,050","21.41"
"BPCL","EQ","15-Oct-2020","332.90","334.00","338.70","325.00","326.00","326.65","331.99","54,11,341","1,79,65,25,127.65","66,753","14,51,487","26.82"
"BPCL","EQ","16-Oct-2020","326.65","328.90","343.40","327.50","341.00","339.95","337.22","1,34,53,185","4,53,67,22,577.90","1,29,433","16,07,821","11.95"
"BPCL","EQ","19-Oct-2020","339.95","344.00","347.80","341.05","346.90","346.65","344.83","73,75,287","2,54,32,24,933.80","66,500","14,29,203","19.38"
"BPCL","EQ","20-Oct-2020","346.65","345.95","349.75","341.65","343.70","343.35","345.27","52,43,128","1,81,03,01,084.60","69,475","13,19,376","25.16"
"BPCL","EQ","21-Oct-2020","343.35","360.50","363.05","345.10","350.50","349.55","352.33","1,70,57,233","6,00,98,52,045.80","1,54,846","20,07,070","11.77"
"BPCL","EQ","22-Oct-2020","349.55","348.70","350.80","344.00","349.75","349.35","347.38","58,29,503","2,02,50,35,270.80","80,138","8,05,289","13.81"
