"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","07-Oct-2013","310.05","305.15","306.60","298.10","300.00","299.75","300.24","63,71,754","1,91,30,66,444.95","91,421","45,05,091","70.70"
"COALINDIA","EQ","08-Oct-2013","299.75","301.00","302.00","294.25","296.50","296.35","296.37","25,45,544","75,44,26,311.25","40,302","15,62,325","61.37"
"COALINDIA","EQ","09-Oct-2013","296.35","296.50","298.35","291.15","297.10","296.25","294.06","22,53,222","66,25,77,824.05","31,258","11,41,651","50.67"
"COALINDIA","EQ","10-Oct-2013","296.25","295.00","299.25","292.85","293.50","293.95","295.62","12,70,541","37,56,01,238.85","18,634","6,68,119","52.59"
"COALINDIA","EQ","11-Oct-2013","293.95","297.00","297.40","280.70","282.10","282.55","287.78","34,40,986","99,02,33,261.45","72,730","19,06,263","55.40"
"COALINDIA","EQ","14-Oct-2013","282.55","284.00","287.80","282.25","285.05","285.25","285.91","11,84,284","33,85,96,984.30","20,016","5,46,196","46.12"
"COALINDIA","EQ","15-Oct-2013","285.25","286.00","287.20","279.45","283.00","283.45","282.39","15,01,343","42,39,60,078.00","30,086","7,27,959","48.49"
"COALINDIA","EQ","17-Oct-2013","283.45","282.90","286.70","281.15","283.00","283.95","284.39","8,71,980","24,79,82,774.95","17,946","4,91,940","56.42"
"COALINDIA","EQ","18-Oct-2013","283.95","282.25","287.90","282.25","286.00","286.10","286.59","15,18,954","43,53,12,167.75","27,313","9,98,769","65.75"
"COALINDIA","EQ","21-Oct-2013","286.10","284.00","289.45","282.25","288.00","287.90","286.80","19,36,086","55,52,69,374.05","35,553","11,42,815","59.03"
"COALINDIA","EQ","22-Oct-2013","287.90","286.10","293.95","285.35","293.50","292.95","292.49","25,62,561","74,95,32,498.35","52,733","16,39,188","63.97"
"COALINDIA","EQ","23-Oct-2013","292.95","290.00","293.00","287.00","289.20","289.85","290.33","18,49,940","53,70,88,863.85","47,269","13,23,147","71.52"
"COALINDIA","EQ","24-Oct-2013","289.85","287.05","290.00","278.00","278.80","279.30","283.13","25,91,299","73,36,67,472.95","33,688","17,16,980","66.26"
"COALINDIA","EQ","25-Oct-2013","279.30","279.30","281.70","276.20","279.00","278.95","278.90","25,33,958","70,67,12,279.25","70,683","15,82,284","62.44"
"COALINDIA","EQ","28-Oct-2013","278.95","279.50","280.10","275.10","276.10","276.55","277.01","16,76,949","46,45,26,504.00","32,711","10,77,315","64.24"
