"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CIPLA","EQ","07-Oct-2019","418.35","419.95","419.95","405.50","408.30","408.25","411.02","25,64,196","1,05,39,26,200.15","72,908","9,17,481","35.78"
"CIPLA","EQ","09-Oct-2019","408.25","408.30","427.00","407.50","423.35","423.35","417.79","41,17,690","1,72,03,48,683.40","59,791","16,14,750","39.21"
"CIPLA","EQ","10-Oct-2019","423.35","423.10","427.30","418.55","422.95","422.15","423.13","23,81,621","1,00,77,35,804.65","35,214","11,09,618","46.59"
"CIPLA","EQ","11-Oct-2019","422.15","422.55","443.00","389.55","442.05","441.35","422.49","1,73,54,782","7,33,22,70,604.75","1,76,315","44,93,599","25.89"
"CIPLA","EQ","14-Oct-2019","441.35","441.35","446.45","433.50","440.90","440.90","439.52","58,61,895","2,57,64,19,203.85","66,762","16,11,954","27.50"
"CIPLA","EQ","15-Oct-2019","440.90","440.00","448.50","435.35","446.30","446.55","444.00","31,53,015","1,39,99,30,321.65","42,434","15,12,367","47.97"
"CIPLA","EQ","16-Oct-2019","446.55","446.30","447.85","438.95","445.30","446.80","443.27","21,80,925","96,67,39,858.70","41,167","5,62,926","25.81"
"CIPLA","EQ","17-Oct-2019","446.80","445.30","447.70","439.40","445.50","446.30","443.23","18,18,421","80,59,72,384.10","52,716","4,24,623","23.35"
"CIPLA","EQ","18-Oct-2019","446.30","448.50","451.15","440.10","440.20","444.15","445.69","28,50,227","1,27,03,14,041.00","38,211","10,25,726","35.99"
"CIPLA","EQ","22-Oct-2019","444.15","441.25","457.75","440.20","453.65","453.90","451.37","23,33,810","1,05,34,12,411.95","56,529","8,07,534","34.60"
"CIPLA","EQ","23-Oct-2019","453.90","453.65","456.80","448.10","453.30","454.25","453.77","22,62,575","1,02,66,96,225.90","41,985","11,79,978","52.15"
"CIPLA","EQ","24-Oct-2019","454.25","455.00","456.00","443.55","447.90","446.85","449.18","17,33,751","77,87,74,060.10","42,582","7,99,170","46.09"
"CIPLA","EQ","25-Oct-2019","446.85","447.10","461.45","441.75","459.60","459.85","450.95","26,47,759","1,19,40,12,913.90","63,109","12,88,357","48.66"
"CIPLA","EQ","27-Oct-2019","459.85","462.00","463.90","459.50","462.00","461.05","461.61","1,79,612","8,29,10,235.05","3,975","46,702","26.00"
"CIPLA","EQ","29-Oct-2019","461.05","463.90","478.40","462.00","472.25","473.05","472.34","34,98,572","1,65,25,29,815.55","81,941","15,58,460","44.55"
"CIPLA","EQ","30-Oct-2019","473.05","478.95","478.95","462.25","463.15","465.00","465.65","26,40,132","1,22,93,66,281.15","50,512","13,59,944","51.51"
"CIPLA","EQ","31-Oct-2019","465.00","465.00","472.70","460.15","472.00","466.85","465.10","39,44,718","1,83,46,70,249.00","81,657","26,21,452","66.45"
"CIPLA","EQ","01-Nov-2019","466.85","467.30","474.20","462.40","468.50","469.20","468.90","36,49,879","1,71,14,29,581.50","63,021","20,07,816","55.01"
"CIPLA","EQ","04-Nov-2019","469.20","471.40","478.50","467.05","468.20","468.30","471.62","23,93,325","1,12,87,51,066.80","40,727","9,35,388","39.08"
"CIPLA","EQ","05-Nov-2019","468.30","470.15","475.50","465.15","467.85","467.85","470.24","13,91,429","65,43,05,311.45","29,733","3,50,329","25.18"
"CIPLA","EQ","06-Nov-2019","467.85","469.05","487.95","464.25","482.00","480.85","477.31","1,77,51,556","8,47,29,61,828.15","2,08,415","37,50,152","21.13"
"CIPLA","EQ","07-Nov-2019","480.85","482.00","487.40","470.00","471.80","471.85","478.33","58,92,783","2,81,87,14,068.60","75,353","23,08,890","39.18"
"CIPLA","EQ","08-Nov-2019","471.85","470.10","470.10","461.25","462.55","462.50","463.88","43,00,075","1,99,47,33,369.00","43,985","28,36,029","65.95"
"CIPLA","EQ","11-Nov-2019","462.50","459.40","459.40","451.75","454.40","454.85","455.44","41,09,355","1,87,15,83,537.05","35,365","25,57,330","62.23"
"CIPLA","EQ","13-Nov-2019","454.85","452.00","455.00","446.00","446.55","447.90","451.25","30,01,272","1,35,43,21,380.25","45,146","15,83,391","52.76"
"CIPLA","EQ","14-Nov-2019","447.90","445.20","458.20","442.65","451.95","451.40","449.91","26,59,601","1,19,65,80,300.10","45,399","12,81,467","48.18"
"CIPLA","EQ","15-Nov-2019","451.40","448.00","468.05","435.40","462.20","463.25","451.09","1,06,93,852","4,82,38,63,391.80","1,39,803","37,40,608","34.98"
"CIPLA","EQ","18-Nov-2019","463.25","463.00","472.00","457.65","458.95","460.60","464.28","28,47,404","1,32,20,03,632.10","39,141","4,57,515","16.07"
"CIPLA","EQ","19-Nov-2019","460.60","461.20","477.50","459.55","473.30","472.10","473.34","50,80,106","2,40,46,19,598.70","60,326","15,72,025","30.94"
"CIPLA","EQ","20-Nov-2019","472.10","472.00","483.70","468.65","480.65","482.60","479.21","40,80,054","1,95,51,97,804.15","45,014","12,11,394","29.69"
"CIPLA","EQ","21-Nov-2019","482.60","482.60","492.30","476.60","485.00","485.50","486.14","56,00,894","2,72,27,95,663.55","68,254","20,05,994","35.82"
"CIPLA","EQ","22-Nov-2019","485.50","485.00","485.00","472.70","478.65","478.85","478.81","27,78,328","1,33,02,91,276.60","43,339","6,40,477","23.05"
