"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","07-Oct-2013","640.45","636.50","638.15","618.25","635.50","634.30","625.70","24,80,500","1,55,20,49,824.30","56,687","13,17,756","53.12"
"HDFCBANK","EQ","08-Oct-2013","634.30","650.50","654.55","625.80","629.00","632.65","637.10","29,42,037","1,87,43,72,333.10","48,694","11,06,961","37.63"
"HDFCBANK","EQ","09-Oct-2013","632.65","625.20","650.90","623.00","649.50","649.15","641.87","21,67,190","1,39,10,45,707.35","35,909","9,45,385","43.62"
"HDFCBANK","EQ","10-Oct-2013","649.15","649.00","649.00","633.35","643.70","641.05","640.77","20,86,321","1,33,68,53,121.35","69,987","8,77,234","42.05"
"HDFCBANK","EQ","11-Oct-2013","641.05","647.30","663.75","639.35","660.35","661.30","651.22","33,47,566","2,18,00,10,529.85","63,943","14,71,360","43.95"
"HDFCBANK","EQ","14-Oct-2013","661.30","657.55","669.30","648.65","668.85","667.50","660.23","30,93,930","2,04,27,12,218.90","40,810","13,26,620","42.88"
"HDFCBANK","EQ","15-Oct-2013","667.50","673.00","675.00","646.60","648.05","652.45","658.71","40,35,831","2,65,84,29,714.30","84,997","13,70,085","33.95"
"HDFCBANK","EQ","17-Oct-2013","652.45","653.00","659.95","642.55","653.10","654.20","651.06","36,37,897","2,36,84,90,480.85","58,313","19,08,974","52.47"
"HDFCBANK","EQ","18-Oct-2013","654.20","655.25","679.55","655.25","674.10","676.60","670.67","53,20,296","3,56,81,87,554.35","69,625","36,45,596","68.52"
"HDFCBANK","EQ","21-Oct-2013","676.60","674.00","678.80","662.55","671.95","671.25","669.79","28,06,356","1,87,96,59,928.00","52,633","14,19,509","50.58"
"HDFCBANK","EQ","22-Oct-2013","671.25","671.00","673.95","665.20","667.10","669.00","668.99","21,89,524","1,46,47,73,489.95","32,927","10,86,860","49.64"
