"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","05-Oct-2021","700.20","693.00","699.00","691.85","697.95","697.10","695.51","74,97,208","5,21,44,17,734.85","1,89,189","45,64,359","60.88"
"ICICIBANK","EQ","06-Oct-2021","697.10","696.60","705.00","688.35","689.35","689.50","696.67","1,32,00,810","9,19,65,59,604.55","1,70,064","85,88,736","65.06"
"ICICIBANK","EQ","07-Oct-2021","689.50","697.55","704.95","693.45","701.05","702.20","699.44","1,00,41,549","7,02,34,36,461.25","2,28,947","59,48,632","59.24"
"ICICIBANK","EQ","08-Oct-2021","702.20","706.00","710.00","698.30","704.05","703.40","703.57","93,83,924","6,60,22,55,829.40","1,69,255","52,39,311","55.83"
"ICICIBANK","EQ","11-Oct-2021","703.40","702.00","719.40","700.30","712.00","713.30","712.15","93,37,637","6,64,98,37,044.35","1,99,278","53,09,336","56.86"
"ICICIBANK","EQ","12-Oct-2021","713.30","706.50","713.00","704.40","709.60","708.60","708.00","73,76,091","5,22,23,04,007.45","1,37,527","37,17,844","50.40"
"ICICIBANK","EQ","13-Oct-2021","708.60","713.85","715.90","707.95","708.90","709.95","712.42","63,57,766","4,52,93,94,998.50","1,28,473","37,47,784","58.95"
"ICICIBANK","EQ","14-Oct-2021","709.95","710.25","729.80","709.05","726.40","727.30","720.50","89,50,350","6,44,87,68,887.00","1,76,051","42,03,698","46.97"
"ICICIBANK","EQ","18-Oct-2021","727.30","739.00","748.90","732.05","743.50","745.45","742.83","1,53,45,601","11,39,92,41,962.00","2,57,813","84,90,176","55.33"
"ICICIBANK","EQ","19-Oct-2021","745.45","755.00","755.00","738.75","746.65","747.45","748.61","1,13,49,799","8,49,65,21,802.30","1,55,597","66,46,953","58.56"
"ICICIBANK","EQ","20-Oct-2021","747.45","746.75","757.45","741.90","746.75","745.85","750.52","1,27,62,996","9,57,88,22,545.00","1,80,985","70,59,185","55.31"
"ICICIBANK","EQ","21-Oct-2021","745.85","748.90","759.85","737.40","758.20","755.50","748.78","1,21,66,996","9,11,03,65,742.55","1,85,401","62,82,195","51.63"
"ICICIBANK","EQ","22-Oct-2021","755.50","758.50","765.85","753.35","758.00","759.30","760.42","1,32,48,928","10,07,46,95,190.40","1,81,107","60,07,101","45.34"
"ICICIBANK","EQ","25-Oct-2021","759.30","800.00","867.00","798.40","846.75","841.70","831.93","9,61,24,084","79,96,88,62,078.85","8,91,780","3,70,60,732","38.56"
"ICICIBANK","EQ","26-Oct-2021","841.70","828.70","841.70","822.35","831.80","829.40","830.18","1,69,25,115","14,05,08,64,477.20","3,83,583","90,04,644","53.20"
"ICICIBANK","EQ","27-Oct-2021","829.40","828.75","849.00","824.20","832.90","835.00","839.93","2,28,98,400","19,23,30,76,534.25","3,23,390","1,23,82,215","54.07"
"ICICIBANK","EQ","28-Oct-2021","835.00","830.10","831.95","796.25","801.80","798.70","811.09","1,87,50,423","15,20,82,62,727.95","2,73,726","1,05,38,030","56.20"
"ICICIBANK","EQ","29-Oct-2021","798.70","798.00","808.75","783.90","806.50","802.05","799.49","1,57,01,200","12,55,29,25,365.00","2,70,217","72,00,394","45.86"
