"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INDUSINDBK","EQ","08-Oct-2012","369.25","368.20","370.85","364.85","369.00","368.85","369.01","4,65,196","17,16,60,456.45","6,846","3,10,938","66.84"
"INDUSINDBK","EQ","09-Oct-2012","368.85","368.85","374.80","364.20","365.65","365.75","367.89","5,19,176","19,10,00,616.75","11,234","2,81,625","54.24"
"INDUSINDBK","EQ","10-Oct-2012","365.75","370.00","370.00","355.10","356.60","357.70","359.26","24,07,178","86,48,00,694.50","31,714","8,08,847","33.60"
"INDUSINDBK","EQ","11-Oct-2012","357.70","357.65","365.80","357.65","363.90","363.00","362.34","10,09,289","36,57,03,312.40","15,064","4,48,082","44.40"
"INDUSINDBK","EQ","12-Oct-2012","363.00","365.55","371.90","364.10","365.20","365.70","368.16","7,34,639","27,04,66,561.45","12,619","2,47,660","33.71"
"INDUSINDBK","EQ","15-Oct-2012","365.70","366.05","368.50","359.40","361.40","361.65","361.82","4,56,739","16,52,59,172.00","6,269","2,05,141","44.91"
"INDUSINDBK","EQ","16-Oct-2012","361.65","363.50","363.50","352.75","354.00","354.30","360.07","4,31,947","15,55,29,133.00","4,716","2,84,668","65.90"
"INDUSINDBK","EQ","17-Oct-2012","354.30","355.35","358.85","354.10","358.00","358.20","356.36","2,71,780","9,68,51,408.80","4,019","1,19,538","43.98"
"INDUSINDBK","EQ","18-Oct-2012","358.20","361.45","365.00","356.05","363.75","364.25","362.48","5,78,609","20,97,33,260.35","5,780","3,49,855","60.46"
"INDUSINDBK","EQ","19-Oct-2012","364.25","363.65","364.00","360.10","362.00","362.55","362.48","2,64,643","9,59,27,398.85","3,594","1,39,670","52.78"
"INDUSINDBK","EQ","22-Oct-2012","362.55","356.80","363.45","352.50","363.00","361.85","360.73","2,62,330","9,46,29,659.70","4,101","1,07,592","41.01"
"INDUSINDBK","EQ","23-Oct-2012","361.85","358.00","364.80","357.60","360.75","362.70","362.50","2,34,010","8,48,28,125.50","2,936","92,877","39.69"
"INDUSINDBK","EQ","25-Oct-2012","362.70","361.05","367.50","360.10","367.50","365.45","364.20","2,91,024","10,59,89,699.55","3,645","1,45,266","49.92"
"INDUSINDBK","EQ","26-Oct-2012","365.45","366.10","371.35","362.20","363.05","362.60","367.04","3,46,796","12,72,89,069.90","5,110","1,34,218","38.70"
"INDUSINDBK","EQ","29-Oct-2012","362.60","365.45","367.15","362.70","366.90","365.60","364.97","2,36,919","8,64,67,686.05","3,526","1,57,168","66.34"
"INDUSINDBK","EQ","30-Oct-2012","365.60","362.95","370.00","356.00","360.45","361.70","362.50","3,73,732","13,54,76,196.90","5,681","1,25,912","33.69"
"INDUSINDBK","EQ","31-Oct-2012","361.70","360.65","365.00","358.30","362.90","364.10","362.66","1,86,100","6,74,91,035.10","3,291","71,446","38.39"
"INDUSINDBK","EQ","01-Nov-2012","364.10","363.80","368.00","362.05","364.50","363.90","365.03","1,87,609","6,84,83,363.45","2,395","92,559","49.34"
"INDUSINDBK","EQ","02-Nov-2012","363.90","365.55","369.75","365.00","365.75","365.85","367.49","2,96,883","10,91,00,112.10","4,158","1,29,152","43.50"
"INDUSINDBK","EQ","05-Nov-2012","365.85","366.40","368.80","361.50","363.50","362.90","364.48","1,52,013","5,54,05,098.35","2,210","61,669","40.57"
"INDUSINDBK","EQ","06-Nov-2012","362.90","362.95","365.00","361.05","364.85","363.05","362.62","1,46,551","5,31,41,849.75","3,410","68,994","47.08"
"INDUSINDBK","EQ","07-Nov-2012","363.05","364.50","370.85","362.60","366.45","367.20","367.85","6,07,541","22,34,82,916.15","5,917","3,44,002","56.62"
"INDUSINDBK","EQ","08-Nov-2012","367.20","362.90","367.00","362.00","363.85","362.80","363.80","2,41,115","8,77,16,767.30","4,464","1,13,149","46.93"
"INDUSINDBK","EQ","09-Nov-2012","362.80","363.00","368.80","361.25","367.00","368.00","367.45","14,91,780","54,81,58,810.35","3,822","13,48,433","90.39"
"INDUSINDBK","EQ","12-Nov-2012","368.00","368.95","379.20","365.40","377.00","376.80","374.64","10,43,728","39,10,18,918.00","17,137","5,05,513","48.43"
"INDUSINDBK","EQ","13-Nov-2012","376.80","376.00","378.25","375.00","375.80","376.15","376.77","1,09,351","4,12,00,240.95","1,693","65,905","60.27"
"INDUSINDBK","EQ","15-Nov-2012","376.15","373.55","379.45","372.55","377.90","377.50","376.18","2,79,064","10,49,79,145.15","4,237","1,29,077","46.25"
"INDUSINDBK","EQ","16-Nov-2012","377.50","377.85","387.00","373.55","377.00","377.90","382.35","6,38,316","24,40,63,060.30","8,476","2,79,894","43.85"
"INDUSINDBK","EQ","19-Nov-2012","377.90","378.85","381.10","369.15","374.00","373.35","373.76","4,21,504","15,75,42,146.75","6,205","2,31,228","54.86"
"INDUSINDBK","EQ","20-Nov-2012","373.35","389.00","390.00","366.20","368.00","368.70","372.31","17,23,286","64,16,04,949.85","6,070","15,25,538","88.52"
"INDUSINDBK","EQ","21-Nov-2012","368.70","370.00","371.95","366.90","367.50","368.05","368.79","7,52,380","27,74,67,264.20","12,308","4,96,630","66.01"
"INDUSINDBK","EQ","22-Nov-2012","368.05","368.50","374.95","367.80","374.50","373.10","371.13","3,05,533","11,33,92,211.95","4,251","1,56,269","51.15"
"INDUSINDBK","EQ","23-Nov-2012","373.10","374.85","377.85","371.45","373.75","374.10","374.76","9,74,122","36,50,65,885.30","10,275","7,26,445","74.57"
"INDUSINDBK","EQ","26-Nov-2012","374.10","377.00","386.45","377.00","385.00","384.35","383.78","7,60,821","29,19,89,179.10","14,275","3,53,940","46.52"
"INDUSINDBK","EQ","27-Nov-2012","384.35","385.65","399.50","385.65","392.85","394.10","395.20","17,32,436","68,46,54,374.90","26,585","10,64,408","61.44"
"INDUSINDBK","EQ","29-Nov-2012","394.10","393.95","419.50","393.00","413.10","416.95","410.72","25,40,800","1,04,35,60,758.55","38,164","16,49,529","64.92"
