"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","07-Oct-2019","793.45","794.85","802.00","786.10","788.80","789.55","791.09","36,79,845","2,91,10,78,094.65","1,18,304","19,78,821","53.77"
"INFY","EQ","09-Oct-2019","789.55","795.45","795.90","778.80","783.75","783.65","783.69","63,35,025","4,96,46,68,557.95","1,48,580","41,54,272","65.58"
"INFY","EQ","10-Oct-2019","783.65","785.40","794.70","776.60","782.50","783.05","786.97","1,04,02,917","8,18,68,20,531.95","1,23,048","73,00,873","70.18"
"INFY","EQ","11-Oct-2019","783.05","781.50","823.80","776.60","815.00","814.80","807.01","2,06,36,344","16,65,37,57,511.40","3,18,660","1,12,25,299","54.40"
"INFY","EQ","14-Oct-2019","814.80","786.75","797.00","780.00","786.30","786.10","789.64","1,51,50,858","11,96,37,46,229.55","3,08,844","70,57,980","46.58"
"INFY","EQ","15-Oct-2019","786.10","773.10","775.95","765.00","769.00","768.30","769.68","1,37,62,133","10,59,23,75,902.55","2,98,596","83,37,226","60.58"
"INFY","EQ","16-Oct-2019","768.30","765.25","775.95","761.55","771.00","771.45","770.12","1,07,67,032","8,29,18,83,880.80","2,58,065","56,24,891","52.24"
"INFY","EQ","17-Oct-2019","771.45","767.00","770.55","765.10","769.40","769.50","768.53","98,60,495","7,57,81,23,003.70","2,02,471","71,75,174","72.77"
"INFY","EQ","18-Oct-2019","769.50","763.80","773.80","760.00","767.50","767.85","767.62","1,00,37,200","7,70,47,58,992.10","1,87,743","55,35,843","55.15"
"INFY","EQ","22-Oct-2019","767.85","691.10","691.10","638.35","640.00","643.55","658.16","9,01,52,532","59,33,44,53,056.60","16,43,015","5,77,59,158","64.07"
"INFY","EQ","23-Oct-2019","643.55","630.00","656.65","615.10","650.35","650.60","643.94","6,05,16,887","38,96,91,47,748.65","10,59,289","2,87,05,698","47.43"
"INFY","EQ","24-Oct-2019","650.60","650.00","653.20","632.00","634.70","635.35","643.72","2,56,66,433","16,52,18,76,122.75","3,93,942","1,40,70,797","54.82"
"INFY","EQ","25-Oct-2019","635.35","647.00","652.50","636.00","637.10","637.45","643.66","1,65,49,337","10,65,22,15,420.25","3,27,171","82,98,797","50.15"
"INFY","EQ","27-Oct-2019","637.45","651.10","652.50","645.55","649.95","648.85","648.43","29,45,433","1,90,99,14,669.20","67,356","16,46,327","55.89"
"INFY","EQ","29-Oct-2019","648.85","651.00","653.75","647.00","650.90","650.65","650.33","1,67,09,764","10,86,69,29,874.75","3,09,792","1,17,33,053","70.22"
"INFY","EQ","30-Oct-2019","650.65","660.40","671.40","656.20","662.25","660.60","664.01","2,28,79,467","15,19,22,76,718.45","3,19,118","1,31,97,793","57.68"
"INFY","EQ","31-Oct-2019","660.60","668.40","695.45","666.10","687.00","685.60","685.39","2,74,05,901","18,78,36,89,651.60","4,24,958","1,21,37,949","44.29"
