"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","05-Oct-2018","287.10","285.50","286.00","275.10","276.05","276.50","280.41","1,76,22,969","4,94,16,79,510.40","1,56,108","1,16,59,870","66.16"
"ITC","EQ","08-Oct-2018","276.50","279.00","279.40","269.15","273.50","273.20","273.60","1,64,30,487","4,49,53,97,995.20","1,71,056","1,05,20,337","64.03"
"ITC","EQ","09-Oct-2018","273.20","275.50","275.50","267.75","267.95","268.50","271.27","1,05,40,674","2,85,93,27,449.90","87,278","68,79,382","65.27"
"ITC","EQ","10-Oct-2018","268.50","269.90","271.15","267.20","270.50","270.10","269.63","1,14,79,650","3,09,52,64,441.20","1,01,761","72,25,871","62.95"
"ITC","EQ","11-Oct-2018","270.10","265.00","269.30","263.65","265.25","265.20","265.96","1,06,09,934","2,82,17,94,750.50","1,35,842","58,07,570","54.74"
"ITC","EQ","12-Oct-2018","265.20","267.50","277.65","267.30","275.00","275.20","274.98","1,34,25,871","3,69,19,09,380.50","1,21,517","70,42,066","52.45"
"ITC","EQ","15-Oct-2018","275.20","278.95","283.60","276.00","281.65","282.50","279.80","1,79,33,322","5,01,76,65,408.45","1,40,842","1,11,28,388","62.05"
"ITC","EQ","16-Oct-2018","282.50","283.00","283.75","276.35","282.25","282.65","280.86","1,18,67,994","3,33,32,52,662.20","93,880","61,26,185","51.62"
"ITC","EQ","17-Oct-2018","282.65","283.90","291.65","281.55","286.05","286.45","287.08","1,53,07,324","4,39,44,12,359.90","2,09,942","71,29,172","46.57"
"ITC","EQ","19-Oct-2018","286.45","285.00","291.55","284.75","291.00","289.45","288.32","80,32,126","2,31,57,84,333.25","1,11,649","38,86,783","48.39"
"ITC","EQ","22-Oct-2018","289.45","292.00","293.10","287.30","288.70","288.50","290.63","1,24,84,871","3,62,85,10,821.75","1,37,138","62,29,871","49.90"
"ITC","EQ","23-Oct-2018","288.50","286.00","291.20","283.55","286.70","286.00","287.61","1,08,43,970","3,11,87,86,519.95","99,500","63,78,419","58.82"
"ITC","EQ","24-Oct-2018","286.00","288.70","289.65","286.35","288.60","287.75","288.33","86,90,022","2,50,56,15,939.85","81,397","54,61,765","62.85"
"ITC","EQ","25-Oct-2018","287.75","286.00","289.50","284.50","289.40","287.55","287.25","95,84,217","2,75,30,38,730.95","88,998","58,50,620","61.04"
"ITC","EQ","26-Oct-2018","287.55","289.70","289.80","276.00","279.90","280.90","281.31","2,14,75,541","6,04,12,59,667.70","1,86,898","80,26,885","37.38"
"ITC","EQ","29-Oct-2018","280.90","281.90","285.25","278.95","282.00","283.50","282.71","1,13,42,580","3,20,66,18,791.10","1,12,505","59,49,794","52.46"
"ITC","EQ","30-Oct-2018","283.50","283.25","283.85","278.00","278.40","278.95","280.55","68,47,149","1,92,09,34,424.80","83,135","38,97,466","56.92"
"ITC","EQ","31-Oct-2018","278.95","279.55","281.00","272.85","278.90","280.10","277.10","1,35,01,859","3,74,13,74,192.30","1,34,439","82,82,796","61.35"
"ITC","EQ","01-Nov-2018","280.10","280.00","281.80","274.80","277.05","277.40","277.04","94,52,718","2,61,87,84,123.95","84,790","49,57,019","52.44"
"ITC","EQ","02-Nov-2018","277.40","278.30","285.95","278.30","283.90","283.25","282.86","1,16,44,681","3,29,38,06,976.30","92,468","54,34,775","46.67"
