"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ONGC","EQ","05-Oct-2015","232.35","234.00","241.20","229.00","240.25","240.50","235.71","35,22,070","83,02,00,412.40","49,991","19,93,018","56.59"
"ONGC","EQ","06-Oct-2015","240.50","241.00","248.65","239.60","247.05","247.35","245.34","51,09,318","1,25,35,38,768.55","47,378","32,45,961","63.53"
"ONGC","EQ","07-Oct-2015","247.35","251.00","260.85","251.00","260.00","257.75","255.07","66,00,798","1,68,36,38,563.05","1,11,086","41,20,118","62.42"
"ONGC","EQ","08-Oct-2015","257.75","260.40","260.40","252.25","256.85","257.65","256.78","35,56,943","91,33,66,444.40","32,410","19,17,639","53.91"
"ONGC","EQ","09-Oct-2015","257.65","261.00","265.00","260.20","262.60","263.65","263.37","56,76,904","1,49,51,18,736.65","67,076","36,77,689","64.78"
"ONGC","EQ","12-Oct-2015","263.65","263.75","267.75","262.30","263.90","263.40","264.78","28,28,723","74,89,95,590.95","25,462","17,03,193","60.21"
"ONGC","EQ","13-Oct-2015","263.40","259.55","261.25","252.25","254.05","253.90","254.76","30,93,904","78,81,92,576.90","47,462","16,06,943","51.94"
"ONGC","EQ","14-Oct-2015","253.90","254.00","263.30","253.40","255.80","255.00","256.68","29,60,221","75,98,38,236.15","32,959","10,39,644","35.12"
"ONGC","EQ","15-Oct-2015","255.00","257.10","261.00","254.10","260.50","260.15","258.86","23,04,272","59,64,81,466.65","31,236","12,31,359","53.44"
"ONGC","EQ","16-Oct-2015","260.15","261.00","265.30","257.00","264.00","264.10","261.44","21,41,724","55,99,28,215.45","48,468","9,92,531","46.34"
"ONGC","EQ","19-Oct-2015","264.10","264.10","264.35","256.00","258.00","257.85","259.28","17,96,013","46,56,63,509.65","23,989","9,42,365","52.47"
"ONGC","EQ","20-Oct-2015","257.85","255.60","257.25","252.00","252.25","253.15","254.28","23,86,239","60,67,82,093.05","36,189","15,59,071","65.34"
"ONGC","EQ","21-Oct-2015","253.15","252.00","257.90","251.50","253.10","253.45","254.75","16,05,370","40,89,75,015.75","35,883","8,08,785","50.38"
"ONGC","EQ","23-Oct-2015","253.45","255.00","261.00","254.95","257.10","257.30","258.67","22,77,476","58,91,23,751.75","34,933","14,89,648","65.41"
"ONGC","EQ","26-Oct-2015","257.30","257.00","260.80","254.40","256.00","256.45","257.51","25,17,407","64,82,52,657.90","40,155","15,52,640","61.68"
"ONGC","EQ","27-Oct-2015","256.45","253.45","254.20","247.25","247.50","247.90","248.60","49,25,106","1,22,43,59,704.30","69,933","34,06,251","69.16"
"ONGC","EQ","28-Oct-2015","247.90","245.60","252.50","243.35","251.40","251.80","247.07","57,87,962","1,43,00,06,724.85","71,616","29,52,678","51.01"
"ONGC","EQ","29-Oct-2015","251.80","255.00","255.25","250.05","251.00","250.85","250.99","75,44,807","1,89,36,36,321.30","74,975","60,85,890","80.66"
"ONGC","EQ","30-Oct-2015","250.85","249.90","250.50","244.10","247.00","246.95","247.54","33,84,349","83,77,62,731.75","44,110","18,77,341","55.47"
"ONGC","EQ","02-Nov-2015","246.95","246.95","248.80","242.15","248.45","247.40","245.28","13,52,061","33,16,34,492.40","53,452","6,19,790","45.84"
"ONGC","EQ","03-Nov-2015","247.40","247.20","251.50","245.30","251.45","250.70","248.89","18,42,932","45,86,86,548.70","44,925","8,29,036","44.98"
"ONGC","EQ","04-Nov-2015","250.70","253.55","254.20","249.80","252.00","252.10","251.41","24,48,364","61,55,45,296.40","61,455","15,37,099","62.78"
"ONGC","EQ","05-Nov-2015","252.10","250.00","253.80","249.65","251.15","250.65","251.87","32,30,189","81,36,03,529.90","26,493","23,12,315","71.58"
"ONGC","EQ","06-Nov-2015","250.65","248.70","256.60","248.00","252.00","251.45","252.03","40,09,592","1,01,05,36,641.85","27,705","22,18,647","55.33"
"ONGC","EQ","09-Nov-2015","251.45","246.20","251.00","245.05","248.90","249.30","248.78","27,15,318","67,55,14,970.90","26,060","17,00,011","62.61"
"ONGC","EQ","10-Nov-2015","249.30","245.10","247.80","235.60","237.00","236.70","238.72","38,94,593","92,97,10,723.55","59,637","22,68,229","58.24"
"ONGC","EQ","11-Nov-2015","236.70","238.90","239.40","236.50","236.75","237.00","237.65","2,42,992","5,77,47,871.80","4,328","1,23,370","50.77"
"ONGC","EQ","13-Nov-2015","237.00","233.05","233.50","228.00","229.70","228.90","229.87","45,85,470","1,05,40,56,997.15","58,652","33,30,836","72.64"
"ONGC","EQ","16-Nov-2015","228.90","228.40","230.90","221.25","230.35","230.15","226.61","43,59,243","98,78,39,514.45","39,157","27,45,401","62.98"
"ONGC","EQ","17-Nov-2015","230.15","231.00","233.25","226.70","232.80","232.35","229.58","62,90,346","1,44,41,56,204.15","38,472","46,69,230","74.23"
"ONGC","EQ","18-Nov-2015","232.35","231.05","232.75","228.95","230.30","230.70","230.59","25,74,821","59,37,18,531.65","40,906","14,70,262","57.10"
"ONGC","EQ","19-Nov-2015","230.70","232.75","233.70","229.25","232.50","233.00","232.13","18,99,896","44,10,17,069.60","28,078","10,76,534","56.66"
"ONGC","EQ","20-Nov-2015","233.00","233.80","235.75","231.35","233.50","234.05","234.32","17,34,379","40,63,94,350.90","20,904","7,21,559","41.60"
"ONGC","EQ","23-Nov-2015","234.05","235.00","235.90","231.00","231.50","231.70","233.46","15,30,756","35,73,62,911.00","19,488","8,34,028","54.48"
"ONGC","EQ","24-Nov-2015","231.70","232.00","238.35","229.75","232.85","232.80","235.33","34,53,149","81,26,46,070.05","35,826","17,65,301","51.12"
"ONGC","EQ","26-Nov-2015","232.80","233.10","236.90","231.80","235.25","234.85","234.27","54,67,269","1,28,08,38,880.75","44,190","36,76,887","67.25"
"ONGC","EQ","27-Nov-2015","234.85","236.50","238.75","234.35","235.45","235.40","235.93","19,02,683","44,88,93,763.40","17,769","8,67,743","45.61"
"ONGC","EQ","30-Nov-2015","235.40","234.00","235.90","230.20","234.25","234.15","233.52","39,32,293","91,82,71,942.70","54,908","27,01,757","68.71"
"ONGC","EQ","01-Dec-2015","234.15","234.55","238.45","233.05","235.10","235.60","236.69","23,63,787","55,94,89,980.60","24,347","10,38,196","43.92"
"ONGC","EQ","02-Dec-2015","235.60","237.10","238.00","233.30","235.20","235.80","235.50","20,80,856","49,00,38,120.25","30,081","11,31,030","54.35"
"ONGC","EQ","03-Dec-2015","235.80","233.10","233.90","228.10","229.30","229.70","231.47","49,50,787","1,14,59,62,686.50","50,726","36,12,536","72.97"
"ONGC","EQ","04-Dec-2015","229.70","227.75","231.10","226.05","227.30","227.20","227.68","34,15,469","77,76,33,813.65","36,153","20,71,002","60.64"
"ONGC","EQ","07-Dec-2015","227.20","228.05","228.50","222.80","224.10","223.90","224.03","24,14,049","54,08,16,326.15","36,446","11,67,335","48.36"
"ONGC","EQ","08-Dec-2015","223.90","222.00","222.25","214.05","214.50","215.75","217.37","58,63,135","1,27,44,65,003.00","78,101","30,94,948","52.79"
"ONGC","EQ","09-Dec-2015","215.75","215.00","218.00","212.90","217.45","217.10","215.26","42,15,793","90,74,72,052.95","41,009","27,18,518","64.48"
"ONGC","EQ","10-Dec-2015","217.10","217.90","220.90","214.80","220.00","219.80","219.09","45,65,802","1,00,03,23,283.95","55,946","29,46,530","64.53"
"ONGC","EQ","11-Dec-2015","219.80","219.50","220.80","214.40","215.30","215.35","216.50","43,52,597","94,23,24,550.05","59,127","29,63,027","68.07"
"ONGC","EQ","14-Dec-2015","215.35","212.50","214.60","211.25","213.50","213.40","212.97","31,85,842","67,84,88,836.10","43,230","18,26,759","57.34"
"ONGC","EQ","15-Dec-2015","213.40","215.00","218.60","213.30","218.30","217.80","216.88","32,79,674","71,13,11,017.70","30,451","18,23,159","55.59"
"ONGC","EQ","16-Dec-2015","217.80","219.70","227.60","217.35","225.80","226.65","225.22","55,75,795","1,25,57,73,069.35","56,329","34,38,341","61.67"
"ONGC","EQ","17-Dec-2015","226.65","226.00","226.30","220.00","225.35","224.80","222.73","61,52,996","1,37,04,47,459.75","51,007","38,80,240","63.06"
"ONGC","EQ","18-Dec-2015","224.80","223.00","224.80","221.20","224.30","223.25","222.83","48,01,051","1,06,98,10,457.05","42,073","31,51,109","65.63"
"ONGC","EQ","21-Dec-2015","223.25","223.00","231.05","221.70","231.05","230.45","228.94","33,32,878","76,30,29,548.00","37,183","17,99,431","53.99"
"ONGC","EQ","22-Dec-2015","230.45","230.45","232.50","228.30","230.45","230.55","230.64","30,64,548","70,67,94,959.40","26,146","17,86,392","58.29"
"ONGC","EQ","23-Dec-2015","230.55","232.90","236.40","231.25","236.10","235.55","234.68","40,14,235","94,20,50,389.60","59,346","26,21,814","65.31"
"ONGC","EQ","24-Dec-2015","235.55","238.00","239.80","233.30","234.25","233.85","235.94","29,25,695","69,02,86,367.75","33,180","11,51,153","39.35"
"ONGC","EQ","28-Dec-2015","233.85","234.00","241.30","234.00","239.30","240.20","238.85","35,31,082","84,34,10,659.20","27,099","20,90,514","59.20"
"ONGC","EQ","29-Dec-2015","240.20","240.00","241.85","237.45","240.00","239.75","239.15","23,68,569","56,64,40,573.20","23,390","11,36,255","47.97"
"ONGC","EQ","30-Dec-2015","239.75","240.00","242.80","239.40","240.00","239.90","240.33","26,18,588","62,93,21,994.50","32,230","15,29,930","58.43"
"ONGC","EQ","31-Dec-2015","239.90","239.50","243.80","235.15","239.95","241.75","240.38","43,99,110","1,05,74,75,400.95","35,283","26,96,444","61.30"
"ONGC","EQ","01-Jan-2016","241.75","239.90","243.40","238.10","241.55","242.50","241.39","18,47,985","44,60,81,747.00","13,709","6,93,231","37.51"
"ONGC","EQ","04-Jan-2016","242.50","241.00","244.80","235.65","238.50","238.05","240.58","20,83,421","50,12,28,858.95","24,271","7,71,487","37.03"
"ONGC","EQ","05-Jan-2016","238.05","240.00","244.25","239.05","241.80","241.85","241.71","24,30,875","58,75,76,793.05","24,576","12,76,956","52.53"
"ONGC","EQ","06-Jan-2016","241.85","242.00","242.30","234.65","237.00","237.55","239.32","20,04,807","47,97,83,775.25","31,040","8,78,184","43.80"
"ONGC","EQ","07-Jan-2016","237.55","231.00","233.90","224.05","226.00","226.60","226.64","50,72,924","1,14,97,23,539.05","46,696","27,22,182","53.66"
"ONGC","EQ","08-Jan-2016","226.60","228.00","231.80","225.65","231.20","230.15","229.61","45,98,879","1,05,59,37,857.75","32,067","26,86,228","58.41"
"ONGC","EQ","11-Jan-2016","230.15","226.00","227.25","222.15","225.65","225.50","225.18","42,75,597","96,27,78,223.00","48,836","25,46,730","59.56"
"ONGC","EQ","12-Jan-2016","225.50","224.00","224.30","220.00","222.10","221.35","220.99","36,95,782","81,67,20,650.30","60,680","19,88,205","53.80"
"ONGC","EQ","13-Jan-2016","221.35","223.00","223.95","217.55","223.55","223.20","221.08","35,89,717","79,36,13,093.90","38,470","18,73,596","52.19"
"ONGC","EQ","14-Jan-2016","223.20","220.95","225.50","216.60","223.60","223.25","221.73","43,49,051","96,43,25,655.70","44,694","23,80,945","54.75"
"ONGC","EQ","15-Jan-2016","223.25","224.40","224.40","217.80","218.10","219.45","220.72","30,08,388","66,40,20,033.90","32,088","14,78,602","49.15"
"ONGC","EQ","18-Jan-2016","219.45","217.00","218.00","211.25","214.80","214.40","214.53","38,22,690","82,00,82,936.00","42,713","21,23,431","55.55"
"ONGC","EQ","19-Jan-2016","214.40","215.60","219.40","211.50","218.00","218.00","215.89","25,31,939","54,66,08,929.45","25,548","11,72,268","46.30"
"ONGC","EQ","20-Jan-2016","218.00","214.10","215.10","209.20","214.00","213.30","212.05","43,45,939","92,15,76,684.90","41,805","28,50,980","65.60"
"ONGC","EQ","21-Jan-2016","213.30","213.65","214.75","205.95","206.20","207.30","208.78","59,19,729","1,23,58,94,891.20","52,840","36,80,449","62.17"
"ONGC","EQ","22-Jan-2016","207.30","211.95","217.00","209.80","216.30","216.25","214.05","48,35,825","1,03,51,25,094.10","58,816","27,15,975","56.16"
"ONGC","EQ","25-Jan-2016","216.25","220.40","221.25","216.55","219.80","219.65","219.30","32,42,696","71,11,30,600.55","36,403","12,75,880","39.35"
"ONGC","EQ","27-Jan-2016","219.65","219.70","221.75","217.00","218.50","218.40","219.99","44,96,043","98,91,00,287.70","37,721","27,49,529","61.15"
"ONGC","EQ","28-Jan-2016","218.40","218.00","220.80","215.25","219.30","219.90","218.94","58,40,671","1,27,87,45,845.00","32,217","37,73,015","64.60"
"ONGC","EQ","29-Jan-2016","219.90","221.30","227.85","221.00","225.50","226.25","225.21","85,06,493","1,91,57,32,875.45","46,345","55,12,030","64.80"
"ONGC","EQ","01-Feb-2016","226.25","227.80","227.80","221.55","224.75","225.05","224.13","25,48,494","57,12,03,531.45","49,275","10,96,815","43.04"
"ONGC","EQ","02-Feb-2016","225.05","222.20","224.40","215.40","217.20","216.55","219.13","46,00,320","1,00,80,58,455.45","43,588","29,96,897","65.15"
"ONGC","EQ","03-Feb-2016","216.55","213.70","217.00","210.30","214.40","213.05","212.88","32,29,311","68,74,54,865.50","36,261","18,66,720","57.81"
"ONGC","EQ","04-Feb-2016","213.05","217.90","220.50","216.25","219.75","220.00","219.38","40,11,027","87,99,30,842.60","34,841","20,05,857","50.01"
"ONGC","EQ","05-Feb-2016","220.00","220.30","221.85","217.55","220.60","219.95","219.70","38,07,113","83,64,20,221.95","31,352","20,59,375","54.09"
"ONGC","EQ","08-Feb-2016","219.95","220.00","220.20","211.65","212.00","214.05","216.47","18,42,740","39,89,02,799.05","26,827","7,34,782","39.87"
"ONGC","EQ","09-Feb-2016","214.05","210.90","219.55","210.50","216.80","218.15","216.23","24,34,497","52,64,04,260.95","31,196","8,56,747","35.19"
"ONGC","EQ","10-Feb-2016","218.15","213.85","216.00","210.80","214.20","213.50","213.55","27,11,173","57,89,77,500.80","20,783","13,86,671","51.15"
"ONGC","EQ","11-Feb-2016","213.50","213.80","213.90","200.05","201.45","203.15","205.77","58,58,032","1,20,53,79,091.60","78,764","28,72,256","49.03"
"ONGC","EQ","12-Feb-2016","203.15","200.00","200.00","187.75","193.55","193.25","193.64","67,35,103","1,30,42,02,936.40","1,62,745","28,71,777","42.64"
"ONGC","EQ","15-Feb-2016","193.25","198.60","201.20","194.65","199.25","200.35","199.12","47,71,870","95,01,63,321.30","58,621","29,17,973","61.15"
"ONGC","EQ","16-Feb-2016","200.35","203.65","206.10","198.10","199.60","199.95","202.03","69,94,009","1,41,30,12,142.25","51,723","39,65,732","56.70"
"ONGC","EQ","17-Feb-2016","199.95","200.00","202.00","197.20","200.00","200.35","199.92","48,60,013","97,16,24,312.65","33,592","28,36,215","58.36"
"ONGC","EQ","18-Feb-2016","200.35","203.65","210.60","203.00","207.60","209.10","207.75","51,99,775","1,08,02,70,068.65","1,19,182","21,51,581","41.38"
"ONGC","EQ","19-Feb-2016","209.10","206.95","212.10","206.00","211.00","211.15","208.75","36,12,713","75,41,40,934.85","64,304","20,98,941","58.10"
"ONGC","EQ","22-Feb-2016","211.15","212.00","215.10","210.70","215.00","214.40","213.44","24,01,228","51,25,16,306.10","34,550","11,58,685","48.25"
"ONGC","EQ","23-Feb-2016","214.40","215.70","217.80","211.85","213.80","214.60","215.15","23,95,578","51,54,07,004.15","54,172","10,32,517","43.10"
"ONGC","EQ","24-Feb-2016","214.60","212.80","212.80","208.20","208.95","209.40","210.09","17,45,437","36,67,01,606.45","22,672","5,56,821","31.90"
"ONGC","EQ","25-Feb-2016","209.40","212.40","217.80","209.60","217.00","216.25","214.15","38,52,323","82,49,78,080.90","38,874","20,33,783","52.79"
"ONGC","EQ","26-Feb-2016","216.25","217.40","218.55","214.10","215.35","216.05","216.28","28,03,883","60,64,30,139.25","29,656","13,99,930","49.93"
"ONGC","EQ","29-Feb-2016","216.05","217.25","221.10","192.50","192.80","194.10","203.00","1,58,73,238","3,22,22,40,945.95","1,33,326","79,52,364","50.10"
"ONGC","EQ","01-Mar-2016","194.10","193.90","193.90","188.55","192.00","191.50","191.06","1,54,12,098","2,94,45,84,142.00","1,44,918","77,90,766","50.55"
"ONGC","EQ","02-Mar-2016","191.50","194.40","197.30","192.10","195.00","194.95","194.70","1,03,49,971","2,01,51,30,108.20","1,48,629","54,77,181","52.92"
