"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RECLTD","EQ","07-Oct-2013","193.90","193.90","194.05","189.25","193.10","192.40","191.79","19,47,653","37,35,39,106.65","21,134","11,96,014","61.41"
"RECLTD","EQ","08-Oct-2013","192.40","194.00","196.50","191.55","194.00","194.05","194.07","23,45,103","45,51,15,352.75","25,795","10,24,517","43.69"
"RECLTD","EQ","09-Oct-2013","194.05","192.00","197.00","191.50","195.30","195.95","195.11","14,50,825","28,30,65,502.85","19,961","8,64,875","59.61"
"RECLTD","EQ","10-Oct-2013","195.95","196.50","198.45","193.10","193.50","193.95","195.34","16,01,576","31,28,46,256.80","30,399","9,00,351","56.22"
"RECLTD","EQ","11-Oct-2013","193.95","195.05","195.85","191.65","192.75","193.25","193.40","16,42,828","31,77,16,791.45","32,008","7,59,059","46.20"
"RECLTD","EQ","14-Oct-2013","193.25","193.00","194.50","188.00","188.30","188.65","190.26","10,48,788","19,95,46,409.55","16,071","4,06,771","38.78"
"RECLTD","EQ","15-Oct-2013","188.65","189.10","192.10","187.35","188.40","190.60","190.19","15,39,734","29,28,46,386.55","24,337","6,18,902","40.20"
"RECLTD","EQ","17-Oct-2013","190.60","190.00","190.00","180.10","180.40","181.75","184.01","17,49,138","32,18,61,639.10","31,816","7,59,972","43.45"
"RECLTD","EQ","18-Oct-2013","181.75","180.55","187.80","180.55","186.60","186.95","185.42","11,39,006","21,11,90,108.05","24,680","3,77,271","33.12"
"RECLTD","EQ","21-Oct-2013","186.95","185.50","189.75","184.45","188.15","188.65","187.65","8,73,165","16,38,46,006.95","14,129","2,30,226","26.37"
"RECLTD","EQ","22-Oct-2013","188.65","188.00","193.10","187.50","191.00","191.20","190.97","11,38,430","21,74,01,399.70","21,599","4,89,377","42.99"
"RECLTD","EQ","23-Oct-2013","191.20","190.30","193.05","184.65","186.35","186.80","187.87","10,17,094","19,10,84,460.75","17,928","3,96,974","39.03"
"RECLTD","EQ","24-Oct-2013","186.80","186.00","190.70","186.00","186.90","187.25","188.59","9,53,739","17,98,68,290.10","14,187","3,74,150","39.23"
"RECLTD","EQ","25-Oct-2013","187.25","187.20","187.20","181.30","185.20","186.15","184.61","9,30,542","17,17,84,236.35","24,070","3,96,709","42.63"
"RECLTD","EQ","28-Oct-2013","186.15","186.25","188.55","181.65","182.60","183.15","184.12","8,61,808","15,86,71,893.15","23,450","2,66,348","30.91"
"RECLTD","EQ","29-Oct-2013","183.15","184.00","190.00","181.60","189.45","189.00","186.27","14,58,355","27,16,43,707.95","32,587","7,64,522","52.42"
"RECLTD","EQ","30-Oct-2013","189.00","190.40","192.95","185.80","191.00","191.20","189.62","18,94,199","35,91,70,907.50","27,951","7,65,741","40.43"
"RECLTD","EQ","31-Oct-2013","191.20","191.70","195.85","188.20","195.00","194.25","192.09","22,19,654","42,63,80,978.95","23,395","13,06,571","58.86"
"RECLTD","EQ","01-Nov-2013","194.25","195.00","205.50","193.00","203.20","203.60","200.84","22,88,881","45,97,02,539.65","43,355","7,88,681","34.46"
"RECLTD","EQ","03-Nov-2013","203.60","204.20","205.00","202.70","203.30","203.15","203.52","1,21,493","2,47,26,692.15","2,084","41,728","34.35"
"RECLTD","EQ","05-Nov-2013","203.15","200.30","211.70","199.10","205.95","206.85","206.29","18,10,594","37,35,10,138.90","38,325","7,11,893","39.32"
"RECLTD","EQ","06-Nov-2013","206.85","207.00","210.40","203.25","206.30","206.30","206.75","13,48,822","27,88,68,939.10","20,030","6,44,806","47.81"
"RECLTD","EQ","07-Nov-2013","206.30","206.00","211.20","202.65","203.25","203.75","206.61","11,91,078","24,60,93,244.20","20,880","3,53,002","29.64"
"RECLTD","EQ","08-Nov-2013","203.75","203.00","210.25","202.20","210.00","208.25","206.74","11,87,308","24,54,66,249.70","17,072","5,73,487","48.30"
"RECLTD","EQ","11-Nov-2013","208.25","210.00","210.35","203.40","207.50","207.95","207.55","12,80,544","26,57,81,714.95","16,915","6,21,166","48.51"
"RECLTD","EQ","12-Nov-2013","207.95","208.00","217.65","208.00","210.95","210.95","213.84","20,73,818","44,34,67,627.80","32,661","5,78,643","27.90"
"RECLTD","EQ","13-Nov-2013","210.95","211.40","214.60","206.70","209.80","209.10","210.86","13,73,805","28,96,73,690.15","23,719","4,29,187","31.24"
"RECLTD","EQ","14-Nov-2013","209.10","211.10","218.75","211.10","216.65","216.35","215.59","16,05,560","34,61,41,324.45","21,678","6,43,683","40.09"
"RECLTD","EQ","18-Nov-2013","216.35","218.50","221.35","216.50","218.90","218.25","218.84","11,23,784","24,59,30,029.80","25,243","4,48,547","39.91"
"RECLTD","EQ","19-Nov-2013","218.25","218.25","222.00","217.15","219.25","219.45","219.80","18,33,748","40,30,49,101.65","20,100","11,05,168","60.27"
"RECLTD","EQ","20-Nov-2013","219.45","218.00","220.00","211.70","212.00","212.50","215.79","12,34,438","26,63,79,606.75","17,486","4,63,983","37.59"
"RECLTD","EQ","21-Nov-2013","212.50","212.80","212.80","206.60","209.00","209.55","209.61","12,01,745","25,19,03,637.35","21,796","5,38,736","44.83"
"RECLTD","EQ","22-Nov-2013","209.55","210.10","214.60","210.00","214.40","213.40","212.56","6,34,777","13,49,30,767.95","9,291","1,68,265","26.51"
"RECLTD","EQ","25-Nov-2013","213.40","216.90","221.30","214.65","220.90","219.75","217.56","6,45,428","14,04,22,398.20","10,630","2,61,421","40.50"
"RECLTD","EQ","26-Nov-2013","219.75","219.95","222.00","217.50","219.15","221.15","220.47","14,05,483","30,98,61,250.70","18,448","7,60,491","54.11"
"RECLTD","EQ","27-Nov-2013","221.15","218.00","223.00","218.00","222.90","221.70","221.40","9,23,391","20,44,40,326.35","13,444","3,80,963","41.26"
"RECLTD","EQ","28-Nov-2013","221.70","220.80","224.85","216.10","219.00","218.30","220.52","10,25,487","22,61,37,417.20","13,245","2,03,623","19.86"
"RECLTD","EQ","29-Nov-2013","218.30","220.00","228.00","219.95","227.75","226.85","224.85","12,74,573","28,65,83,606.10","17,167","4,67,838","36.71"
"RECLTD","EQ","02-Dec-2013","226.85","228.00","229.80","223.10","227.05","227.35","226.51","11,02,228","24,96,66,582.45","19,840","4,07,220","36.95"
"RECLTD","EQ","03-Dec-2013","227.35","227.00","231.90","224.85","227.75","228.50","228.83","12,33,304","28,22,20,156.15","21,182","5,32,425","43.17"
"RECLTD","EQ","04-Dec-2013","228.50","228.50","228.50","220.25","221.20","221.05","223.55","10,90,560","24,37,99,009.85","22,172","4,85,155","44.49"
"RECLTD","EQ","05-Dec-2013","221.05","224.80","230.40","224.10","224.30","225.25","226.60","14,90,639","33,77,84,890.50","17,375","8,15,418","54.70"
"RECLTD","EQ","06-Dec-2013","225.25","224.40","225.45","220.45","221.70","221.35","222.70","11,36,590","25,31,16,531.30","18,761","6,75,181","59.40"
"RECLTD","EQ","09-Dec-2013","221.35","229.00","229.00","223.30","223.90","224.90","225.37","16,98,559","38,28,10,564.35","17,397","12,34,959","72.71"
"RECLTD","EQ","10-Dec-2013","224.90","224.90","227.40","219.70","221.85","222.45","224.08","16,99,793","38,08,94,547.90","30,060","8,37,927","49.30"
"RECLTD","EQ","11-Dec-2013","222.45","221.00","223.30","215.25","217.95","217.55","218.41","8,61,017","18,80,53,730.40","22,172","3,04,492","35.36"
"RECLTD","EQ","12-Dec-2013","217.55","217.00","217.10","210.65","210.95","211.20","213.66","8,95,196","19,12,70,474.30","21,539","3,38,842","37.85"
"RECLTD","EQ","13-Dec-2013","211.20","210.00","210.45","202.60","203.60","203.40","206.04","9,67,610","19,93,62,905.65","18,493","4,17,488","43.15"
"RECLTD","EQ","16-Dec-2013","203.40","204.60","208.25","200.60","205.10","205.00","204.17","17,23,954","35,19,71,104.45","37,139","7,83,899","45.47"
"RECLTD","EQ","17-Dec-2013","205.00","206.10","212.45","206.10","206.70","207.75","209.42","19,30,339","40,42,43,219.25","37,024","9,88,298","51.20"
"RECLTD","EQ","18-Dec-2013","207.75","207.85","213.70","206.10","210.95","210.70","210.84","14,19,224","29,92,22,999.90","29,758","6,62,663","46.69"
"RECLTD","EQ","19-Dec-2013","210.70","211.00","212.90","203.75","204.30","204.50","207.04","9,86,444","20,42,32,656.60","20,277","3,99,589","40.51"
"RECLTD","EQ","20-Dec-2013","204.50","203.70","215.35","201.40","214.95","213.70","209.14","17,03,425","35,62,53,419.80","28,994","4,72,952","27.76"
"RECLTD","EQ","23-Dec-2013","213.70","214.30","218.50","213.60","215.00","215.35","216.59","10,75,201","23,28,80,212.15","20,566","4,69,499","43.67"
"RECLTD","EQ","24-Dec-2013","215.35","215.00","216.50","213.00","214.85","215.00","214.85","6,03,294","12,96,17,431.55","13,917","2,03,494","33.73"
"RECLTD","EQ","26-Dec-2013","215.00","214.55","219.50","214.55","216.50","216.10","217.08","11,96,219","25,96,72,002.35","13,671","6,04,771","50.56"
"RECLTD","EQ","27-Dec-2013","216.10","217.10","219.40","216.50","216.60","217.40","217.95","5,55,343","12,10,36,078.75","8,188","2,31,789","41.74"
"RECLTD","EQ","30-Dec-2013","217.40","217.50","218.55","210.50","212.30","211.85","212.59","7,85,525","16,69,92,195.20","12,778","2,95,074","37.56"
"RECLTD","EQ","31-Dec-2013","211.85","212.00","221.90","210.80","220.30","220.60","217.01","15,62,968","33,91,83,731.10","19,722","4,69,432","30.03"
"RECLTD","EQ","01-Jan-2014","220.60","222.00","222.00","218.05","219.00","219.15","219.27","4,99,283","10,94,79,664.20","7,046","1,17,785","23.59"
"RECLTD","EQ","02-Jan-2014","219.15","218.50","223.25","212.60","213.30","214.10","218.90","7,18,651","15,73,09,689.80","11,430","1,84,662","25.70"
"RECLTD","EQ","03-Jan-2014","214.10","213.00","214.45","207.55","211.90","211.85","211.21","10,55,729","22,29,80,229.40","15,435","4,88,318","46.25"
"RECLTD","EQ","06-Jan-2014","211.85","210.00","210.45","206.30","207.65","207.65","207.62","9,24,883","19,20,25,784.05","15,369","3,28,909","35.56"
