"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RECLTD","EQ","06-Oct-2023","279.30","280.70","286.80","278.20","285.10","285.50","284.02","1,10,40,241","3,13,57,01,750.00","71,215","28,01,034","25.37"
"RECLTD","EQ","09-Oct-2023","285.50","282.25","285.45","278.50","280.35","280.40","281.74","1,00,63,388","2,83,52,84,106.10","74,655","33,31,576","33.11"
"RECLTD","EQ","10-Oct-2023","280.40","282.35","291.65","279.70","291.30","290.90","285.57","1,62,15,694","4,63,06,41,190.35","1,35,510","55,42,484","34.18"
"RECLTD","EQ","11-Oct-2023","290.90","293.00","294.25","288.60","291.10","291.60","291.48","1,26,89,010","3,69,85,94,941.35","83,171","51,07,612","40.25"
"RECLTD","EQ","12-Oct-2023","291.60","292.90","296.50","289.05","290.75","289.80","292.32","99,82,500","2,91,81,17,313.40","62,374","31,84,636","31.90"
"RECLTD","EQ","13-Oct-2023","289.80","290.00","296.95","289.15","292.65","293.25","293.91","96,35,780","2,83,20,11,787.75","69,319","30,29,694","31.44"
"RECLTD","EQ","16-Oct-2023","293.25","294.85","299.20","292.60","294.00","294.05","295.55","97,44,816","2,88,00,90,833.70","69,021","23,10,889","23.71"
"RECLTD","EQ","17-Oct-2023","294.05","296.50","297.90","292.00","294.00","294.10","294.83","82,83,781","2,44,23,32,985.70","67,046","31,06,932","37.51"
"RECLTD","EQ","18-Oct-2023","294.10","294.00","295.45","287.25","288.50","289.00","290.64","64,49,758","1,87,45,33,740.20","53,782","18,23,866","28.28"
"RECLTD","EQ","19-Oct-2023","289.00","287.70","295.90","284.35","294.80","295.00","291.66","1,10,59,767","3,22,57,08,502.65","83,056","30,94,936","27.98"
"RECLTD","EQ","20-Oct-2023","295.00","294.80","295.55","284.80","287.80","287.85","288.61","99,00,926","2,85,75,25,981.55","87,320","37,71,617","38.09"
"RECLTD","EQ","23-Oct-2023","287.85","287.85","291.15","275.45","278.20","278.30","281.25","1,65,31,193","4,64,93,88,269.50","1,02,076","68,60,146","41.50"
"RECLTD","EQ","25-Oct-2023","278.30","278.50","283.70","269.50","273.70","273.30","274.92","1,47,51,988","4,05,56,17,664.50","80,884","54,99,851","37.28"
"RECLTD","EQ","26-Oct-2023","273.30","270.00","272.40","259.45","267.45","265.75","263.86","2,21,59,911","5,84,70,58,842.70","96,310","87,65,594","39.56"
"RECLTD","EQ","27-Oct-2023","265.75","267.00","277.60","266.90","273.80","273.05","272.92","94,03,379","2,56,63,65,359.40","71,980","25,60,394","27.23"
"RECLTD","EQ","30-Oct-2023","273.05","275.80","279.55","268.00","279.10","278.40","274.71","78,39,191","2,15,34,82,796.25","67,477","17,74,981","22.64"
"RECLTD","EQ","31-Oct-2023","278.40","279.20","288.85","277.40","287.80","287.60","283.80","1,40,86,055","3,99,76,86,775.65","98,985","35,89,525","25.48"
"RECLTD","EQ","01-Nov-2023","287.60","288.95","291.90","273.15","283.15","282.85","284.38","1,95,83,321","5,56,91,27,857.60","1,09,593","37,55,990","19.18"
"RECLTD","EQ","02-Nov-2023","282.85","287.10","307.40","287.10","302.00","302.40","301.63","5,87,77,830","17,72,90,93,780.70","3,42,432","1,54,47,352","26.28"
"RECLTD","EQ","03-Nov-2023","302.40","304.00","306.40","299.70","303.95","303.85","303.38","1,46,19,611","4,43,53,38,176.45","1,04,737","50,91,804","34.83"
