"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","05-Oct-2016","259.75","262.00","264.90","259.55","260.00","260.85","262.58","2,08,68,556","5,47,96,14,092.15","1,33,186","96,08,356","46.04"
"SBIN","N2","05-Oct-2016","11,000.00","11,050.00","11,050.00","11,050.00","11,050.00","11,050.00","11,050.00","2","22,100.00","1","2","100.00"
"SBIN","N5","05-Oct-2016","11,590.36","11,560.00","11,600.00","11,550.00","11,582.00","11,582.00","11,571.44","221","25,57,288.00","24","219","99.10"
"SBIN","EQ","06-Oct-2016","260.85","261.35","262.00","255.65","257.25","256.80","259.03","1,10,81,154","2,87,03,75,875.75","70,681","23,88,442","21.55"
"SBIN","N2","06-Oct-2016","11,050.00","11,000.00","11,000.00","11,000.00","11,000.00","11,000.00","11,000.00","1","11,000.00","1","1","100.00"
"SBIN","N5","06-Oct-2016","11,582.00","11,250.00","11,610.00","10,776.00","11,590.00","11,609.23","11,540.77","131","15,11,841.00","31","129","98.47"
"SBIN","N6","06-Oct-2016","11,111.00","10,875.00","10,951.00","10,825.00","10,951.00","10,951.00","10,874.18","11","1,19,615.99","6","10","90.91"
"SBIN","EQ","07-Oct-2016","256.80","257.25","259.90","255.25","258.05","258.70","257.40","1,19,34,100","3,07,18,11,324.80","72,975","34,40,378","28.83"
"SBIN","N2","07-Oct-2016","11,000.00","11,000.00","11,200.00","10,861.58","11,200.00","11,199.40","11,152.18","65","7,24,891.91","13","48","73.85"
"SBIN","N5","07-Oct-2016","11,609.23","11,620.00","11,650.00","11,611.00","11,650.00","11,650.00","11,629.90","49","5,69,865.00","11","49","100.00"
"SBIN","N6","07-Oct-2016","10,951.00","11,200.00","11,360.00","10,960.00","10,960.00","10,960.00","11,256.36","11","1,23,820.00","4","10","90.91"
"SBIN","EQ","10-Oct-2016","258.70","259.35","260.30","256.05","256.65","256.60","257.85","93,99,844","2,42,37,08,024.75","71,528","32,97,928","35.08"
"SBIN","N5","10-Oct-2016","11,650.00","11,310.00","11,698.99","11,310.00","11,690.00","11,692.85","11,682.81","279","32,59,504.68","34","252","90.32"
"SBIN","EQ","13-Oct-2016","256.60","254.95","255.35","245.85","249.95","249.65","250.18","1,80,50,638","4,51,59,22,152.15","1,27,024","89,47,593","49.57"
"SBIN","N5","13-Oct-2016","11,692.85","11,690.00","11,749.00","11,640.00","11,715.00","11,707.70","11,717.80","296","34,68,468.50","51","295","99.66"
"SBIN","N6","13-Oct-2016","10,960.00","11,101.00","11,330.00","11,101.00","11,101.00","11,101.00","11,193.27","11","1,23,126.00","5","11","100.00"
"SBIN","EQ","14-Oct-2016","249.65","251.00","253.55","249.10","252.05","252.10","251.98","1,21,33,951","3,05,74,52,429.85","79,275","46,64,585","38.44"
"SBIN","N2","14-Oct-2016","11,199.40","11,375.00","11,375.00","11,000.01","11,150.00","11,120.50","11,169.87","23","2,56,907.03","17","21","91.30"
"SBIN","N5","14-Oct-2016","11,707.70","11,720.50","11,745.00","11,720.00","11,745.00","11,740.95","11,731.26","233","27,33,384.20","33","233","100.00"
"SBIN","N6","14-Oct-2016","11,101.00","11,101.00","11,101.00","11,101.00","11,101.00","11,101.00","11,101.00","2","22,202.00","2","2","100.00"
"SBIN","EQ","17-Oct-2016","252.10","253.75","256.45","252.00","253.00","253.20","254.06","1,68,65,537","4,28,47,85,156.70","89,069","75,44,530","44.73"
"SBIN","N2","17-Oct-2016","11,120.50","11,015.15","11,015.15","11,006.00","11,006.00","11,006.00","11,007.66","29","3,19,222.10","9","29","100.00"
"SBIN","N5","17-Oct-2016","11,740.95","11,700.00","11,740.00","11,700.00","11,730.00","11,727.33","11,725.17","648","75,97,911.00","55","648","100.00"
"SBIN","N6","17-Oct-2016","11,101.00","10,900.00","11,000.00","10,808.00","11,000.00","11,000.00","10,958.29","7","76,708.00","3","7","100.00"
