"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","07-Oct-2013","350.05","350.00","352.80","343.50","348.50","347.90","347.03","55,20,739","1,91,58,54,775.65","52,490","22,89,620","41.47"
"TATAMOTORS","EQ","08-Oct-2013","347.90","352.20","359.40","349.80","350.65","350.55","353.51","72,97,904","2,57,98,57,439.10","83,547","40,66,272","55.72"
"TATAMOTORS","EQ","09-Oct-2013","350.55","350.80","356.35","350.00","354.00","354.20","354.01","88,08,415","3,11,82,73,168.90","84,703","55,26,487","62.74"
"TATAMOTORS","EQ","10-Oct-2013","354.20","354.00","373.85","352.10","373.85","371.65","364.05","1,23,67,384","4,50,23,88,460.30","1,27,920","47,76,792","38.62"
"TATAMOTORS","EQ","11-Oct-2013","371.65","375.00","389.60","368.55","384.40","385.30","381.34","1,80,24,178","6,87,32,58,632.40","1,47,450","72,52,058","40.24"
"TATAMOTORS","EQ","14-Oct-2013","385.30","386.10","393.30","385.70","391.40","390.45","389.51","71,73,403","2,79,41,16,113.50","80,759","33,29,168","46.41"
"TATAMOTORS","EQ","15-Oct-2013","390.45","390.85","393.00","382.30","389.10","388.85","387.75","82,93,578","3,21,58,49,454.35","1,28,369","42,68,662","51.47"
"TATAMOTORS","EQ","17-Oct-2013","388.85","385.45","385.45","370.60","374.00","373.40","376.14","99,37,912","3,73,80,90,699.90","1,16,241","58,66,890","59.04"
"TATAMOTORS","EQ","18-Oct-2013","373.40","376.55","381.80","374.50","379.70","379.65","378.79","69,31,755","2,62,56,97,862.70","83,302","36,16,179","52.17"
"TATAMOTORS","EQ","21-Oct-2013","379.65","380.00","391.50","378.65","380.00","380.05","385.12","69,09,188","2,66,08,98,742.35","98,781","33,17,851","48.02"
"TATAMOTORS","EQ","22-Oct-2013","380.05","380.40","385.10","376.10","379.95","380.00","380.74","51,65,286","1,96,66,15,796.90","78,283","27,70,300","53.63"
"TATAMOTORS","EQ","23-Oct-2013","380.00","381.15","382.35","368.10","373.85","374.65","372.95","63,65,332","2,37,39,61,386.10","99,920","29,25,824","45.96"
"TATAMOTORS","EQ","24-Oct-2013","374.65","377.10","384.70","374.40","379.40","379.30","379.97","73,36,447","2,78,76,02,808.30","70,585","39,42,071","53.73"
"TATAMOTORS","EQ","25-Oct-2013","379.30","378.10","379.40","372.60","375.20","376.25","376.26","29,65,203","1,11,56,77,646.25","49,674","9,54,738","32.20"
"TATAMOTORS","EQ","28-Oct-2013","376.25","377.15","381.80","374.10","377.80","377.60","377.99","34,21,077","1,29,31,29,898.90","47,598","11,77,539","34.42"
"TATAMOTORS","EQ","29-Oct-2013","377.60","377.70","384.20","375.00","380.00","381.65","380.91","56,67,639","2,15,88,32,536.15","69,102","31,52,231","55.62"
"TATAMOTORS","EQ","30-Oct-2013","381.65","383.00","384.15","377.20","380.00","379.60","379.91","53,24,966","2,02,29,90,722.80","61,272","31,08,929","58.38"
"TATAMOTORS","EQ","31-Oct-2013","379.60","380.00","386.40","379.20","379.90","381.15","382.43","91,09,644","3,48,38,18,381.25","80,115","48,06,416","52.76"
"TATAMOTORS","EQ","01-Nov-2013","381.15","384.00","389.00","383.20","383.95","384.60","385.88","44,89,619","1,73,24,41,264.50","64,366","24,61,449","54.83"
"TATAMOTORS","EQ","03-Nov-2013","384.60","386.00","392.60","386.00","392.35","391.00","390.01","18,01,390","70,25,59,237.25","20,289","4,72,717","26.24"
"TATAMOTORS","EQ","05-Nov-2013","391.00","387.00","400.95","387.00","395.35","395.30","396.16","90,64,304","3,59,09,25,338.55","1,03,171","39,32,751","43.39"
"TATAMOTORS","EQ","06-Nov-2013","395.30","397.30","400.80","390.00","391.00","391.05","394.54","65,19,204","2,57,21,00,856.95","92,834","29,99,860","46.02"
