Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
AXISBANK,EQ,07-Oct-2011,952.00,977.15,"1,038.50",977.15,"1,032.05","1,030.30","1,018.39","25,44,501","2,59,12,95,497.00","89,051","10,07,798",39.61
AXISBANK,EQ,10-Oct-2011,"1,030.30","1,030.00","1,055.00","1,016.85","1,055.00","1,048.85","1,037.73","14,71,142","1,52,66,55,371.15","41,539","3,62,685",24.65
AXISBANK,EQ,11-Oct-2011,"1,048.85","1,060.25","1,080.85","1,045.00","1,050.25","1,052.75","1,059.90","18,47,144","1,95,77,94,159.50","48,311","7,22,928",39.14
AXISBANK,EQ,12-Oct-2011,"1,052.75","1,056.00","1,099.90","1,038.20","1,095.60","1,093.35","1,068.93","24,82,882","2,65,40,24,033.25","78,443","6,21,155",25.02
AXISBANK,EQ,13-Oct-2011,"1,093.35","1,100.00","1,108.00","1,080.00","1,080.00","1,086.55","1,093.49","30,75,951","3,36,35,20,602.95","84,174","9,99,650",32.5
AXISBANK,EQ,14-Oct-2011,"1,086.55","1,075.55","1,110.00","1,075.55","1,094.00","1,103.35","1,100.36","21,72,836","2,39,08,98,250.00","62,058","7,07,627",32.57
AXISBANK,EQ,17-Oct-2011,"1,103.35","1,111.90","1,132.80","1,108.25","1,115.00","1,121.85","1,123.88","18,09,829","2,03,40,38,311.80","57,614","7,01,972",38.79
AXISBANK,EQ,18-Oct-2011,"1,121.85","1,100.00","1,105.05","1,077.25","1,103.10","1,097.55","1,090.46","20,51,977","2,23,75,99,186.00","66,810","8,98,416",43.78
AXISBANK,EQ,19-Oct-2011,"1,097.55","1,105.00","1,135.00","1,104.70","1,132.00","1,132.75","1,125.60","11,62,310","1,30,82,93,331.95","44,731","3,15,992",27.19
AXISBANK,EQ,20-Oct-2011,"1,132.75","1,116.00","1,136.00","1,100.10","1,130.00","1,130.60","1,115.54","14,75,784","1,64,62,90,287.10","55,698","5,03,461",34.11
AXISBANK,EQ,21-Oct-2011,"1,130.60","1,136.80","1,139.90","1,122.30","1,124.10","1,127.70","1,131.45","14,19,262","1,60,58,22,776.70","51,415","4,26,905",30.08
AXISBANK,EQ,24-Oct-2011,"1,127.70","1,158.10","1,189.10","1,153.10","1,165.00","1,168.55","1,172.08","29,55,520","3,46,41,19,082.90","74,331","11,08,042",37.49
AXISBANK,EQ,25-Oct-2011,"1,168.55","1,172.25","1,194.00","1,110.00","1,118.00","1,117.75","1,137.58","61,08,295","6,94,87,01,608.65","1,19,020","29,47,104",48.25
AXISBANK,EQ,26-Oct-2011,"1,117.75","1,127.00","1,134.90","1,119.00","1,122.05","1,122.95","1,127.00","4,31,323","48,61,01,661.90","13,386","1,28,007",29.68
AXISBANK,EQ,28-Oct-2011,"1,122.95","1,161.00","1,182.80","1,145.55","1,151.00","1,150.50","1,168.54","40,92,836","4,78,26,61,121.70","1,34,993","26,45,123",64.63
AXISBANK,EQ,31-Oct-2011,"1,150.50","1,150.00","1,164.05","1,141.50","1,157.00","1,159.35","1,155.63","20,49,629","2,36,86,13,307.65","79,757","10,52,533",51.35
AXISBANK,EQ,01-Nov-2011,"1,159.35","1,150.00","1,156.30","1,130.10","1,136.50","1,135.95","1,143.16","11,40,433","1,30,37,02,547.90","38,697","4,47,207",39.21
AXISBANK,EQ,02-Nov-2011,"1,135.95","1,124.00","1,139.85","1,117.20","1,122.60","1,125.95","1,129.67","16,74,048","1,89,11,22,806.35","49,039","7,13,345",42.61
AXISBANK,EQ,03-Nov-2011,"1,125.95","1,119.90","1,130.00","1,102.30","1,114.20","1,115.85","1,113.84","17,20,967","1,91,68,74,153.55","54,319","6,34,786",36.89
AXISBANK,EQ,04-Nov-2011,"1,115.85","1,135.80","1,145.00","1,123.65","1,127.50","1,128.50","1,135.61","18,51,582","2,10,26,70,594.85","60,635","8,74,290",47.22
AXISBANK,EQ,08-Nov-2011,"1,128.50","1,139.00","1,153.90","1,129.30","1,137.50","1,140.35","1,142.04","15,69,232","1,79,21,21,161.85","53,524","4,03,183",25.69
