Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,07-Oct-2013,"1,092.55","1,087.00","1,088.90","1,044.00","1,071.00","1,071.85","1,060.76","39,20,380","4,15,85,83,575.35","84,744","18,34,590",46.8
AXISBANK,EQ,08-Oct-2013,"1,071.85","1,115.00","1,119.00","1,058.00","1,061.45","1,066.80","1,085.98","33,62,920","3,65,20,48,394.55","1,01,049","8,81,541",26.21
AXISBANK,EQ,09-Oct-2013,"1,066.80","1,055.25","1,084.80","1,046.05","1,074.60","1,079.30","1,067.64","34,24,385","3,65,60,08,368.50","1,01,065","9,41,933",27.51
AXISBANK,EQ,10-Oct-2013,"1,079.30","1,077.00","1,092.90","1,056.00","1,068.00","1,066.25","1,068.96","44,90,167","4,79,98,04,067.70","85,692","17,98,185",40.05
AXISBANK,EQ,11-Oct-2013,"1,066.25","1,087.25","1,103.90","1,066.00","1,101.05","1,099.65","1,083.87","42,97,130","4,65,75,22,440.95","1,14,076","13,40,304",31.19
AXISBANK,EQ,14-Oct-2013,"1,099.65","1,095.00","1,131.95","1,092.20","1,107.15","1,109.10","1,115.25","32,06,026","3,57,55,30,990.50","1,06,730","8,06,011",25.14
AXISBANK,EQ,15-Oct-2013,"1,109.10","1,115.90","1,126.00","1,076.25","1,081.00","1,081.45","1,097.85","27,12,797","2,97,82,44,454.10","77,191","6,38,225",23.53
AXISBANK,EQ,17-Oct-2013,"1,081.45","1,081.00","1,108.35","1,067.20","1,094.05","1,096.35","1,090.26","66,24,269","7,22,21,57,805.60","1,55,288","18,80,632",28.39
AXISBANK,EQ,18-Oct-2013,"1,096.35","1,102.80","1,161.00","1,090.35","1,157.15","1,156.20","1,131.39","45,69,767","5,17,01,95,513.25","1,32,982","10,50,451",22.99
AXISBANK,EQ,21-Oct-2013,"1,156.20","1,160.10","1,185.90","1,159.15","1,174.00","1,175.85","1,175.37","28,41,185","3,33,94,46,608.20","86,157","7,23,157",25.45
