Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
AMBUJACEM,EQ,05-Oct-2021,406.5,406.45,407.6,402.8,403.55,403.65,404.97,"25,05,330","1,01,45,90,809.70","32,016","14,80,614",59.10
AMBUJACEM,EQ,06-Oct-2021,403.65,404.0,405.8,393.5,394.05,394.9,399.89,"46,85,363","1,87,36,14,443.70","62,622","26,85,775",57.32
AMBUJACEM,EQ,07-Oct-2021,394.9,398.95,404.7,397.3,402.95,402.9,401.31,"55,08,787","2,21,07,31,859.85","53,502","34,50,811",62.64
AMBUJACEM,EQ,08-Oct-2021,402.9,404.9,406.0,401.25,403.2,403.05,403.47,"33,21,119","1,33,99,56,613.50","49,420","20,81,847",62.69
AMBUJACEM,EQ,11-Oct-2021,403.05,404.0,406.95,400.3,402.55,402.95,403.51,"35,22,402","1,42,13,07,345.25","31,911","20,97,281",59.54
AMBUJACEM,EQ,12-Oct-2021,402.95,402.85,405.0,398.55,403.75,403.6,402.14,"21,17,480","85,15,31,255.45","31,963","11,76,661",55.57
AMBUJACEM,EQ,13-Oct-2021,403.6,406.0,407.9,403.05,403.95,404.0,404.41,"37,80,216","1,52,87,61,725.85","38,402","24,78,297",65.56
AMBUJACEM,EQ,14-Oct-2021,404.0,407.0,414.8,405.25,409.05,408.75,410.55,"54,26,954","2,22,80,19,880.50","63,748","26,78,798",49.36
AMBUJACEM,EQ,18-Oct-2021,408.75,418.0,418.0,409.55,410.95,410.6,412.59,"53,19,195","2,19,46,65,010.35","62,110","28,91,382",54.36
AMBUJACEM,EQ,19-Oct-2021,410.6,412.25,412.8,387.05,389.5,389.35,396.95,"82,55,248","3,27,69,24,508.90","1,12,577","47,77,639",57.87
AMBUJACEM,EQ,20-Oct-2021,389.35,391.0,399.9,387.6,392.85,392.75,394.06,"52,45,333","2,06,69,72,865.05","67,137","17,09,698",32.59
AMBUJACEM,EQ,21-Oct-2021,392.75,394.85,394.85,378.2,380.2,379.9,381.85,"98,34,178","3,75,52,28,737.70","1,17,954","55,01,987",55.95
AMBUJACEM,EQ,22-Oct-2021,379.9,380.2,381.7,372.0,376.45,376.1,376.26,"52,53,226","1,97,65,77,801.95","86,481","27,52,368",52.39
AMBUJACEM,EQ,25-Oct-2021,376.1,378.0,378.2,365.75,375.3,375.9,373.6,"33,68,928","1,25,86,44,928.75","42,088","13,79,683",40.95
AMBUJACEM,EQ,26-Oct-2021,375.9,377.7,381.3,373.25,380.4,380.35,377.35,"34,27,318","1,29,32,87,793.20","40,674","16,78,077",48.96
AMBUJACEM,EQ,27-Oct-2021,380.35,375.0,387.05,373.7,381.1,381.85,382.04,"53,57,395","2,04,67,29,517.30","74,613","16,82,215",31.40
AMBUJACEM,EQ,28-Oct-2021,381.85,383.6,392.5,380.8,390.0,390.05,388.42,"74,19,992","2,88,20,55,220.00","1,11,926","34,96,405",47.12
AMBUJACEM,EQ,29-Oct-2021,390.05,392.0,406.85,382.25,404.0,404.8,399.02,"1,01,04,769","4,03,19,78,292.10","1,20,539","49,94,583",49.43
AMBUJACEM,EQ,01-Nov-2021,404.8,406.0,412.65,402.95,410.0,409.8,409.16,"39,97,407","1,63,55,61,524.70","57,929","15,53,658",38.87
AMBUJACEM,EQ,02-Nov-2021,409.8,410.0,414.45,405.1,407.9,407.25,410.08,"19,70,517","80,80,70,528.15","35,755","8,85,824",44.95
AMBUJACEM,EQ,03-Nov-2021,407.25,408.75,414.7,403.5,412.5,412.9,410.76,"21,47,236","88,20,07,430.95","25,927","10,54,228",49.10
AMBUJACEM,EQ,04-Nov-2021,412.9,413.2,414.7,412.25,413.35,413.2,413.22,"3,20,391","13,23,92,613.20","8,171","1,91,651",59.82
AMBUJACEM,EQ,08-Nov-2021,413.2,415.0,430.35,413.45,430.0,429.75,425.38,"70,89,536","3,01,57,66,577.20","1,45,810","36,22,183",51.09
AMBUJACEM,EQ,09-Nov-2021,429.75,430.9,435.0,426.5,430.75,431.25,431.15,"23,78,131","1,02,53,24,537.55","39,713","8,66,476",36.44
AMBUJACEM,EQ,10-Nov-2021,431.25,427.6,433.4,424.8,426.1,428.35,429.01,"22,02,717","94,49,91,064.25","28,390","10,80,287",49.04
