Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBUJACEM,EQ,05-Oct-2023,429.65,430.0,434.85,428.75,432.2,432.85,432.63,"12,87,179","55,68,67,517.30","18,608","5,90,649",45.89
AMBUJACEM,EQ,06-Oct-2023,432.85,434.0,437.0,431.8,434.2,435.7,434.65,"15,47,935","67,28,05,568.90","18,167","7,56,835",48.89
AMBUJACEM,EQ,09-Oct-2023,435.7,430.1,437.5,427.5,428.75,430.2,432.1,"43,70,429","1,88,84,42,221.35","23,794","29,86,784",68.34
AMBUJACEM,EQ,10-Oct-2023,430.2,430.15,438.85,428.0,435.0,437.2,435.55,"32,88,646","1,43,23,62,965.20","27,847","18,85,523",57.33
AMBUJACEM,EQ,11-Oct-2023,437.2,438.9,447.0,438.0,447.0,445.1,443.94,"32,28,077","1,43,30,68,730.60","41,680","18,30,390",56.70
AMBUJACEM,EQ,12-Oct-2023,445.1,449.0,450.35,444.05,444.5,445.6,446.61,"17,00,298","75,93,73,986.70","25,154","8,08,909",47.57
AMBUJACEM,EQ,13-Oct-2023,445.6,444.5,445.8,438.9,439.85,439.9,442.19,"9,50,920","42,04,88,565.70","17,098","4,58,854",48.25
AMBUJACEM,EQ,16-Oct-2023,439.9,439.0,444.8,438.95,442.55,443.25,442.53,"13,53,905","59,91,47,747.05","26,858","7,56,876",55.90
AMBUJACEM,EQ,17-Oct-2023,443.25,443.55,444.5,440.1,441.5,442.65,442.44,"10,43,674","46,17,60,595.25","19,677","5,26,170",50.42
AMBUJACEM,EQ,18-Oct-2023,442.65,442.4,444.0,431.5,432.9,433.0,436.55,"19,19,224","83,78,45,615.00","37,468","10,36,474",54.00
AMBUJACEM,EQ,19-Oct-2023,433.0,432.55,440.05,430.1,438.55,437.45,435.12,"11,31,689","49,24,21,760.35","25,150","3,56,866",31.53
AMBUJACEM,EQ,20-Oct-2023,437.45,437.0,439.55,428.1,430.0,430.85,431.29,"20,66,618","89,13,15,607.75","27,687","10,76,173",52.07
AMBUJACEM,EQ,23-Oct-2023,430.85,432.75,432.75,411.6,413.8,415.95,421.08,"19,25,177","81,06,51,116.50","27,153","9,60,546",49.89
AMBUJACEM,EQ,25-Oct-2023,415.95,417.0,422.75,413.6,417.0,417.95,419.4,"32,89,897","1,37,97,94,610.70","34,018","20,24,230",61.53
AMBUJACEM,EQ,26-Oct-2023,417.95,414.6,422.5,407.75,421.0,416.3,412.19,"22,96,586","94,66,35,262.25","32,744","11,56,870",50.37
AMBUJACEM,EQ,27-Oct-2023,416.3,419.45,423.95,415.1,418.7,417.25,418.29,"16,93,364","70,83,13,607.30","20,212","7,57,608",44.74
AMBUJACEM,EQ,30-Oct-2023,417.25,420.2,423.6,416.0,422.9,421.95,420.87,"12,90,400","54,30,93,961.85","18,597","6,12,524",47.47
AMBUJACEM,EQ,31-Oct-2023,421.95,423.95,427.45,421.0,424.0,424.45,424.1,"10,78,687","45,74,71,974.35","21,104","3,44,300",31.92
AMBUJACEM,EQ,01-Nov-2023,424.45,425.5,425.5,404.05,406.5,406.65,412.66,"51,88,883","2,14,12,43,503.70","63,701","20,56,538",39.63
AMBUJACEM,EQ,02-Nov-2023,406.65,411.0,423.4,410.15,419.5,419.7,418.58,"32,89,570","1,37,69,64,362.40","44,617","9,81,388",29.83
AMBUJACEM,EQ,03-Nov-2023,419.7,421.0,423.95,417.25,420.05,420.9,420.32,"15,79,359","66,38,42,105.00","21,514","5,89,303",37.31
AMBUJACEM,EQ,06-Nov-2023,420.9,421.95,425.0,420.0,421.35,421.25,421.91,"10,61,040","44,76,65,328.60","20,359","5,51,592",51.99
AMBUJACEM,EQ,07-Nov-2023,421.25,421.8,423.35,418.1,420.6,419.55,419.97,"6,62,939","27,84,14,324.25","12,714","3,17,136",47.84
