Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BERGEPAINT,EQ,05-Oct-2018,273.25,270.8,274.95,265.55,268.0,267.9,270.75,"8,46,114","22,90,84,499.45","14,683","4,43,431",52.41
BERGEPAINT,EQ,08-Oct-2018,267.9,268.0,279.2,265.1,272.25,275.35,274.4,"8,07,183","22,14,92,356.10","23,386","2,45,602",30.43
BERGEPAINT,EQ,09-Oct-2018,275.35,272.25,275.9,266.85,272.15,272.7,271.59,"7,91,150","21,48,69,689.25","10,444","4,05,030",51.2
BERGEPAINT,EQ,10-Oct-2018,272.7,270.55,279.4,267.5,275.95,275.35,274.55,"6,63,009","18,20,28,669.10","8,585","2,70,971",40.87
BERGEPAINT,EQ,11-Oct-2018,275.35,272.2,278.25,268.2,275.0,274.75,273.04,"5,72,693","15,63,67,890.20","9,827","1,79,491",31.34
BERGEPAINT,EQ,12-Oct-2018,274.75,280.55,285.9,279.15,285.0,283.95,282.83,"8,75,819","24,77,04,344.10","17,636","1,54,715",17.67
BERGEPAINT,EQ,15-Oct-2018,283.95,289.9,290.0,279.0,280.75,281.95,281.53,"4,25,132","11,96,87,667.15","6,857","91,318",21.48
BERGEPAINT,EQ,16-Oct-2018,281.95,285.1,293.9,283.2,292.1,291.55,289.8,"7,82,549","22,67,84,341.75","11,767","2,37,574",30.36
BERGEPAINT,EQ,17-Oct-2018,291.55,293.7,294.7,287.3,293.05,292.7,291.32,"7,18,073","20,91,85,704.90","11,182","3,31,986",46.23
BERGEPAINT,EQ,19-Oct-2018,292.7,290.15,295.0,281.65,283.3,283.3,287.86,"3,75,698","10,81,48,885.10","7,780","88,417",23.53
BERGEPAINT,EQ,22-Oct-2018,283.3,286.0,288.7,275.5,275.5,279.95,282.51,"7,52,887","21,26,94,675.25","14,103","2,23,979",29.75
BERGEPAINT,EQ,23-Oct-2018,279.95,262.15,270.6,260.0,263.0,266.3,267.42,"18,39,579","49,19,48,188.25","46,558","7,38,744",40.16
BERGEPAINT,EQ,24-Oct-2018,266.3,270.0,280.1,268.1,277.4,277.3,274.99,"6,39,227","17,57,83,796.10","27,993","1,65,868",25.95
BERGEPAINT,EQ,25-Oct-2018,277.3,276.1,296.0,274.0,290.8,290.95,287.92,"17,79,571","51,23,77,295.60","28,991","4,33,319",24.35
BERGEPAINT,EQ,26-Oct-2018,290.95,290.0,292.4,280.5,283.25,282.5,285.13,"5,91,121","16,85,44,604.00","13,532","1,29,202",21.86
BERGEPAINT,EQ,29-Oct-2018,282.5,282.55,289.9,282.55,285.1,285.4,286.49,"5,75,145","16,47,72,564.75","9,992","1,78,560",31.05
BERGEPAINT,EQ,30-Oct-2018,285.4,286.4,287.75,283.5,285.5,285.0,285.43,"3,83,406","10,94,34,302.60","6,450","1,18,910",31.01
BERGEPAINT,EQ,31-Oct-2018,285.0,286.5,288.4,277.5,279.65,279.9,279.83,"12,83,904","35,92,77,673.75","23,373","6,17,565",48.1
BERGEPAINT,EQ,01-Nov-2018,279.9,281.55,294.0,277.15,293.9,292.0,286.86,"31,27,450","89,71,53,693.55","43,471","8,85,630",28.32
BERGEPAINT,EQ,02-Nov-2018,292.0,300.0,317.4,300.0,302.7,304.4,310.24,"33,64,564","1,04,38,21,893.55","55,530","5,11,984",15.22
BERGEPAINT,EQ,05-Nov-2018,304.4,304.0,307.45,298.0,301.3,301.05,302.17,"7,55,752","22,83,65,780.50","11,601","1,57,481",20.84
BERGEPAINT,EQ,06-Nov-2018,301.05,302.0,304.25,296.55,297.2,297.65,299.86,"5,04,292","15,12,16,763.40","8,242","1,49,368",29.62
BERGEPAINT,EQ,07-Nov-2018,297.65,299.8,299.9,297.8,298.65,299.2,299.05,"55,527","1,66,05,134.60","1,173","23,480",42.29
BERGEPAINT,EQ,09-Nov-2018,299.2,302.5,311.8,301.35,309.0,309.25,308.35,"10,33,763","31,87,61,885.60","18,493","2,34,917",22.72
BERGEPAINT,EQ,12-Nov-2018,309.25,308.0,309.2,296.6,299.5,300.6,302.23,"5,94,677","17,97,29,441.90","11,571","2,43,951",41.02
BERGEPAINT,EQ,13-Nov-2018,300.6,300.6,310.0,300.1,309.6,309.1,306.75,"8,34,886","25,61,02,046.50","16,731","3,48,340",41.72
