Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
BERGEPAINT,EQ,05-Oct-2021,820.8,819.4,828.0,815.6,826.0,825.45,823.62,"4,04,939","33,35,14,297.85","17,575","1,37,575",33.97
BERGEPAINT,EQ,06-Oct-2021,825.45,828.85,832.15,815.6,817.0,821.1,824.33,"3,82,313","31,51,53,192.40","18,382","1,65,400",43.26
BERGEPAINT,EQ,07-Oct-2021,821.1,826.7,839.3,821.5,830.5,829.55,831.92,"5,03,440","41,88,19,662.40","23,693","1,42,144",28.23
BERGEPAINT,EQ,08-Oct-2021,829.55,831.9,837.0,827.15,830.65,830.35,832.2,"3,26,697","27,18,76,298.65","13,915","1,27,712",39.09
BERGEPAINT,EQ,11-Oct-2021,830.35,839.0,839.0,821.75,821.75,824.0,830.23,"3,76,566","31,26,36,548.05","18,606","1,53,987",40.89
BERGEPAINT,EQ,12-Oct-2021,824.0,825.0,827.55,816.05,821.0,820.75,820.84,"5,15,405","42,30,62,924.70","22,899","2,66,918",51.79
BERGEPAINT,EQ,13-Oct-2021,820.75,826.75,833.7,821.7,829.9,829.15,828.41,"6,79,367","56,27,92,609.95","19,448","3,00,465",44.23
BERGEPAINT,EQ,14-Oct-2021,829.15,833.1,856.95,830.5,839.65,838.45,847.48,"14,26,028","1,20,85,32,535.50","46,155","3,75,667",26.34
BERGEPAINT,EQ,18-Oct-2021,838.45,846.0,848.0,833.5,836.0,837.9,840.97,"5,97,199","50,22,28,343.30","24,210","2,44,482",40.94
BERGEPAINT,EQ,19-Oct-2021,837.9,838.1,845.65,816.05,823.0,823.75,831.28,"5,13,724","42,70,47,261.55","22,356","2,13,132",41.49
BERGEPAINT,EQ,20-Oct-2021,823.75,823.0,823.0,794.35,800.3,799.6,805.04,"9,64,721","77,66,41,920.55","48,119","4,11,051",42.61
BERGEPAINT,EQ,21-Oct-2021,799.6,807.55,808.0,735.0,751.4,750.05,760.39,"26,09,247","1,98,40,54,906.40","1,22,139","10,69,064",40.97
BERGEPAINT,EQ,22-Oct-2021,750.05,749.95,760.0,732.0,739.4,736.45,744.65,"11,02,036","82,06,30,230.55","56,727","4,40,783",40.00
BERGEPAINT,EQ,25-Oct-2021,736.45,740.0,740.0,716.0,717.6,717.75,723.83,"8,37,368","60,61,13,935.35","42,138","3,47,056",41.45
BERGEPAINT,EQ,26-Oct-2021,717.75,717.75,743.0,717.75,739.0,733.3,726.07,"6,86,132","49,81,80,340.65","32,332","3,27,768",47.77
BERGEPAINT,EQ,27-Oct-2021,733.3,747.0,767.8,732.65,737.3,736.2,752.34,"41,25,252","3,10,35,98,938.55","1,14,520","6,97,038",16.90
BERGEPAINT,EQ,28-Oct-2021,736.2,740.0,747.0,722.05,737.0,737.7,738.82,"9,41,600","69,56,71,566.55","35,017","2,29,615",24.39
BERGEPAINT,EQ,29-Oct-2021,737.7,741.0,748.0,730.55,741.9,741.5,741.68,"6,57,211","48,74,41,853.55","31,645","2,28,643",34.79
BERGEPAINT,EQ,01-Nov-2021,741.5,746.0,756.9,743.35,756.9,753.85,751.2,"6,51,675","48,95,36,674.20","32,052","2,78,956",42.81
BERGEPAINT,EQ,02-Nov-2021,753.85,757.0,759.85,745.0,755.0,755.65,751.71,"10,19,283","76,62,01,033.60","34,525","5,10,089",50.04
BERGEPAINT,EQ,03-Nov-2021,755.65,759.4,764.8,751.4,762.0,761.55,759.6,"4,51,049","34,26,16,886.15","15,952","2,28,037",50.56
BERGEPAINT,EQ,04-Nov-2021,761.55,768.7,769.5,760.0,763.65,763.0,765.52,"1,60,786","12,30,85,635.05","13,075","83,376",51.86
BERGEPAINT,EQ,08-Nov-2021,763.0,767.0,768.7,751.9,756.95,755.35,758.19,"5,44,212","41,26,13,878.20","24,227","2,64,867",48.67
BERGEPAINT,EQ,09-Nov-2021,755.35,752.9,778.05,752.05,776.0,774.95,768.19,"9,26,040","71,13,77,514.35","28,960","2,22,003",23.97
BERGEPAINT,EQ,10-Nov-2021,774.95,776.7,781.9,766.55,775.7,774.95,774.7,"8,81,405","68,28,26,871.00","29,520","2,00,332",22.73
BERGEPAINT,EQ,11-Nov-2021,774.95,775.0,791.65,761.05,778.65,779.15,776.3,"19,52,162","1,51,54,66,386.20","59,288","3,34,223",17.12
BERGEPAINT,EQ,12-Nov-2021,779.15,783.3,797.9,776.75,795.2,794.5,787.38,"9,84,960","77,55,36,560.95","30,866","4,71,780",47.90
BERGEPAINT,EQ,15-Nov-2021,794.5,797.0,813.2,795.05,798.2,798.8,802.66,"12,73,868","1,02,24,82,311.95","32,472","5,73,646",45.03
BERGEPAINT,EQ,16-Nov-2021,798.8,800.0,806.75,789.1,790.9,790.75,797.9,"8,99,369","71,76,07,272.05","26,428","4,34,103",48.27
BERGEPAINT,EQ,17-Nov-2021,790.75,789.0,811.4,785.0,792.0,792.15,800.18,"6,77,516","54,21,35,507.90","24,500","1,09,887",16.22
BERGEPAINT,EQ,18-Nov-2021,792.15,796.95,802.7,782.8,788.0,788.15,790.16,"7,35,953","58,15,17,382.10","19,370","3,97,728",54.04
BERGEPAINT,EQ,22-Nov-2021,788.15,795.2,795.95,773.5,776.45,778.4,785.97,"7,87,735","61,91,38,237.65","32,923","3,02,933",38.46
BERGEPAINT,EQ,23-Nov-2021,778.4,778.4,782.0,763.3,769.4,769.25,770.89,"15,73,134","1,21,27,13,232.55","42,406","5,02,627",31.95
BERGEPAINT,EQ,24-Nov-2021,769.25,777.95,777.95,760.0,762.45,764.0,769.74,"10,15,093","78,13,54,685.80","22,811","2,87,657",28.34
BERGEPAINT,EQ,25-Nov-2021,764.0,769.0,769.95,753.3,758.8,757.5,758.32,"10,23,148","77,58,72,113.00","23,904","5,91,239",57.79
BERGEPAINT,EQ,26-Nov-2021,757.5,751.0,765.85,748.3,762.05,762.1,757.87,"7,38,231","55,94,82,046.70","29,549","2,39,385",32.43
BERGEPAINT,EQ,29-Nov-2021,762.1,756.0,763.15,737.15,741.95,740.25,748.52,"11,00,970","82,41,02,674.80","38,852","6,05,350",54.98
BERGEPAINT,EQ,30-Nov-2021,740.25,740.25,768.95,739.2,751.7,751.75,753.73,"31,06,916","2,34,17,68,048.75","53,654","16,91,379",54.44
BERGEPAINT,EQ,01-Dec-2021,751.75,757.9,757.9,738.4,742.0,740.95,747.2,"6,42,858","48,03,43,741.90","26,834","2,78,534",43.33
BERGEPAINT,EQ,02-Dec-2021,740.95,748.0,752.9,733.55,743.0,743.55,742.05,"11,24,671","83,45,65,015.80","42,588","6,58,735",58.57
BERGEPAINT,EQ,03-Dec-2021,743.55,744.0,751.0,728.0,729.7,729.95,739.0,"6,43,321","47,54,13,469.50","32,017","2,76,438",42.97
BERGEPAINT,EQ,06-Dec-2021,729.95,733.8,733.8,721.0,726.4,725.8,725.91,"8,26,430","59,99,16,690.10","42,626","4,58,887",55.53
BERGEPAINT,EQ,07-Dec-2021,725.8,727.15,737.9,727.0,737.85,736.2,733.89,"6,57,014","48,21,73,553.50","35,697","2,93,548",44.68
BERGEPAINT,EQ,08-Dec-2021,736.2,743.0,749.75,736.8,748.0,747.9,743.45,"6,00,959","44,67,82,134.95","19,423","2,75,657",45.87
BERGEPAINT,EQ,09-Dec-2021,747.9,754.8,754.8,740.7,744.0,742.45,744.6,"9,06,795","67,51,99,683.20","24,244","5,33,646",58.85
BERGEPAINT,EQ,10-Dec-2021,742.45,745.8,765.0,740.9,762.0,762.5,759.01,"8,78,950","66,71,36,070.55","31,160","1,61,438",18.37
BERGEPAINT,EQ,13-Dec-2021,762.5,765.0,768.0,752.25,757.85,755.5,760.4,"4,67,776","35,56,95,550.00","20,948","1,64,117",35.08
BERGEPAINT,EQ,14-Dec-2021,755.5,755.5,759.4,747.6,755.35,756.85,754.05,"4,15,526","31,33,28,905.10","19,504","2,05,399",49.43
BERGEPAINT,EQ,15-Dec-2021,756.85,751.0,762.6,751.0,758.4,759.25,756.82,"2,13,938","16,19,13,224.10","10,027","70,381",32.90
BERGEPAINT,EQ,16-Dec-2021,759.25,762.1,766.4,756.55,761.4,760.8,762.56,"4,54,200","34,63,53,616.80","17,493","1,86,843",41.14
BERGEPAINT,EQ,17-Dec-2021,760.8,761.0,763.75,751.4,754.55,753.25,755.63,"7,84,150","59,25,27,425.60","18,459","4,31,489",55.03
BERGEPAINT,EQ,20-Dec-2021,753.25,752.55,752.55,728.3,738.85,739.45,736.0,"5,71,359","42,05,19,240.55","30,211","2,07,555",36.33
BERGEPAINT,EQ,21-Dec-2021,739.45,743.0,753.0,740.2,744.0,743.4,746.14,"2,39,091","17,83,94,968.00","11,702","77,089",32.24
BERGEPAINT,EQ,22-Dec-2021,743.4,747.0,753.0,740.6,747.95,746.2,747.52,"10,90,789","81,53,89,042.20","29,020","1,88,576",17.29
BERGEPAINT,EQ,23-Dec-2021,746.2,750.0,753.45,745.0,751.05,750.55,749.46,"2,24,013","16,78,88,166.40","12,933","87,099",38.88
BERGEPAINT,EQ,24-Dec-2021,750.55,751.55,755.65,739.0,740.0,740.9,745.87,"2,50,167","18,65,92,293.00","11,782","57,938",23.16
BERGEPAINT,EQ,27-Dec-2021,740.9,740.9,748.05,732.25,747.5,746.25,740.61,"2,41,926","17,91,73,709.40","10,385","56,066",23.17
BERGEPAINT,EQ,28-Dec-2021,746.25,746.9,754.95,744.45,752.5,752.6,751.68,"2,58,497","19,43,06,127.50","13,760","94,725",36.64
BERGEPAINT,EQ,29-Dec-2021,752.6,755.8,759.85,750.0,754.3,752.2,755.26,"3,51,601","26,55,51,803.65","11,955","1,11,558",31.73
BERGEPAINT,EQ,30-Dec-2021,752.2,748.0,765.65,748.0,761.2,759.55,757.56,"6,28,625","47,62,22,711.40","16,777","3,64,695",58.01
BERGEPAINT,EQ,31-Dec-2021,759.55,764.85,781.0,757.2,772.3,771.75,772.46,"10,40,093","80,34,31,234.10","26,850","3,25,060",31.25
BERGEPAINT,EQ,03-Jan-2022,771.75,772.3,783.3,767.0,776.0,776.4,774.41,"3,04,157","23,55,43,212.75","13,426","90,955",29.90
BERGEPAINT,EQ,04-Jan-2022,776.4,780.0,786.2,768.35,785.0,784.45,780.07,"4,08,559","31,87,05,483.90","18,408","1,37,591",33.68
BERGEPAINT,EQ,05-Jan-2022,784.45,787.45,792.95,778.55,789.1,789.75,786.96,"4,67,130","36,76,11,730.10","19,895","1,92,364",41.18
BERGEPAINT,EQ,06-Jan-2022,789.75,785.0,786.55,775.35,781.0,780.6,781.9,"3,38,280","26,45,01,937.45","19,308","1,54,855",45.78
