Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BPCL,EQ,08-Oct-2012,356.5,358.9,362.5,354.1,356.5,355.35,358.87,"5,77,697","20,73,16,674.75","14,399","1,83,079",31.69
BPCL,EQ,09-Oct-2012,355.35,356.25,360.55,351.6,356.1,357.4,357.92,"14,59,672","52,24,52,258.10","23,578","8,77,392",60.11
BPCL,EQ,10-Oct-2012,357.4,357.4,357.4,350.1,350.7,351.7,352.05,"9,87,972","34,78,13,209.45","15,561","5,62,586",56.94
BPCL,EQ,11-Oct-2012,351.7,351.0,356.8,351.0,354.0,352.8,354.08,"8,58,643","30,40,26,063.85","11,794","4,81,755",56.11
BPCL,EQ,12-Oct-2012,352.8,354.95,358.45,350.45,351.5,351.15,354.55,"5,71,254","20,25,40,938.20","9,828","2,80,725",49.14
BPCL,EQ,15-Oct-2012,351.15,348.2,353.1,348.2,349.6,349.85,350.59,"5,42,795","19,02,96,515.40","14,914","2,89,329",53.3
BPCL,EQ,16-Oct-2012,349.85,350.0,351.5,343.55,345.65,345.5,346.64,"10,09,906","35,00,77,078.90","23,327","7,17,168",71.01
BPCL,EQ,17-Oct-2012,345.5,347.4,347.4,342.25,344.5,344.45,344.28,"4,38,096","15,08,28,509.10","12,383","2,42,412",55.33
BPCL,EQ,18-Oct-2012,344.45,346.0,348.1,342.45,346.6,347.05,345.31,"7,57,796","26,16,72,731.55","16,300","4,81,954",63.6
BPCL,EQ,19-Oct-2012,347.05,347.0,347.65,337.05,339.05,339.65,341.51,"7,16,275","24,46,12,771.85","23,174","3,68,271",51.41
BPCL,EQ,22-Oct-2012,339.65,337.2,343.0,335.65,342.1,342.4,340.22,"7,53,408","25,63,23,336.80","14,656","2,86,150",37.98
BPCL,EQ,23-Oct-2012,342.4,346.05,350.2,343.0,348.95,348.55,347.24,"7,92,796","27,52,94,148.60","19,751","4,50,207",56.79
BPCL,EQ,25-Oct-2012,348.55,351.8,352.0,346.6,350.1,350.5,350.07,"7,79,002","27,27,07,128.35","10,078","4,18,795",53.76
BPCL,EQ,26-Oct-2012,350.5,349.8,351.65,347.0,348.9,348.0,348.75,"2,22,181","7,74,84,765.60","6,184","93,885",42.26
BPCL,EQ,29-Oct-2012,348.0,345.2,348.9,342.0,342.85,342.6,344.47,"1,69,861","5,85,11,860.65","7,075","60,677",35.72
BPCL,EQ,30-Oct-2012,342.6,342.6,343.0,337.0,338.0,338.1,338.72,"4,63,055","15,68,43,948.10","15,364","2,28,754",49.4
BPCL,EQ,31-Oct-2012,338.1,335.4,340.55,335.4,339.0,337.55,337.54,"4,18,273","14,11,82,625.45","11,998","1,70,999",40.88
BPCL,EQ,01-Nov-2012,337.55,338.0,340.25,336.15,337.6,337.9,338.26,"8,79,168","29,73,83,268.50","13,667","6,18,411",70.34
BPCL,EQ,02-Nov-2012,337.9,339.0,342.05,335.2,336.2,336.05,337.55,"9,09,707","30,70,71,101.60","10,921","6,11,571",67.23
BPCL,EQ,05-Nov-2012,336.05,339.5,340.95,337.2,340.25,339.8,338.9,"4,63,093","15,69,44,328.65","4,982","2,89,602",62.54
BPCL,EQ,06-Nov-2012,339.8,339.95,342.4,338.1,341.0,341.45,340.34,"5,99,435","20,40,08,879.35","15,299","3,94,387",65.79
BPCL,EQ,07-Nov-2012,341.45,339.85,341.8,339.2,340.05,339.85,340.41,"6,75,042","22,97,91,222.75","14,779","5,06,114",74.98
BPCL,EQ,08-Nov-2012,339.85,340.8,343.9,338.45,339.1,339.15,341.37,"9,93,143","33,90,29,734.90","23,713","5,38,786",54.25
BPCL,EQ,09-Nov-2012,339.15,342.5,342.5,335.4,337.8,338.4,339.16,"9,18,815","31,16,27,081.65","23,611","3,48,184",37.89
BPCL,EQ,12-Nov-2012,338.4,339.0,341.0,331.55,331.6,333.3,335.37,"4,22,777","14,17,86,245.65","19,897","1,83,943",43.51
BPCL,EQ,13-Nov-2012,333.3,335.1,335.1,330.55,333.0,333.3,333.2,"69,564","2,31,78,646.45","1,836","23,565",33.88
BPCL,EQ,15-Nov-2012,333.3,334.0,334.9,328.45,331.1,330.7,330.96,"8,54,168","28,26,93,572.60","43,020","6,59,510",77.21
BPCL,EQ,16-Nov-2012,330.7,332.4,332.7,326.9,328.25,329.05,329.33,"4,75,981","15,67,56,800.15","7,576","3,20,054",67.24
BPCL,EQ,19-Nov-2012,329.05,327.2,332.25,323.5,327.5,328.05,328.44,"6,23,388","20,47,48,017.50","15,225","3,29,588",52.87
BPCL,EQ,20-Nov-2012,328.05,328.0,331.0,324.05,326.05,326.4,326.65,"3,39,344","11,08,47,721.85","9,069","1,67,491",49.36
BPCL,EQ,21-Nov-2012,326.4,327.05,329.3,324.1,326.25,328.65,326.61,"5,72,942","18,71,28,561.30","26,853","3,89,216",67.93
BPCL,EQ,22-Nov-2012,328.65,327.2,328.7,324.55,325.6,325.95,325.96,"5,73,513","18,69,42,125.70","9,242","3,92,791",68.49
BPCL,EQ,23-Nov-2012,325.95,326.0,327.6,319.35,321.3,321.45,323.75,"7,81,239","25,29,26,466.10","19,258","5,26,866",67.44
BPCL,EQ,26-Nov-2012,321.45,320.15,322.7,315.0,315.35,315.45,317.68,"9,56,935","30,40,01,618.35","21,947","6,76,844",70.73
BPCL,EQ,27-Nov-2012,315.45,316.2,330.9,316.2,328.5,328.35,326.94,"15,63,281","51,10,99,795.85","22,300","11,00,860",70.42
BPCL,EQ,29-Nov-2012,328.35,329.35,339.25,326.95,336.5,336.6,335.91,"8,55,115","28,72,44,413.80","13,529","5,42,120",63.4
BPCL,EQ,30-Nov-2012,336.6,340.0,349.5,336.8,346.0,347.5,345.32,"9,09,603","31,41,04,032.00","17,306","5,97,032",65.64
BPCL,EQ,03-Dec-2012,347.5,345.0,347.0,341.3,344.0,343.9,343.67,"8,26,863","28,41,68,671.05","13,376","6,09,707",73.74
BPCL,EQ,04-Dec-2012,343.9,344.9,352.55,344.0,348.0,349.7,350.35,"7,95,474","27,86,91,118.65","14,400","5,30,135",66.64
BPCL,EQ,05-Dec-2012,349.7,349.7,360.75,348.95,357.8,358.7,354.98,"6,64,044","23,57,23,983.60","12,851","4,21,343",63.45
BPCL,EQ,06-Dec-2012,358.7,356.5,362.65,353.9,362.5,360.6,358.43,"14,03,735","50,31,39,963.75","36,522","8,59,862",61.26
BPCL,EQ,07-Dec-2012,360.6,362.0,365.9,357.95,358.1,358.2,361.28,"9,08,272","32,81,43,800.75","22,336","5,29,008",58.24
BPCL,EQ,10-Dec-2012,358.2,358.9,360.75,350.9,358.8,356.7,356.06,"4,00,979","14,27,71,802.10","8,197","1,65,202",41.2
BPCL,EQ,11-Dec-2012,356.7,357.7,363.0,354.8,359.3,359.65,359.62,"4,80,248","17,27,07,676.15","12,629","2,59,798",54.1
BPCL,EQ,12-Dec-2012,359.65,362.0,362.4,353.0,353.55,353.85,354.93,"3,22,664","11,45,23,872.85","6,131","1,88,759",58.5
BPCL,EQ,13-Dec-2012,353.85,354.5,358.15,350.6,351.45,351.45,353.03,"2,19,569","7,75,14,997.35","5,401","1,30,428",59.4
BPCL,EQ,14-Dec-2012,351.45,351.45,356.7,348.5,351.85,350.95,353.55,"7,69,168","27,19,36,051.30","14,055","4,84,977",63.05
BPCL,EQ,17-Dec-2012,350.95,352.0,355.0,343.35,344.5,344.9,346.2,"7,48,468","25,91,19,699.25","14,605","5,16,691",69.03
BPCL,EQ,18-Dec-2012,344.9,345.3,351.4,342.05,350.5,350.25,348.02,"5,48,368","19,08,43,282.45","11,438","3,35,470",61.18
BPCL,EQ,19-Dec-2012,350.25,349.5,359.85,347.6,356.9,357.65,355.91,"11,19,033","39,82,71,331.75","21,198","7,34,443",65.63
BPCL,EQ,20-Dec-2012,357.65,356.95,359.0,347.0,350.0,349.9,350.87,"7,50,886","26,34,64,878.50","14,798","4,91,643",65.48
BPCL,EQ,21-Dec-2012,349.9,349.5,349.5,342.05,345.55,343.8,344.6,"5,71,741","19,70,20,933.05","11,509","3,75,256",65.63
BPCL,EQ,24-Dec-2012,343.8,345.5,351.9,340.55,347.7,346.95,347.95,"5,87,881","20,45,53,415.45","8,873","3,58,794",61.03
BPCL,EQ,26-Dec-2012,346.95,347.0,350.0,345.0,349.6,348.75,347.01,"5,07,539","17,61,23,126.10","12,867","2,66,804",52.57
BPCL,EQ,27-Dec-2012,348.75,349.8,350.5,342.65,344.5,344.05,346.03,"13,04,867","45,15,27,043.00","14,898","7,37,525",56.52
BPCL,EQ,28-Dec-2012,344.05,347.3,362.0,345.2,352.5,352.3,355.82,"19,67,412","70,00,45,298.10","26,929","7,91,898",40.25
BPCL,EQ,31-Dec-2012,352.3,353.55,357.3,349.1,356.0,356.35,353.22,"9,31,535","32,90,36,961.80","8,969","5,45,346",58.54
BPCL,EQ,01-Jan-2013,356.35,357.5,358.45,353.3,356.35,356.3,356.27,"5,22,349","18,60,98,119.90","7,758","2,98,558",57.16
BPCL,EQ,02-Jan-2013,356.3,359.3,368.65,356.6,367.5,366.45,364.26,"9,87,401","35,96,73,832.75","18,500","5,48,042",55.5
BPCL,EQ,03-Jan-2013,366.45,367.55,371.0,363.2,366.0,366.25,367.1,"5,98,759","21,98,07,035.90","10,238","2,97,851",49.74
BPCL,EQ,04-Jan-2013,366.25,365.2,379.7,365.2,373.9,374.0,375.53,"17,82,494","66,93,86,513.10","24,871","6,87,048",38.54
BPCL,EQ,07-Jan-2013,374.0,377.0,393.3,376.0,386.2,385.5,387.1,"21,38,906","82,79,63,496.35","47,118","9,46,476",44.25
BPCL,EQ,08-Jan-2013,385.5,387.9,389.8,377.3,380.6,380.75,381.05,"14,02,781","53,45,28,404.40","23,952","6,37,568",45.45
BPCL,EQ,09-Jan-2013,380.75,382.1,392.9,374.6,384.5,385.7,382.94,"17,11,356","65,53,48,900.75","18,302","7,59,175",44.36
BPCL,EQ,10-Jan-2013,385.7,390.0,395.85,379.1,379.3,380.85,387.09,"32,10,308","1,24,26,81,008.65","57,737","12,24,954",38.16
BPCL,EQ,11-Jan-2013,380.85,382.0,382.75,368.8,369.6,370.75,372.51,"12,30,950","45,85,47,248.15","18,124","5,09,016",41.35
BPCL,EQ,14-Jan-2013,370.75,373.0,376.4,367.8,375.5,373.15,372.11,"11,16,428","41,54,33,659.15","15,972","5,41,844",48.53
BPCL,EQ,15-Jan-2013,373.15,374.0,386.55,371.15,385.8,385.2,379.99,"14,39,667","54,70,62,915.90","21,176","8,13,246",56.49
BPCL,EQ,16-Jan-2013,385.2,388.4,388.75,378.0,382.5,382.2,381.94,"11,05,255","42,21,40,972.65","18,717","5,63,951",51.02
BPCL,EQ,17-Jan-2013,382.2,384.5,407.9,381.5,396.1,396.15,395.02,"66,22,560","2,61,60,68,427.45","81,735","20,62,813",31.15
BPCL,EQ,18-Jan-2013,396.15,406.0,438.0,405.3,437.5,434.95,428.33,"91,01,910","3,89,86,24,358.05","1,32,962","32,33,977",35.53
BPCL,EQ,21-Jan-2013,434.95,439.9,449.0,430.0,440.85,440.9,440.89,"32,98,933","1,45,44,78,291.00","48,610","11,04,504",33.48
BPCL,EQ,22-Jan-2013,440.9,440.0,443.8,430.5,433.4,433.8,435.01,"18,00,474","78,32,32,927.75","22,550","8,57,031",47.6
BPCL,EQ,23-Jan-2013,433.8,434.0,435.35,411.3,424.1,424.55,423.13,"21,13,943","89,44,63,862.75","27,745","8,36,182",39.56
BPCL,EQ,24-Jan-2013,424.55,425.2,428.0,412.7,416.35,415.9,418.03,"8,21,913","34,35,83,711.85","16,900","2,86,880",34.9
BPCL,EQ,25-Jan-2013,415.9,414.2,426.8,411.95,418.75,419.95,420.72,"11,29,772","47,53,21,545.40","16,935","5,01,720",44.41
BPCL,EQ,28-Jan-2013,419.95,420.25,423.15,412.0,415.9,415.75,415.44,"9,00,580","37,41,34,831.45","16,672","4,80,872",53.4
BPCL,EQ,29-Jan-2013,415.75,413.25,418.1,406.05,410.0,409.5,411.14,"8,68,955","35,72,60,767.90","21,904","4,12,335",47.45
BPCL,EQ,30-Jan-2013,409.5,410.8,419.5,405.0,408.5,409.35,411.72,"12,94,411","53,29,40,098.90","29,123","6,38,220",49.31
BPCL,EQ,31-Jan-2013,409.35,409.35,421.55,407.6,411.0,410.45,412.87,"16,50,842","68,15,86,415.40","28,075","9,03,066",54.7
BPCL,EQ,01-Feb-2013,410.45,412.0,425.8,410.65,422.6,422.65,420.78,"10,87,280","45,75,07,661.20","24,901","3,46,390",31.86
BPCL,EQ,04-Feb-2013,422.65,426.9,429.15,416.3,418.1,418.8,423.5,"10,03,004","42,47,68,143.80","19,648","4,68,973",46.76
BPCL,EQ,05-Feb-2013,418.8,420.0,420.0,407.0,411.3,411.75,411.31,"9,68,268","39,82,55,049.35","20,799","4,26,444",44.04
BPCL,EQ,06-Feb-2013,411.75,415.0,422.55,410.0,415.8,418.35,415.6,"10,77,170","44,76,73,308.30","19,608","4,79,941",44.56
BPCL,EQ,07-Feb-2013,418.35,414.65,420.5,408.1,411.0,410.85,413.69,"7,04,257","29,13,43,942.90","17,838","2,75,666",39.14
BPCL,EQ,08-Feb-2013,410.85,411.5,411.85,400.1,401.95,401.4,404.04,"7,39,016","29,85,94,479.90","14,401","3,21,532",43.51
BPCL,EQ,11-Feb-2013,401.4,401.8,404.4,394.05,403.0,402.55,399.87,"9,30,300","37,20,02,390.45","13,443","4,56,945",49.12
BPCL,EQ,12-Feb-2013,402.55,402.0,412.45,399.7,410.0,410.3,405.76,"7,15,227","29,02,09,915.35","30,762","3,26,781",45.69
BPCL,EQ,13-Feb-2013,410.3,411.9,412.9,398.8,400.0,401.45,406.48,"8,79,971","35,76,94,922.80","26,570","4,37,150",49.68
BPCL,EQ,14-Feb-2013,401.45,405.0,408.7,384.25,384.75,387.35,394.78,"17,90,704","70,69,29,678.30","44,307","8,94,177",49.93
BPCL,EQ,15-Feb-2013,387.35,388.0,394.35,372.0,381.9,379.5,380.28,"20,94,206","79,63,75,395.60","33,588","8,65,656",41.34
BPCL,EQ,18-Feb-2013,379.5,389.35,391.15,377.0,379.1,379.3,383.6,"16,32,914","62,63,84,703.20","32,337","6,65,710",40.77
BPCL,EQ,19-Feb-2013,379.3,380.0,383.2,373.85,381.3,381.75,377.49,"6,71,161","25,33,58,000.80","12,918","2,36,156",35.19
BPCL,EQ,20-Feb-2013,381.75,381.5,394.25,381.0,394.25,392.9,390.01,"15,25,020","59,47,71,029.90","29,434","6,67,001",43.74
BPCL,EQ,21-Feb-2013,392.9,393.0,398.8,387.3,389.1,390.25,391.98,"17,41,170","68,24,96,819.20","59,969","8,89,658",51.1
BPCL,EQ,22-Feb-2013,390.25,391.0,393.45,385.45,388.2,389.25,388.85,"10,63,055","41,33,68,739.90","19,616","5,97,264",56.18
