Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
BPCL,EQ,06-Oct-2016,649.9,653.7,683.6,652.0,673.0,670.7,673.44,"33,59,114","2,26,21,62,411.15","74,278","8,00,301",23.82
BPCL,EQ,07-Oct-2016,670.7,674.9,679.9,656.0,663.2,663.55,662.9,"19,16,720","1,27,05,96,756.40","57,660","7,56,551",39.47
BPCL,EQ,10-Oct-2016,663.55,664.0,666.9,653.3,657.1,657.8,657.7,"15,68,578","1,03,16,54,845.75","29,383","9,17,048",58.46
BPCL,EQ,13-Oct-2016,657.8,653.0,670.45,645.9,658.5,657.1,658.63,"32,60,331","2,14,73,36,477.75","95,648","16,68,792",51.18
BPCL,EQ,14-Oct-2016,657.1,660.95,672.4,659.0,668.0,666.85,666.26,"17,41,447","1,16,02,62,236.25","72,028","7,90,396",45.39
BPCL,EQ,17-Oct-2016,666.85,673.8,674.7,656.1,658.45,659.1,662.92,"20,27,031","1,34,37,61,602.75","59,670","9,82,432",48.47
BPCL,EQ,18-Oct-2016,659.1,661.0,663.6,646.0,656.5,656.75,654.49,"17,55,878","1,14,91,98,468.45","70,957","7,21,122",41.07
BPCL,EQ,19-Oct-2016,656.75,658.05,669.7,655.8,661.0,660.6,661.4,"18,25,292","1,20,72,57,233.55","62,114","9,51,335",52.12
BPCL,EQ,20-Oct-2016,660.6,661.0,665.0,654.05,663.5,662.15,659.94,"15,48,834","1,02,21,38,186.55","70,108","8,76,984",56.62
BPCL,EQ,21-Oct-2016,662.15,665.0,671.5,661.7,667.8,668.25,666.41,"13,21,948","88,09,55,833.00","38,211","6,95,127",52.58
BPCL,EQ,24-Oct-2016,668.25,669.5,687.95,667.05,687.65,686.2,681.03,"18,80,593","1,28,07,34,482.10","47,750","7,60,451",40.44
BPCL,EQ,25-Oct-2016,686.2,681.1,687.5,673.3,686.45,685.45,681.64,"17,85,357","1,21,69,66,085.00","1,05,381","9,49,835",53.2
BPCL,EQ,26-Oct-2016,685.45,683.4,686.45,670.9,675.95,676.05,677.44,"19,08,868","1,29,31,45,229.30","66,199","12,30,939",64.49
BPCL,EQ,27-Oct-2016,676.05,669.0,680.25,665.15,676.0,676.6,673.67,"22,85,266","1,53,95,16,929.15","77,489","14,96,276",65.47
BPCL,EQ,28-Oct-2016,676.6,673.0,676.5,666.35,672.0,669.05,670.85,"18,77,422","1,25,94,62,186.35","46,710","11,13,701",59.32
BPCL,EQ,30-Oct-2016,669.05,669.05,674.3,667.5,668.75,669.25,670.7,"1,03,090","6,91,42,844.20","1,989","31,410",30.47
BPCL,EQ,01-Nov-2016,669.25,671.05,679.85,667.15,675.25,676.15,675.19,"15,06,938","1,01,74,75,263.40","79,520","9,55,476",63.41
BPCL,EQ,02-Nov-2016,676.15,670.0,670.0,655.0,659.5,660.15,661.37,"13,99,984","92,59,00,579.50","59,575","7,00,525",50.04
BPCL,EQ,03-Nov-2016,660.15,663.7,664.0,640.8,643.45,644.05,651.65,"19,09,508","1,24,43,28,667.10","65,266","10,23,882",53.62
BPCL,EQ,04-Nov-2016,644.05,643.0,649.4,632.0,641.1,643.5,641.64,"18,85,359","1,20,97,28,543.25","1,30,153","9,63,368",51.1
BPCL,EQ,07-Nov-2016,643.5,648.0,666.5,646.6,659.25,660.1,661.13,"16,24,305","1,07,38,80,588.15","46,329","7,66,076",47.16
BPCL,EQ,08-Nov-2016,660.1,657.0,667.9,654.35,659.3,660.55,660.75,"13,78,538","91,08,70,907.05","34,077","6,93,027",50.27
BPCL,EQ,09-Nov-2016,660.55,635.0,669.0,626.6,664.8,659.95,650.22,"19,00,364","1,23,56,54,013.80","52,488","6,81,382",35.86
BPCL,EQ,10-Nov-2016,659.95,658.5,672.95,658.5,663.1,664.55,666.09,"22,79,596","1,51,84,05,655.25","59,311","13,11,732",57.54
BPCL,EQ,11-Nov-2016,664.55,650.0,660.5,644.95,652.85,649.6,650.28,"28,54,892","1,85,64,73,304.65","90,342","19,17,632",67.17
BPCL,EQ,15-Nov-2016,649.6,646.3,654.8,621.55,640.3,643.6,640.65,"65,95,039","4,22,51,38,281.05","1,47,645","35,17,591",53.34
BPCL,EQ,16-Nov-2016,643.6,650.0,661.05,629.15,633.85,634.15,645.45,"36,57,738","2,36,09,00,236.60","1,26,357","20,95,884",57.3
BPCL,EQ,17-Nov-2016,634.15,635.0,643.8,621.15,635.9,635.5,634.34,"45,39,889","2,87,98,51,367.20","1,26,779","30,96,919",68.22
BPCL,EQ,18-Nov-2016,635.5,636.15,646.75,634.0,641.1,642.55,641.82,"36,61,561","2,35,00,60,922.70","1,25,669","23,11,984",63.14
BPCL,EQ,21-Nov-2016,642.55,646.7,647.5,630.05,635.0,633.85,639.29,"31,36,029","2,00,48,22,879.15","1,51,476","21,98,185",70.09
BPCL,EQ,22-Nov-2016,633.85,634.5,644.6,634.0,641.95,640.9,639.52,"28,62,443","1,83,05,95,231.95","70,874","19,19,924",67.07
BPCL,EQ,23-Nov-2016,640.9,640.0,643.0,624.4,634.05,633.9,631.85,"30,69,816","1,93,96,73,384.25","92,625","19,02,222",61.97
BPCL,EQ,24-Nov-2016,633.9,628.1,643.9,626.55,634.9,638.1,636.17,"26,79,576","1,70,46,70,675.25","35,316","17,17,176",64.08
BPCL,EQ,25-Nov-2016,638.1,641.0,647.3,635.2,638.0,639.4,641.76,"14,83,869","95,22,85,520.60","68,230","8,51,384",57.38
BPCL,EQ,28-Nov-2016,639.4,641.0,663.75,640.05,647.8,651.3,656.3,"41,49,321","2,72,31,87,242.15","81,490","26,72,162",64.4
BPCL,EQ,29-Nov-2016,651.3,653.0,657.65,642.0,644.3,643.8,646.34,"25,61,458","1,65,55,70,443.50","1,07,863","19,13,394",74.7
BPCL,EQ,30-Nov-2016,643.8,645.5,651.0,635.6,644.65,643.95,644.28,"2,56,12,966","16,50,19,25,670.85","1,99,418","2,15,72,808",84.23
BPCL,EQ,01-Dec-2016,643.95,636.8,640.0,618.55,630.5,628.9,627.45,"32,16,221","2,01,80,25,360.05","85,260","16,72,717",52.01
BPCL,EQ,02-Dec-2016,628.9,620.0,624.7,605.45,610.05,608.15,610.58,"49,17,522","3,00,25,43,458.20","90,683","34,94,810",71.07
BPCL,EQ,05-Dec-2016,608.15,604.9,616.95,598.15,605.0,604.2,604.54,"27,22,118","1,64,56,40,390.05","65,230","16,49,754",60.61
BPCL,EQ,06-Dec-2016,604.2,608.0,615.95,605.1,612.55,612.95,611.37,"22,57,523","1,38,01,71,390.70","81,820","14,88,037",65.91
BPCL,EQ,07-Dec-2016,612.95,616.0,634.0,615.4,634.0,632.15,626.96,"26,75,721","1,67,75,71,977.95","1,17,018","15,88,411",59.36
BPCL,EQ,08-Dec-2016,632.15,641.0,641.85,632.2,639.0,638.05,636.72,"17,82,709","1,13,50,86,674.80","54,922","10,85,838",60.91
BPCL,EQ,09-Dec-2016,638.05,637.8,638.0,625.3,633.65,634.65,632.86,"21,56,690","1,36,48,91,959.50","50,091","14,27,819",66.2
BPCL,EQ,12-Dec-2016,634.65,627.9,631.8,610.0,612.2,611.85,617.77,"21,32,889","1,31,76,25,267.55","61,652","12,75,576",59.81
BPCL,EQ,13-Dec-2016,611.85,612.1,631.0,609.5,629.4,628.65,623.48,"15,62,100","97,39,41,787.10","36,307","7,60,702",48.7
