Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COALINDIA,EQ,05-Oct-2011,319.9,321.9,327.8,314.55,324.8,324.7,323.23,"66,75,945","2,15,78,53,984.95","99,789","38,08,133",57.04
COALINDIA,EQ,07-Oct-2011,324.7,334.0,339.9,331.3,338.0,337.55,337.31,"78,03,489","2,63,21,78,694.30","89,316","54,17,377",69.42
COALINDIA,EQ,10-Oct-2011,337.55,341.0,345.0,330.85,344.4,343.65,339.78,"1,01,70,568","3,45,57,13,809.10","1,02,185","49,97,028",49.13
COALINDIA,EQ,11-Oct-2011,343.65,345.1,347.65,342.3,345.0,345.75,345.02,"39,46,651","1,36,16,89,085.80","60,197","21,30,917",53.99
COALINDIA,EQ,12-Oct-2011,345.75,346.0,349.15,332.3,337.0,337.95,337.78,"1,01,14,266","3,41,63,92,513.65","86,851","57,46,451",56.82
COALINDIA,EQ,13-Oct-2011,337.95,339.9,340.65,328.25,331.0,332.05,333.33,"59,51,310","1,98,37,75,288.20","93,292","31,96,912",53.72
COALINDIA,EQ,14-Oct-2011,332.05,330.2,331.0,319.05,322.3,322.55,322.42,"91,62,659","2,95,41,92,999.05","1,57,148","53,40,229",58.28
COALINDIA,EQ,17-Oct-2011,322.55,323.95,324.6,318.15,322.6,321.15,321.28,"63,12,019","2,02,79,44,426.45","1,07,094","34,81,044",55.15
COALINDIA,EQ,18-Oct-2011,321.15,321.7,331.35,321.15,330.0,330.05,326.97,"1,22,13,184","3,99,33,92,621.40","1,20,972","64,90,410",53.14
COALINDIA,EQ,19-Oct-2011,330.05,332.9,338.5,332.0,334.45,334.85,335.49,"44,26,087","1,48,49,00,742.45","76,749","21,27,525",48.07
COALINDIA,EQ,20-Oct-2011,334.85,333.75,333.75,326.5,329.0,329.7,330.22,"36,57,774","1,20,78,69,786.65","46,505","19,48,450",53.27
COALINDIA,EQ,21-Oct-2011,329.7,330.9,333.4,327.5,328.5,328.55,330.88,"17,66,269","58,44,19,908.75","32,042","8,33,049",47.16
COALINDIA,EQ,24-Oct-2011,328.55,333.0,333.05,323.2,324.0,324.55,327.98,"36,43,726","1,19,50,54,592.75","52,640","23,91,230",65.63
COALINDIA,EQ,25-Oct-2011,324.55,324.2,325.8,320.55,323.95,323.9,323.11,"36,14,659","1,16,79,15,419.60","48,509","19,06,701",52.75
COALINDIA,EQ,26-Oct-2011,323.9,327.0,331.3,327.0,329.3,328.9,329.33,"12,85,041","42,31,97,040.20","20,454","5,64,413",43.92
COALINDIA,EQ,28-Oct-2011,328.9,342.0,342.8,334.85,337.6,338.2,337.38,"86,71,739","2,92,56,80,080.40","78,896","66,02,330",76.14
COALINDIA,EQ,31-Oct-2011,338.2,339.75,339.75,331.3,331.5,332.0,333.02,"30,14,703","1,00,39,45,668.70","32,448","20,73,636",68.78
COALINDIA,EQ,01-Nov-2011,332.0,330.7,332.45,328.85,328.9,329.5,329.97,"19,28,657","63,64,02,543.20","37,962","12,62,672",65.47
COALINDIA,EQ,02-Nov-2011,329.5,325.3,329.0,325.0,325.9,325.9,327.17,"33,10,414","1,08,30,56,303.70","53,456","21,54,366",65.08
COALINDIA,EQ,03-Nov-2011,325.9,326.7,329.0,324.05,326.75,325.65,326.25,"41,08,210","1,34,02,92,786.15","65,428","28,54,645",69.49
COALINDIA,EQ,04-Nov-2011,325.65,329.0,330.0,325.45,325.95,326.3,327.75,"35,32,695","1,15,78,50,315.05","44,876","23,82,923",67.45
COALINDIA,EQ,08-Nov-2011,326.3,328.45,330.2,326.55,327.2,327.3,328.0,"23,00,152","75,44,57,476.90","39,368","14,58,984",63.43
COALINDIA,EQ,09-Nov-2011,327.3,329.0,330.3,324.55,324.95,326.1,327.98,"37,03,073","1,21,45,25,939.05","58,108","26,76,954",72.29
