Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
COALINDIA,EQ,05-Oct-2020,117.25,117.95,119.5,117.55,118.4,118.4,118.45,"81,41,488","96,43,75,482.00","41,291","27,14,006",33.34
COALINDIA,EQ,06-Oct-2020,118.4,119.35,119.35,116.3,117.0,116.8,117.18,"1,12,21,877","1,31,50,04,092.80","44,469","46,14,133",41.12
COALINDIA,EQ,07-Oct-2020,116.8,117.1,117.2,114.25,114.45,114.45,115.11,"1,19,41,001","1,37,44,72,852.65","66,360","52,20,824",43.72
COALINDIA,EQ,08-Oct-2020,114.45,114.7,115.0,112.65,113.45,113.3,113.6,"1,16,63,413","1,32,50,06,540.30","64,821","31,91,676",27.36
COALINDIA,EQ,09-Oct-2020,113.3,113.35,115.9,112.3,115.2,114.9,114.09,"1,59,58,362","1,82,07,49,770.00","67,706","33,61,186",21.06
COALINDIA,EQ,12-Oct-2020,114.9,115.3,115.5,112.8,113.25,113.2,113.61,"79,49,877","90,32,10,095.50","38,434","26,12,802",32.87
COALINDIA,EQ,13-Oct-2020,113.2,113.3,114.65,112.35,114.15,113.85,113.64,"97,02,596","1,10,26,23,896.75","46,528","31,20,451",32.16
COALINDIA,EQ,14-Oct-2020,113.85,113.2,113.95,109.6,110.65,110.55,110.5,"1,96,63,423","2,17,28,52,683.85","85,097","74,85,272",38.07
COALINDIA,EQ,15-Oct-2020,110.55,110.85,112.7,109.55,110.6,110.6,111.37,"1,54,81,821","1,72,41,60,265.85","57,781","34,01,170",21.97
COALINDIA,EQ,16-Oct-2020,110.6,111.3,112.75,109.6,112.5,111.35,110.56,"1,22,31,070","1,35,22,06,855.95","45,438","43,57,257",35.62
COALINDIA,EQ,19-Oct-2020,111.35,112.5,115.35,111.25,115.35,114.7,113.26,"1,81,11,350","2,05,13,08,053.35","66,096","54,32,373",29.99
COALINDIA,EQ,20-Oct-2020,114.7,115.1,116.15,113.1,113.65,113.65,114.23,"1,65,54,188","1,89,09,32,120.65","61,225","25,29,702",15.28
COALINDIA,EQ,21-Oct-2020,113.65,113.65,116.9,113.55,115.4,115.1,115.63,"2,04,21,826","2,36,14,40,661.85","65,665","59,21,022",28.99
COALINDIA,EQ,22-Oct-2020,115.1,115.0,116.7,114.1,116.35,115.8,115.24,"1,36,53,952","1,57,34,92,713.30","49,600","54,63,167",40.01
COALINDIA,EQ,23-Oct-2020,115.8,116.8,118.2,116.2,117.7,117.7,117.48,"1,18,76,045","1,39,51,51,153.25","43,967","30,13,225",25.37
COALINDIA,EQ,26-Oct-2020,117.7,117.9,117.9,114.2,114.35,114.55,115.29,"1,12,43,328","1,29,62,03,461.00","45,309","22,75,864",20.24
COALINDIA,EQ,27-Oct-2020,114.55,114.2,115.15,112.85,113.65,113.95,114.04,"1,09,85,481","1,25,27,72,876.50","41,886","26,07,141",23.73
COALINDIA,EQ,28-Oct-2020,113.95,113.95,114.0,112.4,112.4,112.7,113.13,"93,66,429","1,05,96,14,664.40","48,406","29,22,569",31.20
