Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
CIPLA,EQ,07-Oct-2015,664.0,668.9,683.6,660.6,679.65,680.8,674.31,"21,60,153","1,45,66,12,813.80","70,789","8,13,404",37.65
CIPLA,EQ,08-Oct-2015,680.8,688.0,689.5,672.05,678.0,680.25,681.12,"23,04,302","1,56,95,01,473.10","52,116","9,39,250",40.76
CIPLA,EQ,09-Oct-2015,680.25,684.4,691.9,679.25,688.3,689.55,685.08,"18,67,010","1,27,90,55,374.50","37,974","9,42,567",50.49
CIPLA,EQ,12-Oct-2015,689.55,692.0,692.8,675.0,677.0,676.35,679.47,"9,80,356","66,61,23,501.35","20,819","4,26,584",43.51
CIPLA,EQ,13-Oct-2015,676.35,676.25,681.0,673.5,678.0,679.05,677.8,"12,15,291","82,37,25,423.45","47,398","6,34,773",52.23
CIPLA,EQ,14-Oct-2015,679.05,673.0,680.2,660.0,679.9,679.2,674.12,"12,19,164","82,18,59,062.55","30,307","5,89,979",48.39
CIPLA,EQ,15-Oct-2015,679.2,683.75,683.95,669.4,671.4,670.95,673.85,"12,32,379","83,04,40,613.10","42,649","5,97,981",48.52
CIPLA,EQ,16-Oct-2015,670.95,674.4,680.5,669.0,680.0,679.45,674.2,"19,25,227","1,29,79,79,038.90","17,547","14,84,835",77.13
CIPLA,EQ,19-Oct-2015,679.45,679.5,689.7,677.0,687.0,688.45,686.04,"21,54,963","1,47,83,86,114.30","22,145","16,96,876",78.74
CIPLA,EQ,20-Oct-2015,688.45,689.65,689.65,658.6,674.0,673.6,669.19,"56,42,920","3,77,62,09,297.50","85,777","30,15,483",53.44
CIPLA,EQ,21-Oct-2015,673.6,673.6,681.9,672.0,676.1,678.0,677.27,"20,05,358","1,35,81,63,869.75","62,527","12,45,761",62.12
CIPLA,EQ,23-Oct-2015,678.0,682.1,686.0,679.3,682.0,682.2,682.53,"17,05,211","1,16,38,61,707.85","47,310","11,58,907",67.96
CIPLA,EQ,26-Oct-2015,682.2,683.4,684.0,673.4,681.0,681.25,679.58,"12,17,235","82,72,14,500.10","44,007","7,69,974",63.26
CIPLA,EQ,27-Oct-2015,681.25,676.0,688.0,672.25,686.0,684.7,678.47,"16,10,215","1,09,24,76,890.45","34,162","11,38,125",70.68
CIPLA,EQ,28-Oct-2015,684.7,682.25,702.25,675.8,701.95,696.05,688.5,"15,37,365","1,05,84,77,221.75","33,229","7,91,005",51.45
CIPLA,EQ,29-Oct-2015,696.05,699.0,704.9,689.5,692.75,691.55,695.89,"29,75,896","2,07,08,96,962.55","66,042","18,01,895",60.55
CIPLA,EQ,30-Oct-2015,691.55,699.0,703.9,688.05,689.1,690.45,695.14,"18,85,373","1,31,05,92,252.90","37,444","10,76,874",57.12
CIPLA,EQ,02-Nov-2015,690.45,688.95,688.95,674.4,678.55,680.25,681.92,"7,66,804","52,28,97,132.55","18,513","3,52,855",46.02
CIPLA,EQ,03-Nov-2015,680.25,686.05,686.05,671.1,677.4,675.4,678.77,"10,48,233","71,15,07,795.05","32,720","5,12,892",48.93
CIPLA,EQ,04-Nov-2015,675.4,680.0,680.95,668.1,671.05,670.7,673.63,"13,21,427","89,01,56,256.35","40,430","6,56,789",49.7
CIPLA,EQ,05-Nov-2015,670.7,675.0,675.4,655.2,655.2,658.05,665.53,"18,33,741","1,22,04,04,601.75","35,720","5,74,887",31.35
CIPLA,EQ,06-Nov-2015,658.05,655.0,672.7,651.0,656.5,658.15,661.35,"17,15,887","1,13,48,05,448.20","37,722","3,98,232",23.21
CIPLA,EQ,09-Nov-2015,658.15,644.1,649.7,638.6,649.0,647.6,644.87,"11,92,556","76,90,47,744.80","33,755","5,76,526",48.34
CIPLA,EQ,10-Nov-2015,647.6,647.0,648.5,637.5,638.85,641.9,643.51,"11,66,182","75,04,45,063.20","26,798","6,47,923",55.56
CIPLA,EQ,11-Nov-2015,641.9,644.8,645.6,639.1,644.3,643.3,642.79,"2,00,797","12,90,70,340.55","4,421","71,768",35.74
