Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CIPLA,EQ,07-Oct-2016,578.8,578.85,583.4,566.5,572.0,570.05,572.11,"13,17,543","75,37,75,023.30","23,960","5,48,194",41.61
CIPLA,EQ,10-Oct-2016,570.05,570.25,584.4,570.25,581.4,580.65,580.26,"9,29,998","53,96,41,490.90","35,829","3,39,914",36.55
CIPLA,EQ,13-Oct-2016,580.65,596.95,599.0,580.5,583.0,582.0,588.15,"38,34,775","2,25,54,36,690.70","69,421","18,99,920",49.54
CIPLA,EQ,14-Oct-2016,582.0,584.75,590.0,583.0,588.0,587.0,587.56,"10,54,501","61,95,82,404.75","54,915","5,54,769",52.61
CIPLA,EQ,17-Oct-2016,587.0,589.0,592.05,583.65,586.5,586.0,587.16,"13,44,977","78,97,21,021.20","26,549","7,92,839",58.95
CIPLA,EQ,18-Oct-2016,586.0,587.0,594.0,582.25,591.0,592.75,589.39,"12,13,156","71,50,19,519.45","24,940","6,15,670",50.75
CIPLA,EQ,19-Oct-2016,592.75,591.2,598.8,591.2,596.35,596.35,596.02,"10,01,409","59,68,64,473.60","24,010","4,37,504",43.69
CIPLA,EQ,20-Oct-2016,596.35,596.5,600.5,593.8,596.05,596.6,596.69,"9,13,371","54,49,97,131.90","31,879","5,10,780",55.92
CIPLA,EQ,21-Oct-2016,596.6,597.5,597.5,570.0,584.1,583.25,579.87,"17,92,780","1,03,95,74,596.60","29,429","5,25,693",29.32
CIPLA,EQ,24-Oct-2016,583.25,585.0,594.4,582.0,586.0,584.7,586.43,"9,92,033","58,17,60,413.40","25,026","3,96,650",39.98
CIPLA,EQ,25-Oct-2016,584.7,586.0,594.5,582.7,584.0,584.5,587.24,"8,31,989","48,85,74,525.75","22,048","3,22,536",38.77
CIPLA,EQ,26-Oct-2016,584.5,583.0,584.9,575.15,578.05,577.65,580.01,"8,14,132","47,22,04,294.35","19,781","4,30,189",52.84
CIPLA,EQ,27-Oct-2016,577.65,578.0,588.0,570.5,582.3,585.75,582.39,"7,79,140","45,37,63,519.80","16,718","3,38,211",43.41
