Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
DLF,EQ,06-Oct-2015,133.95,134.5,137.7,134.5,135.4,135.2,135.99,"74,06,199","1,00,71,76,539.65","40,246","10,70,384",14.45
DLF,EQ,07-Oct-2015,135.2,135.35,140.35,134.25,138.75,138.4,137.91,"1,17,99,500","1,62,72,96,323.35","55,301","15,69,139",13.3
DLF,EQ,08-Oct-2015,138.4,139.95,141.3,136.75,138.9,138.65,139.15,"1,20,39,618","1,67,53,05,208.15","56,841","18,67,253",15.51
DLF,EQ,09-Oct-2015,138.65,141.9,142.9,138.35,139.25,139.95,140.59,"1,43,05,062","2,01,11,38,209.20","65,107","14,19,144",9.92
DLF,EQ,12-Oct-2015,139.95,138.95,139.8,135.4,135.55,136.15,137.31,"55,57,629","76,31,22,687.60","27,379","7,38,736",13.29
DLF,EQ,13-Oct-2015,136.15,135.55,138.45,135.55,136.7,136.85,137.17,"57,06,788","78,27,92,304.15","30,999","12,45,771",21.83
DLF,EQ,14-Oct-2015,136.85,136.85,138.0,132.95,133.4,133.4,135.23,"70,10,057","94,79,91,982.60","38,866","19,05,758",27.19
DLF,EQ,15-Oct-2015,133.4,134.9,136.15,134.0,134.6,134.55,134.97,"47,34,016","63,89,67,216.40","25,658","8,86,548",18.73
DLF,EQ,16-Oct-2015,134.55,130.0,132.3,127.65,128.2,128.4,129.59,"1,01,70,319","1,31,79,57,461.30","50,111","21,33,963",20.98
DLF,EQ,19-Oct-2015,128.4,129.25,133.2,127.8,132.2,132.15,130.52,"81,17,129","1,05,94,25,754.85","43,148","11,36,360",14.0
DLF,EQ,20-Oct-2015,132.15,133.7,133.9,130.25,131.75,131.7,132.17,"47,76,614","63,13,34,871.00","26,142","5,36,332",11.23
DLF,EQ,21-Oct-2015,131.7,131.7,132.9,128.0,128.45,128.85,129.94,"48,67,466","63,24,94,303.45","35,748","8,00,843",16.45
DLF,EQ,23-Oct-2015,128.85,132.0,132.5,129.25,130.15,130.05,130.66,"49,11,591","64,17,39,852.20","23,353","7,98,070",16.25
DLF,EQ,26-Oct-2015,130.05,130.9,131.65,128.35,129.05,129.0,129.69,"39,17,714","50,80,78,937.75","25,055","4,17,737",10.66
DLF,EQ,27-Oct-2015,129.0,128.85,129.0,126.65,126.85,126.95,127.56,"55,84,642","71,24,04,287.00","31,630","15,20,339",27.22
DLF,EQ,28-Oct-2015,126.95,126.0,126.5,122.65,123.85,123.9,124.62,"60,74,089","75,69,46,470.75","35,618","14,15,094",23.3
DLF,EQ,29-Oct-2015,123.9,124.2,125.5,119.65,120.65,120.4,122.46,"96,60,966","1,18,30,75,408.60","55,376","38,32,593",39.67
DLF,EQ,30-Oct-2015,120.4,121.45,122.45,115.25,116.1,116.5,119.45,"86,35,267","1,03,15,20,450.10","42,936","32,56,020",37.71
DLF,EQ,02-Nov-2015,116.5,116.5,119.8,114.55,118.65,118.7,117.55,"72,66,316","85,41,25,874.10","38,224","15,85,972",21.83
DLF,EQ,03-Nov-2015,118.7,119.9,121.5,119.0,119.75,120.1,120.33,"72,29,734","86,99,89,861.40","36,413","9,65,920",13.36
DLF,EQ,04-Nov-2015,120.1,124.2,125.7,121.5,122.6,122.35,123.46,"1,50,16,029","1,85,38,93,083.55","73,864","22,98,878",15.31
DLF,EQ,05-Nov-2015,122.35,121.65,123.35,115.6,116.45,116.15,119.26,"94,84,039","1,13,10,64,760.75","43,067","26,72,527",28.18
DLF,EQ,06-Nov-2015,116.15,117.3,119.6,115.8,118.5,118.5,118.13,"59,80,063","70,63,96,750.60","28,398","13,90,478",23.25
DLF,EQ,09-Nov-2015,118.5,113.0,115.9,112.6,113.45,113.9,114.5,"1,13,26,083","1,29,68,13,354.45","41,219","50,67,848",44.74
DLF,EQ,10-Nov-2015,113.9,114.0,114.95,108.35,108.6,108.75,110.95,"86,82,106","96,32,46,611.50","48,174","20,23,489",23.31
DLF,EQ,11-Nov-2015,108.75,111.8,112.5,111.0,112.4,112.0,111.9,"26,79,641","29,98,39,352.20","13,513","9,09,592",33.94
DLF,EQ,13-Nov-2015,112.0,110.7,112.35,108.6,109.8,110.2,110.41,"84,29,796","93,06,95,048.40","41,589","18,00,095",21.35
DLF,EQ,16-Nov-2015,110.2,110.0,110.8,108.1,109.75,109.85,109.77,"67,28,402","73,85,53,720.75","32,841","12,93,702",19.23
DLF,EQ,17-Nov-2015,109.85,111.25,113.5,111.0,111.45,111.4,112.14,"84,46,681","94,72,48,160.15","41,368","19,87,593",23.53
DLF,EQ,18-Nov-2015,111.4,111.45,111.95,105.55,106.35,106.5,109.17,"79,88,700","87,21,56,932.55","48,325","17,54,614",21.96
DLF,EQ,19-Nov-2015,106.5,108.0,108.4,102.8,103.0,103.3,104.58,"1,58,34,962","1,65,60,56,861.60","71,036","53,09,933",33.53
DLF,EQ,20-Nov-2015,103.3,103.4,106.0,101.8,102.0,102.25,103.78,"1,25,56,533","1,30,30,71,426.70","59,307","36,24,513",28.87
DLF,EQ,23-Nov-2015,102.25,102.9,104.5,102.35,103.3,103.15,103.3,"83,49,362","86,25,14,324.00","40,807","29,71,455",35.59
DLF,EQ,24-Nov-2015,103.15,103.4,108.0,103.15,106.7,107.15,106.29,"1,60,20,202","1,70,27,19,750.50","62,123","39,29,130",24.53
DLF,EQ,26-Nov-2015,107.15,109.0,116.5,108.5,114.1,113.55,113.36,"2,91,94,432","3,30,95,61,510.75","1,23,478","73,75,235",25.26
DLF,EQ,27-Nov-2015,113.55,114.9,115.65,112.1,114.0,114.05,113.95,"1,32,00,331","1,50,42,43,349.55","49,929","41,19,155",31.2
DLF,EQ,30-Nov-2015,114.05,114.4,116.8,112.55,116.0,114.6,114.29,"3,47,96,886","3,97,67,99,606.50","95,682","2,13,17,213",61.26
DLF,EQ,01-Dec-2015,114.6,116.2,118.75,115.0,117.45,117.9,117.02,"1,33,99,897","1,56,80,22,795.70","62,479","24,46,418",18.26
DLF,EQ,02-Dec-2015,117.9,118.35,119.0,115.75,116.55,117.05,117.25,"67,45,535","79,09,01,744.60","29,947","10,18,655",15.1
DLF,EQ,03-Dec-2015,117.05,116.1,120.45,115.75,118.7,118.9,118.43,"96,42,164","1,14,19,35,413.70","40,183","17,74,531",18.4
DLF,EQ,04-Dec-2015,118.9,117.5,118.9,116.4,117.0,117.15,117.53,"59,09,089","69,44,93,742.70","21,427","9,91,463",16.78
DLF,EQ,07-Dec-2015,117.15,117.5,118.45,115.55,116.4,116.6,116.92,"60,98,766","71,30,62,065.05","20,220","13,12,320",21.52
DLF,EQ,08-Dec-2015,116.6,115.3,117.2,109.75,110.0,110.4,113.11,"78,03,535","88,26,34,436.00","29,823","13,22,819",16.95
DLF,EQ,09-Dec-2015,110.4,109.9,111.8,107.1,111.0,110.45,109.82,"1,26,80,778","1,39,26,57,578.15","50,844","9,91,255",7.82
DLF,EQ,10-Dec-2015,110.45,112.5,113.5,110.4,111.3,111.55,111.58,"76,55,638","85,42,19,664.65","31,026","9,20,674",12.03
DLF,EQ,11-Dec-2015,111.55,112.0,112.4,106.2,108.3,108.2,108.57,"84,13,623","91,34,98,551.45","34,169","11,44,483",13.6
DLF,EQ,14-Dec-2015,108.2,107.5,110.15,105.4,107.2,107.05,107.91,"77,80,225","83,95,51,767.60","31,561","13,62,826",17.52
DLF,EQ,15-Dec-2015,107.05,108.0,108.9,107.1,108.25,108.3,108.1,"48,27,608","52,18,51,306.40","21,527","6,55,673",13.58
DLF,EQ,16-Dec-2015,108.3,109.1,114.5,108.9,113.3,113.1,112.65,"1,26,38,792","1,42,37,28,126.20","51,251","26,87,186",21.26
DLF,EQ,17-Dec-2015,113.1,114.5,115.85,113.1,115.7,115.35,114.6,"75,06,273","86,01,97,205.10","34,101","10,42,602",13.89
