Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DLF,EQ,06-Oct-2016,158.9,158.55,160.1,153.4,155.95,155.15,156.99,"82,21,064","1,29,06,34,724.45","33,133","8,58,988",10.45
DLF,EQ,07-Oct-2016,155.15,155.8,157.25,154.1,155.8,155.95,155.68,"64,72,064","1,00,76,00,561.85","26,263","4,08,234",6.31
DLF,EQ,10-Oct-2016,155.95,156.8,156.9,152.75,154.25,154.0,154.58,"39,88,033","61,64,86,919.30","19,913","4,21,921",10.58
DLF,EQ,13-Oct-2016,154.0,152.9,152.9,144.85,147.5,147.75,148.28,"72,14,854","1,06,98,54,309.95","29,361","10,12,924",14.04
DLF,EQ,14-Oct-2016,147.75,149.0,151.55,146.55,150.4,150.2,149.45,"58,95,646","88,10,91,366.80","27,685","5,11,134",8.67
DLF,EQ,17-Oct-2016,150.2,150.95,151.8,145.65,147.25,146.75,148.26,"72,34,378","1,07,25,43,965.65","34,381","7,75,179",10.72
DLF,EQ,18-Oct-2016,146.75,147.9,152.15,147.25,151.8,151.6,149.95,"52,52,551","78,76,31,599.00","23,560","7,70,055",14.66
DLF,EQ,19-Oct-2016,151.6,152.35,152.35,149.1,149.75,150.4,150.43,"40,15,890","60,41,06,417.30","22,438","3,40,400",8.48
DLF,EQ,20-Oct-2016,150.4,152.7,155.3,151.65,153.8,153.9,153.76,"59,25,299","91,10,79,574.60","28,054","8,37,525",14.13
DLF,EQ,21-Oct-2016,153.9,155.15,157.3,153.15,155.6,156.15,155.91,"69,80,247","1,08,82,72,682.65","34,707","7,57,304",10.85
DLF,EQ,24-Oct-2016,156.15,156.55,157.8,153.4,154.8,155.15,155.74,"56,02,564","87,25,26,206.10","23,218","5,66,610",10.11
DLF,EQ,25-Oct-2016,155.15,155.6,155.7,153.1,154.0,154.1,154.33,"34,27,736","52,90,06,373.30","17,559","3,03,366",8.85
DLF,EQ,26-Oct-2016,154.1,153.5,155.5,150.5,151.2,152.05,153.4,"46,50,948","71,34,60,961.40","22,152","5,84,777",12.57
DLF,EQ,27-Oct-2016,152.05,151.2,152.2,146.5,149.8,148.55,149.19,"72,69,720","1,08,45,34,224.15","28,082","13,44,979",18.5
DLF,EQ,28-Oct-2016,148.55,149.0,151.25,148.7,150.35,150.5,150.16,"46,26,709","69,47,28,709.05","24,914","3,82,894",8.28
DLF,EQ,30-Oct-2016,150.5,151.3,151.3,149.75,150.2,150.25,150.48,"6,00,958","9,04,30,324.65","3,370","1,85,542",30.87
DLF,EQ,01-Nov-2016,150.25,150.3,151.9,148.5,149.5,149.55,150.01,"49,73,982","74,61,33,969.75","21,138","7,02,005",14.11
DLF,EQ,02-Nov-2016,149.55,147.9,148.0,144.0,145.2,144.85,145.58,"62,09,733","90,40,40,115.85","28,377","9,84,881",15.86
