Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
HDFCBANK,EQ,08-Oct-2012,622.4,623.9,623.9,616.55,621.5,620.7,620.65,"23,22,668","1,44,15,69,274.35","60,748","17,60,470",75.8
HDFCBANK,EQ,09-Oct-2012,620.7,624.95,630.5,622.0,624.25,625.75,626.67,"10,77,692","67,53,55,639.40","26,034","6,63,405",61.56
HDFCBANK,EQ,10-Oct-2012,625.75,624.0,624.0,616.2,617.7,617.95,618.89,"10,73,754","66,45,34,139.80","32,742","6,92,975",64.54
HDFCBANK,EQ,11-Oct-2012,617.95,621.15,627.8,618.45,627.8,624.85,624.3,"24,53,233","1,53,15,58,140.00","27,712","16,44,242",67.02
HDFCBANK,EQ,12-Oct-2012,624.85,630.0,635.0,626.0,629.2,631.15,630.04,"38,76,602","2,44,24,00,351.15","67,190","19,07,527",49.21
HDFCBANK,EQ,15-Oct-2012,631.15,632.4,634.9,622.6,633.95,634.15,629.97,"18,93,017","1,19,25,53,282.60","40,977","11,80,105",62.34
HDFCBANK,EQ,16-Oct-2012,634.15,635.25,635.5,628.1,629.05,630.4,630.45,"18,18,459","1,14,64,46,592.05","37,206","13,39,294",73.65
HDFCBANK,EQ,17-Oct-2012,630.4,632.0,632.5,626.5,628.0,628.1,628.37,"16,08,443","1,01,06,92,716.45","31,200","12,59,629",78.31
HDFCBANK,EQ,18-Oct-2012,628.1,630.0,637.9,624.45,635.95,636.2,632.7,"14,04,615","88,87,06,129.10","26,042","9,18,752",65.41
HDFCBANK,EQ,19-Oct-2012,636.2,632.0,635.0,627.0,627.0,628.5,629.47,"22,63,850","1,42,50,35,059.55","40,227","18,03,262",79.65
HDFCBANK,EQ,22-Oct-2012,628.5,625.2,640.0,625.2,639.9,639.0,635.61,"20,60,351","1,30,95,73,486.85","30,238","12,68,706",61.58
HDFCBANK,EQ,23-Oct-2012,639.0,639.05,639.5,632.5,635.05,634.1,634.0,"20,83,240","1,32,07,83,516.15","28,100","16,74,959",80.4
HDFCBANK,EQ,25-Oct-2012,634.1,632.65,641.0,629.0,641.0,637.35,635.33,"42,52,835","2,70,19,74,608.05","68,865","33,35,466",78.43
HDFCBANK,EQ,26-Oct-2012,637.35,636.65,639.8,631.0,637.0,637.15,633.37,"16,70,317","1,05,79,21,405.60","39,293","11,00,903",65.91
HDFCBANK,EQ,29-Oct-2012,637.15,637.85,642.5,635.55,640.5,640.6,640.07,"13,78,082","88,20,65,428.85","27,956","9,58,507",69.55
