Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,06-Oct-2020,"1,114.35","1,135.05","1,148.00","1,126.20","1,143.15","1,144.10","1,137.63","96,85,997","11,01,91,11,125.30","2,14,476","26,24,119",27.09
HDFCBANK,EQ,07-Oct-2020,"1,144.10","1,144.90","1,164.85","1,137.60","1,160.50","1,162.25","1,154.88","1,06,24,527","12,27,01,00,197.00","2,10,164","35,80,273",33.7
HDFCBANK,EQ,08-Oct-2020,"1,162.25","1,180.00","1,203.00","1,163.35","1,189.90","1,191.80","1,187.94","1,75,30,368","20,82,50,50,397.45","2,42,763","90,01,403",51.35
HDFCBANK,EQ,09-Oct-2020,"1,191.80","1,201.00","1,237.00","1,191.65","1,235.20","1,233.55","1,218.62","2,24,86,215","27,40,21,47,398.55","3,38,324","83,14,015",36.97
HDFCBANK,EQ,12-Oct-2020,"1,233.55","1,231.55","1,242.75","1,205.60","1,214.50","1,213.65","1,220.43","96,10,277","11,72,87,11,136.65","1,92,519","24,12,953",25.11
HDFCBANK,EQ,13-Oct-2020,"1,213.65","1,213.40","1,222.45","1,195.00","1,195.25","1,198.45","1,206.34","91,77,015","11,07,05,73,513.50","1,83,515","39,40,507",42.94
HDFCBANK,EQ,14-Oct-2020,"1,198.45","1,195.55","1,214.30","1,175.50","1,213.50","1,211.50","1,190.04","1,12,91,473","13,43,72,51,785.95","2,20,645","47,16,259",41.77
HDFCBANK,EQ,15-Oct-2020,"1,211.50","1,214.20","1,217.00","1,164.00","1,168.60","1,169.25","1,195.09","1,41,23,569","16,87,89,59,918.70","2,38,649","64,26,038",45.5
HDFCBANK,EQ,16-Oct-2020,"1,169.25","1,180.00","1,203.50","1,173.00","1,203.35","1,199.35","1,189.99","1,29,11,559","15,36,46,49,993.60","2,32,163","57,57,664",44.59
HDFCBANK,EQ,19-Oct-2020,"1,199.35","1,235.00","1,235.00","1,192.60","1,203.00","1,203.55","1,206.93","2,11,79,884","25,56,26,53,004.00","3,12,856","62,98,278",29.74
HDFCBANK,EQ,20-Oct-2020,"1,203.55","1,207.50","1,227.40","1,205.90","1,224.60","1,223.95","1,218.32","1,37,05,994","16,69,82,34,148.05","2,78,115","66,65,757",48.63
HDFCBANK,EQ,21-Oct-2020,"1,223.95","1,230.60","1,251.00","1,221.70","1,245.25","1,246.70","1,238.33","1,78,20,565","22,06,77,46,473.40","3,11,963","94,74,491",53.17
HDFCBANK,EQ,22-Oct-2020,"1,246.70","1,239.95","1,250.00","1,223.00","1,232.00","1,233.30","1,237.77","1,09,56,548","13,56,17,13,112.70","2,69,781","49,80,877",45.46
HDFCBANK,EQ,23-Oct-2020,"1,233.30","1,243.50","1,248.45","1,231.20","1,236.55","1,235.80","1,238.33","79,33,126","9,82,38,52,876.90","1,72,764","38,93,201",49.08
HDFCBANK,EQ,26-Oct-2020,"1,235.80","1,229.80","1,242.00","1,204.60","1,216.55","1,210.90","1,222.29","97,86,023","11,96,13,84,155.70","1,97,782","42,86,264",43.8
HDFCBANK,EQ,27-Oct-2020,"1,210.90","1,226.00","1,236.00","1,197.85","1,235.00","1,233.10","1,216.83","1,21,58,922","14,79,52,87,654.70","2,07,342","55,66,363",45.78
HDFCBANK,EQ,28-Oct-2020,"1,233.10","1,228.00","1,232.00","1,201.50","1,210.30","1,209.60","1,214.22","82,85,625","10,06,05,86,819.90","2,02,965","38,16,626",46.06
HDFCBANK,EQ,29-Oct-2020,"1,209.60","1,200.60","1,204.45","1,178.50","1,190.50","1,187.20","1,189.63","1,15,30,152","13,71,66,59,781.80","2,07,330","45,99,106",39.89
HDFCBANK,EQ,30-Oct-2020,"1,187.20","1,182.55","1,199.30","1,176.35","1,182.40","1,183.55","1,186.31","57,61,470","6,83,48,78,663.65","1,37,766","14,17,497",24.6
HDFCBANK,EQ,02-Nov-2020,"1,183.55","1,194.35","1,225.00","1,177.50","1,216.25","1,215.25","1,198.51","1,09,63,040","13,13,93,47,186.25","2,25,643","39,69,118",36.2
HDFCBANK,EQ,03-Nov-2020,"1,215.25","1,226.45","1,250.75","1,225.50","1,248.00","1,247.95","1,243.15","1,40,82,115","17,50,61,78,550.75","2,78,299","71,17,196",50.54
HDFCBANK,EQ,04-Nov-2020,"1,247.95","1,252.00","1,264.80","1,230.00","1,254.00","1,257.40","1,251.63","1,17,02,411","14,64,70,36,990.25","2,45,494","46,04,207",39.34
HDFCBANK,EQ,05-Nov-2020,"1,257.40","1,266.00","1,276.00","1,252.35","1,271.55","1,269.20","1,269.42","1,07,16,964","13,60,42,87,092.55","2,17,902","55,72,211",51.99
HDFCBANK,EQ,06-Nov-2020,"1,269.20","1,266.25","1,310.00","1,265.50","1,308.00","1,307.65","1,294.89","1,78,52,862","23,11,74,31,812.65","3,30,534","87,98,848",49.29
HDFCBANK,EQ,09-Nov-2020,"1,307.65","1,315.20","1,345.95","1,315.20","1,343.00","1,340.55","1,334.35","1,31,44,220","17,53,90,12,739.75","2,35,872","47,84,853",36.4
HDFCBANK,EQ,10-Nov-2020,"1,340.55","1,357.00","1,395.00","1,351.55","1,393.20","1,393.65","1,376.45","2,07,58,678","28,57,31,94,384.70","4,60,114","1,01,54,953",48.92
HDFCBANK,EQ,11-Nov-2020,"1,393.65","1,399.90","1,414.80","1,370.50","1,390.15","1,389.95","1,393.64","1,80,58,097","25,16,64,53,033.45","3,19,672","82,74,350",45.82
HDFCBANK,EQ,12-Nov-2020,"1,389.95","1,377.40","1,388.55","1,360.00","1,372.85","1,371.70","1,373.54","1,35,26,974","18,57,98,58,764.40","3,15,193","62,33,502",46.08
HDFCBANK,EQ,13-Nov-2020,"1,371.70","1,368.80","1,368.80","1,347.00","1,358.00","1,358.80","1,356.21","1,12,36,240","15,23,86,48,107.85","2,05,964","69,81,560",62.13
HDFCBANK,EQ,14-Nov-2020,"1,358.80","1,367.80","1,374.95","1,365.20","1,371.00","1,369.70","1,370.51","9,17,533","1,25,74,85,129.45","30,732","2,11,718",23.07
HDFCBANK,EQ,17-Nov-2020,"1,369.70","1,385.80","1,412.60","1,380.60","1,408.80","1,408.45","1,401.66","1,55,29,950","21,76,76,51,962.70","2,97,055","80,31,901",51.72
HDFCBANK,EQ,18-Nov-2020,"1,408.45","1,403.00","1,419.00","1,399.05","1,409.00","1,408.70","1,408.60","94,31,388","13,28,50,65,362.80","2,09,420","39,19,273",41.56
HDFCBANK,EQ,19-Nov-2020,"1,408.70","1,389.70","1,399.45","1,368.00","1,370.80","1,374.35","1,383.36","1,01,33,441","14,01,82,08,193.60","2,22,482","45,48,010",44.88
HDFCBANK,EQ,20-Nov-2020,"1,374.35","1,372.65","1,408.40","1,365.05","1,405.00","1,403.65","1,391.31","1,02,02,681","14,19,51,15,496.00","2,35,627","32,18,192",31.54
HDFCBANK,EQ,23-Nov-2020,"1,403.65","1,415.00","1,423.65","1,375.35","1,397.30","1,394.60","1,398.55","1,26,23,318","17,65,43,81,087.20","2,97,107","51,72,382",40.97
HDFCBANK,EQ,24-Nov-2020,"1,394.60","1,408.00","1,445.00","1,402.05","1,444.00","1,438.20","1,430.00","2,00,77,200","28,71,04,93,464.85","3,41,801","1,09,98,578",54.78
HDFCBANK,EQ,25-Nov-2020,"1,438.20","1,451.30","1,464.40","1,397.00","1,406.50","1,402.80","1,431.81","1,20,76,301","17,29,09,70,161.50","3,10,836","38,64,872",32.0
HDFCBANK,EQ,26-Nov-2020,"1,402.80","1,415.00","1,432.00","1,387.00","1,431.90","1,426.65","1,410.64","1,39,71,563","19,70,88,91,649.45","2,69,679","38,73,907",27.73
HDFCBANK,EQ,27-Nov-2020,"1,426.65","1,431.80","1,446.00","1,415.55","1,438.00","1,440.85","1,429.86","89,97,290","12,86,48,32,853.65","1,74,132","29,47,164",32.76
HDFCBANK,EQ,01-Dec-2020,"1,440.85","1,440.85","1,449.00","1,425.50","1,429.05","1,433.30","1,439.22","85,73,787","12,33,95,84,610.70","1,97,206","49,02,182",57.18
HDFCBANK,EQ,02-Dec-2020,"1,433.30","1,431.00","1,431.80","1,394.80","1,405.35","1,406.95","1,410.23","89,46,075","12,61,60,27,252.00","1,87,793","40,83,694",45.65
HDFCBANK,EQ,03-Dec-2020,"1,406.95","1,429.00","1,432.00","1,374.05","1,381.00","1,377.20","1,396.88","1,89,66,611","26,49,40,94,892.80","3,70,031","80,51,191",42.45
HDFCBANK,EQ,04-Dec-2020,"1,377.20","1,381.00","1,401.45","1,373.30","1,390.10","1,385.60","1,386.77","1,34,56,161","18,66,06,21,784.30","2,87,684","64,24,679",47.75
HDFCBANK,EQ,07-Dec-2020,"1,385.60","1,375.00","1,379.95","1,358.10","1,375.50","1,372.25","1,368.13","1,21,58,159","16,63,39,21,187.35","3,26,818","53,95,288",44.38
HDFCBANK,EQ,08-Dec-2020,"1,372.25","1,375.00","1,388.80","1,365.15","1,374.90","1,376.30","1,377.34","97,28,948","13,40,00,35,184.90","2,39,499","40,36,547",41.49
HDFCBANK,EQ,09-Dec-2020,"1,376.30","1,377.00","1,410.05","1,375.05","1,408.50","1,407.20","1,395.27","1,10,34,537","15,39,61,72,248.45","2,83,201","61,42,720",55.67
HDFCBANK,EQ,10-Dec-2020,"1,407.20","1,398.00","1,402.00","1,375.75","1,387.00","1,385.85","1,386.04","98,63,983","13,67,18,53,428.50","2,53,318","54,10,504",54.85
HDFCBANK,EQ,11-Dec-2020,"1,385.85","1,390.05","1,395.00","1,373.00","1,382.05","1,382.80","1,382.89","1,06,78,192","14,76,67,30,477.75","1,84,156","59,82,146",56.02
HDFCBANK,EQ,14-Dec-2020,"1,382.80","1,383.00","1,388.00","1,368.00","1,369.40","1,372.15","1,376.22","86,11,025","11,85,06,94,443.90","2,26,700","43,56,567",50.59
