Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ICICIBANK,EQ,05-Oct-2011,800.95,801.00,804.00,761.40,778.35,779.25,778.78,"85,13,439","6,63,01,24,095.55","1,81,936","31,50,776",37.01
ICICIBANK,EQ,07-Oct-2011,779.25,817.10,831.60,815.00,823.00,824.45,824.02,"62,15,157","5,12,14,44,077.80","1,21,099","30,34,433",48.82
ICICIBANK,EQ,10-Oct-2011,824.45,824.90,847.80,816.15,844.00,842.65,835.73,"31,93,148","2,66,85,96,138.50","74,096","9,36,076",29.32
ICICIBANK,EQ,11-Oct-2011,842.65,852.00,861.00,829.10,830.45,832.50,844.71,"30,37,608","2,56,59,11,483.55","60,724","8,88,563",29.25
ICICIBANK,EQ,12-Oct-2011,832.50,840.00,863.35,833.75,860.10,859.70,848.59,"41,44,698","3,51,71,43,706.65","82,079","14,47,373",34.92
ICICIBANK,EQ,13-Oct-2011,859.70,875.50,888.80,866.00,879.00,879.85,879.38,"58,18,361","5,11,65,59,765.90","92,726","30,73,502",52.82
ICICIBANK,EQ,14-Oct-2011,879.85,877.00,900.00,872.10,889.00,890.40,887.31,"33,32,272","2,95,67,56,697.95","79,313","12,44,130",37.34
ICICIBANK,EQ,17-Oct-2011,890.40,895.00,903.10,887.10,897.00,898.85,896.73,"26,14,024","2,34,40,80,875.15","61,110","8,85,521",33.88
ICICIBANK,EQ,18-Oct-2011,898.85,888.00,888.05,866.05,882.00,876.50,875.26,"26,28,378","2,30,05,20,901.55","78,610","11,68,433",44.45
ICICIBANK,EQ,19-Oct-2011,876.50,888.00,907.90,888.00,906.25,904.15,898.39,"25,52,845","2,29,34,40,687.60","76,249","8,36,480",32.77
ICICIBANK,EQ,20-Oct-2011,904.15,885.35,886.95,870.15,877.70,878.05,877.25,"26,91,224","2,36,08,64,415.80","73,169","10,21,665",37.96
ICICIBANK,EQ,21-Oct-2011,878.05,880.00,883.30,866.55,872.00,870.55,877.24,"19,53,168","1,71,34,02,454.65","54,752","5,98,131",30.62
ICICIBANK,EQ,24-Oct-2011,870.55,884.80,897.50,861.05,867.40,868.45,881.67,"32,63,053","2,87,69,37,924.85","60,878","16,13,291",49.44
ICICIBANK,EQ,25-Oct-2011,868.45,879.00,891.90,852.65,887.00,878.40,870.89,"76,11,582","6,62,88,48,638.90","1,12,118","29,81,830",39.17
ICICIBANK,EQ,26-Oct-2011,878.40,885.00,885.00,865.00,871.00,871.70,874.61,"9,22,858","80,71,38,056.85","19,352","2,66,811",28.91
ICICIBANK,EQ,28-Oct-2011,871.70,911.65,935.00,911.50,932.00,933.35,922.73,"68,15,316","6,28,87,00,671.95","1,54,163","42,06,380",61.72
ICICIBANK,EQ,31-Oct-2011,933.35,935.00,953.65,921.55,931.00,931.15,937.10,"54,07,698","5,06,75,51,598.65","1,18,169","15,81,816",29.25
ICICIBANK,EQ,01-Nov-2011,931.15,917.95,923.50,892.50,895.10,895.00,903.14,"54,52,385","4,92,42,93,418.35","1,11,354","25,82,534",47.37
ICICIBANK,EQ,02-Nov-2011,895.00,885.70,903.95,859.20,882.60,885.00,891.60,"44,30,351","3,95,01,12,020.50","99,867","17,00,210",38.38
ICICIBANK,EQ,03-Nov-2011,885.00,880.00,891.60,869.05,878.70,878.05,877.88,"47,33,160","4,15,51,23,467.60","1,06,685","19,22,241",40.61
ICICIBANK,EQ,04-Nov-2011,878.05,889.60,892.00,879.25,884.15,884.30,886.24,"32,36,151","2,86,80,12,904.85","63,879","13,26,941",41.0
ICICIBANK,EQ,08-Nov-2011,884.30,884.50,887.00,870.65,878.00,881.30,879.11,"26,44,096","2,32,44,61,039.45","66,458","7,81,946",29.57
ICICIBANK,EQ,09-Nov-2011,881.30,886.75,889.35,857.30,860.70,862.15,877.69,"55,18,744","4,84,37,37,768.95","90,202","33,18,836",60.14
ICICIBANK,EQ,11-Nov-2011,862.15,856.25,857.00,816.70,826.00,821.00,827.16,"83,26,143","6,88,70,76,733.35","1,97,061","45,36,210",54.48
ICICIBANK,EQ,14-Nov-2011,821.00,837.90,839.45,813.75,820.60,821.00,824.06,"53,87,906","4,43,99,67,337.95","93,438","30,79,222",57.15
ICICIBANK,EQ,15-Nov-2011,821.00,819.00,822.95,782.75,788.75,789.85,802.39,"45,22,466","3,62,87,87,792.20","1,06,792","17,77,641",39.31
ICICIBANK,EQ,16-Nov-2011,789.85,787.00,801.00,773.60,801.00,788.85,786.28,"51,88,326","4,07,94,54,373.15","1,24,511","18,18,075",35.04
ICICIBANK,EQ,17-Nov-2011,788.85,790.50,798.85,774.20,775.85,778.20,786.97,"41,88,528","3,29,62,26,333.90","93,952","17,71,121",42.29
ICICIBANK,EQ,18-Nov-2011,778.20,770.00,773.25,748.00,772.30,770.10,761.04,"51,09,126","3,88,82,65,075.35","1,16,466","22,56,949",44.17
ICICIBANK,EQ,21-Nov-2011,770.10,762.90,766.00,725.90,738.45,731.60,745.40,"48,65,138","3,62,64,86,547.30","89,397","24,07,584",49.49
ICICIBANK,EQ,22-Nov-2011,731.60,740.05,752.00,734.20,744.00,745.45,745.14,"69,34,624","5,16,72,87,385.85","1,10,654","36,49,132",52.62
ICICIBANK,EQ,23-Nov-2011,745.45,739.95,740.00,710.00,730.00,726.70,725.71,"65,03,203","4,71,94,44,335.55","1,36,375","31,93,357",49.1
ICICIBANK,EQ,24-Nov-2011,726.70,726.00,736.00,719.00,735.00,730.10,727.43,"54,04,456","3,93,13,68,628.20","83,235","26,46,429",48.97
ICICIBANK,EQ,25-Nov-2011,730.10,725.30,734.65,712.65,717.00,718.20,724.98,"49,97,810","3,62,33,22,932.85","1,02,196","18,77,274",37.56
ICICIBANK,EQ,28-Nov-2011,718.20,730.00,753.75,728.05,750.50,749.85,742.64,"56,37,408","4,18,65,41,306.20","1,58,912","27,75,874",49.24
ICICIBANK,EQ,29-Nov-2011,749.85,750.50,756.00,722.65,736.70,733.95,740.29,"86,46,975","6,40,12,52,378.30","1,49,040","45,06,203",52.11
ICICIBANK,EQ,30-Nov-2011,733.95,724.00,734.25,704.90,730.30,712.45,716.55,"3,18,87,495","22,84,90,17,962.20","2,69,331","2,25,35,193",70.67
ICICIBANK,EQ,01-Dec-2011,712.45,754.00,776.00,753.10,762.00,762.15,759.84,"1,03,23,400","7,84,41,39,157.45","1,74,703","52,34,027",50.7
ICICIBANK,EQ,02-Dec-2011,762.15,765.30,792.00,758.10,789.40,787.70,777.32,"70,25,510","5,46,10,86,093.25","1,50,167","29,71,086",42.29
ICICIBANK,EQ,05-Dec-2011,787.70,786.00,790.30,771.70,782.90,779.55,781.57,"47,04,735","3,67,70,80,073.30","93,953","17,84,992",37.94
ICICIBANK,EQ,07-Dec-2011,779.55,784.00,785.90,764.60,764.60,767.85,775.95,"64,63,917","5,01,56,70,229.20","1,22,874","32,40,665",50.13
ICICIBANK,EQ,08-Dec-2011,767.85,758.50,765.65,739.05,745.10,744.30,750.27,"71,80,736","5,38,74,93,740.25","1,30,832","34,06,113",47.43
ICICIBANK,EQ,09-Dec-2011,744.30,731.00,741.95,722.10,733.60,731.15,732.61,"74,91,358","5,48,82,44,482.35","1,46,150","32,63,943",43.57
ICICIBANK,EQ,12-Dec-2011,731.15,744.00,744.00,704.10,706.55,707.10,719.14,"56,70,337","4,07,77,50,205.25","1,13,052","26,66,017",47.02
ICICIBANK,EQ,13-Dec-2011,707.10,700.00,712.50,690.15,709.30,706.45,701.16,"59,61,621","4,18,00,68,589.40","1,52,643","20,88,801",35.04
ICICIBANK,EQ,14-Dec-2011,706.45,700.00,717.00,693.40,706.00,704.40,705.97,"82,19,622","5,80,27,68,542.00","1,54,137","35,62,625",43.34
ICICIBANK,EQ,15-Dec-2011,704.40,698.00,705.90,689.05,698.05,698.60,697.41,"50,36,729","3,51,26,86,103.25","1,32,009","20,72,267",41.14
ICICIBANK,EQ,16-Dec-2011,698.60,699.20,715.00,664.85,672.70,676.00,693.65,"77,12,758","5,34,99,75,948.00","1,39,020","28,79,809",37.34
ICICIBANK,EQ,19-Dec-2011,676.00,672.00,672.00,641.00,655.90,657.20,651.48,"61,97,679","4,03,76,35,524.20","1,25,630","25,52,643",41.19
ICICIBANK,EQ,20-Dec-2011,657.20,662.00,671.00,648.15,654.40,653.40,657.30,"47,02,588","3,09,10,15,171.90","95,349","13,01,393",27.67
