Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,07-Oct-2011,239.7,247.9,259.9,235.95,245.0,243.35,248.72,"24,07,560","59,87,98,386.45","20,626","8,51,230",35.36
INDUSINDBK,EQ,10-Oct-2011,243.35,244.75,252.9,241.0,251.5,251.85,248.12,"3,96,475","9,83,71,558.70","8,996","1,89,530",47.8
INDUSINDBK,EQ,11-Oct-2011,251.85,254.0,257.65,251.5,253.5,253.6,255.43,"5,35,423","13,67,65,522.90","5,817","3,02,356",56.47
INDUSINDBK,EQ,12-Oct-2011,253.6,255.0,260.0,250.6,258.0,258.05,256.71,"2,67,556","6,86,83,772.35","5,867","77,469",28.95
INDUSINDBK,EQ,13-Oct-2011,258.05,263.9,275.0,258.0,263.55,267.5,263.3,"4,74,111","12,48,31,729.30","7,926","1,88,536",39.77
INDUSINDBK,EQ,14-Oct-2011,267.5,265.1,266.0,259.5,264.5,264.0,262.06,"3,23,656","8,48,16,373.65","5,883","1,70,030",52.53
INDUSINDBK,EQ,17-Oct-2011,264.0,264.8,270.9,264.8,270.6,269.8,267.53,"13,21,097","35,34,34,943.70","5,881","10,82,727",81.96
INDUSINDBK,EQ,18-Oct-2011,269.8,269.8,272.7,263.75,265.75,267.35,268.29,"14,77,866","39,64,99,731.85","21,450","3,14,431",21.28
INDUSINDBK,EQ,19-Oct-2011,267.35,271.4,273.0,268.2,269.9,270.8,271.05,"5,12,841","13,90,03,288.25","6,247","2,67,416",52.14
INDUSINDBK,EQ,20-Oct-2011,270.8,266.6,272.5,266.0,269.5,269.95,268.26,"4,23,779","11,36,81,866.20","5,766","1,97,969",46.72
INDUSINDBK,EQ,21-Oct-2011,269.95,269.2,275.75,269.0,274.05,273.45,273.72,"6,51,568","17,83,49,025.25","9,642","3,60,171",55.28
INDUSINDBK,EQ,24-Oct-2011,273.45,276.1,278.5,271.0,274.0,273.05,275.31,"3,62,387","9,97,67,072.20","6,429","1,11,897",30.88
INDUSINDBK,EQ,25-Oct-2011,273.05,274.1,277.0,272.25,273.5,273.45,274.77,"15,35,411","42,18,83,251.70","11,270","9,00,073",58.62
INDUSINDBK,EQ,26-Oct-2011,273.45,275.0,280.35,275.0,276.5,277.1,278.14,"2,18,531","6,07,81,909.25","3,078","82,167",37.6
INDUSINDBK,EQ,28-Oct-2011,277.1,273.0,284.95,273.0,282.0,281.9,281.7,"4,07,582","11,48,15,206.95","5,703","2,03,368",49.9
INDUSINDBK,EQ,31-Oct-2011,281.9,282.0,288.0,274.1,287.45,286.7,282.93,"5,14,207","14,54,86,342.15","7,382","2,21,513",43.08
INDUSINDBK,EQ,01-Nov-2011,286.7,283.0,287.9,275.3,278.6,279.5,282.27,"7,37,970","20,83,08,510.45","8,538","5,28,079",71.56
INDUSINDBK,EQ,02-Nov-2011,279.5,276.7,281.5,274.35,279.2,279.95,277.86,"2,46,067","6,83,72,404.75","4,882","56,714",23.05
INDUSINDBK,EQ,03-Nov-2011,279.95,279.9,280.1,275.55,276.0,277.3,277.76,"2,21,307","6,14,71,184.85","4,104","78,211",35.34
INDUSINDBK,EQ,04-Nov-2011,277.3,278.7,280.9,275.2,276.5,276.2,278.1,"2,81,753","7,83,55,931.20","6,090","1,54,548",54.85
INDUSINDBK,EQ,08-Nov-2011,276.2,278.5,279.9,270.55,276.7,276.25,274.45,"2,35,520","6,46,39,031.10","4,499","60,901",25.86
INDUSINDBK,EQ,09-Nov-2011,276.25,277.95,277.95,265.65,270.2,270.0,270.13,"5,14,728","13,90,42,025.70","6,001","3,06,200",59.49
INDUSINDBK,EQ,11-Nov-2011,270.0,270.0,275.0,261.6,268.0,268.8,267.83,"3,22,905","8,64,84,265.40","4,954","1,31,374",40.69
INDUSINDBK,EQ,14-Nov-2011,268.8,267.0,271.85,260.0,260.5,261.55,264.27,"5,18,974","13,71,51,422.40","6,643","3,32,220",64.01
INDUSINDBK,EQ,15-Nov-2011,261.55,258.0,263.7,250.25,253.7,253.2,259.75,"3,79,035","9,84,52,869.05","7,890","1,42,114",37.49
INDUSINDBK,EQ,16-Nov-2011,253.2,253.65,257.9,245.3,257.85,252.2,249.07,"5,72,764","14,26,56,328.05","7,314","2,60,725",45.52
