Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INDUSINDBK,EQ,07-Oct-2019,"1,265.30","1,275.00","1,276.00","1,215.00","1,245.00","1,241.05","1,241.09","52,12,929","6,46,96,88,307.40","1,45,285","8,21,267",15.75
INDUSINDBK,EQ,09-Oct-2019,"1,241.05","1,241.00","1,319.00","1,235.60","1,309.50","1,308.65","1,282.42","68,65,376","8,80,42,67,643.50","2,16,675","12,53,079",18.25
INDUSINDBK,EQ,10-Oct-2019,"1,308.65","1,310.00","1,321.00","1,220.00","1,229.55","1,228.50","1,272.91","1,39,75,918","17,79,01,50,095.70","4,06,438","17,60,815",12.6
INDUSINDBK,EQ,11-Oct-2019,"1,228.50","1,235.95","1,253.95","1,191.35","1,227.00","1,223.20","1,219.08","1,29,87,781","15,83,31,58,054.50","3,42,995","28,20,169",21.71
INDUSINDBK,EQ,14-Oct-2019,"1,223.20","1,240.00","1,264.90","1,227.90","1,250.45","1,250.60","1,249.68","47,86,662","5,98,17,77,397.40","1,30,588","5,55,633",11.61
INDUSINDBK,EQ,15-Oct-2019,"1,250.60","1,256.95","1,277.55","1,236.00","1,271.55","1,272.25","1,258.71","46,69,980","5,87,81,38,048.25","1,35,025","9,40,186",20.13
INDUSINDBK,EQ,16-Oct-2019,"1,272.25","1,274.95","1,285.00","1,265.00","1,275.00","1,274.50","1,275.23","41,18,174","5,25,16,07,429.45","1,07,233","14,82,378",36.0
INDUSINDBK,EQ,17-Oct-2019,"1,274.50","1,276.00","1,345.00","1,270.00","1,340.00","1,340.10","1,312.56","52,37,964","6,87,51,26,479.20","1,38,069","10,96,978",20.94
INDUSINDBK,EQ,18-Oct-2019,"1,340.10","1,332.00","1,361.70","1,317.10","1,338.50","1,342.65","1,340.42","56,04,223","7,51,20,08,847.15","1,26,249","14,04,930",25.07
INDUSINDBK,EQ,22-Oct-2019,"1,342.65","1,340.00","1,357.85","1,320.00","1,341.00","1,341.00","1,344.01","35,77,455","4,80,81,20,752.50","1,22,420","10,13,240",28.32
INDUSINDBK,EQ,23-Oct-2019,"1,341.00","1,339.00","1,347.95","1,309.65","1,332.50","1,332.60","1,326.67","30,03,881","3,98,51,44,355.05","81,080","6,33,923",21.1
INDUSINDBK,EQ,24-Oct-2019,"1,332.60","1,340.20","1,347.85","1,272.00","1,289.00","1,283.00","1,298.96","68,33,303","8,87,62,08,117.50","1,68,672","23,84,091",34.89
INDUSINDBK,EQ,25-Oct-2019,"1,283.00","1,288.00","1,288.00","1,260.10","1,271.20","1,272.05","1,271.57","41,41,541","5,26,62,61,530.90","1,09,821","15,29,045",36.92
INDUSINDBK,EQ,27-Oct-2019,"1,272.05","1,282.00","1,284.00","1,273.55","1,274.00","1,276.65","1,277.76","3,03,126","38,73,23,124.15","8,226","82,033",27.06
INDUSINDBK,EQ,29-Oct-2019,"1,276.65","1,275.00","1,326.00","1,264.15","1,314.00","1,315.30","1,301.05","42,48,732","5,52,78,03,159.55","1,15,784","14,70,676",34.61
INDUSINDBK,EQ,30-Oct-2019,"1,315.30","1,315.00","1,323.95","1,282.40","1,294.00","1,297.20","1,304.56","33,33,740","4,34,90,71,608.60","1,15,798","9,54,746",28.64
INDUSINDBK,EQ,31-Oct-2019,"1,297.20","1,303.95","1,344.00","1,290.00","1,313.25","1,313.20","1,314.32","75,59,742","9,93,59,54,521.00","1,79,325","31,27,272",41.37
INDUSINDBK,EQ,01-Nov-2019,"1,313.20","1,328.00","1,385.85","1,316.20","1,379.00","1,379.85","1,363.81","78,03,620","10,64,26,72,817.80","1,84,620","23,13,841",29.65
INDUSINDBK,EQ,04-Nov-2019,"1,379.85","1,374.95","1,393.90","1,350.00","1,351.90","1,352.30","1,371.86","36,41,707","4,99,59,00,595.30","1,09,587","11,41,437",31.34
INDUSINDBK,EQ,05-Nov-2019,"1,352.30","1,354.00","1,360.30","1,315.00","1,321.25","1,320.10","1,337.50","26,56,825","3,55,35,08,876.65","1,02,175","7,89,248",29.71
