Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,07-Oct-2013,"3,016.40","3,015.00","3,039.75","3,006.40","3,032.55","3,021.85","3,019.50","12,24,418","3,69,71,26,150.95","49,198","9,54,742",77.98
INFY,EQ,08-Oct-2013,"3,021.85","3,040.30","3,052.00","3,022.30","3,040.00","3,034.15","3,031.35","22,47,864","6,81,40,67,169.95","40,099","15,90,342",70.75
INFY,EQ,09-Oct-2013,"3,034.15","3,027.00","3,131.40","3,010.00","3,120.00","3,109.85","3,063.90","21,71,474","6,65,31,68,594.55","76,208","12,23,734",56.35
INFY,EQ,10-Oct-2013,"3,109.85","3,125.10","3,160.95","3,090.75","3,153.00","3,127.60","3,123.29","21,79,336","6,80,67,03,987.45","94,071","9,21,914",42.3
INFY,EQ,11-Oct-2013,"3,127.60","3,335.00","3,338.00","3,156.80","3,278.30","3,274.50","3,261.73","51,61,325","16,83,48,49,880.30","2,37,712","10,47,752",20.3
INFY,EQ,14-Oct-2013,"3,274.50","3,256.00","3,335.55","3,256.00","3,310.00","3,324.35","3,311.51","15,28,964","5,06,31,75,851.75","90,393","7,78,859",50.94
INFY,EQ,15-Oct-2013,"3,324.35","3,324.00","3,367.05","3,312.80","3,362.70","3,354.80","3,342.55","11,52,665","3,85,28,40,677.05","72,505","6,53,673",56.71
INFY,EQ,17-Oct-2013,"3,354.80","3,330.20","3,357.90","3,260.00","3,269.35","3,268.50","3,312.44","14,39,126","4,76,70,25,179.80","83,876","8,95,058",62.19
INFY,EQ,18-Oct-2013,"3,268.50","3,286.00","3,323.90","3,261.00","3,308.50","3,314.55","3,304.44","13,68,097","4,52,07,95,391.15","58,826","9,39,544",68.68
INFY,EQ,21-Oct-2013,"3,314.55","3,333.00","3,377.70","3,265.10","3,331.30","3,335.45","3,299.51","11,72,921","3,87,00,62,534.55","57,015","7,36,804",62.82
INFY,EQ,22-Oct-2013,"3,335.45","3,338.00","3,364.20","3,325.40","3,339.00","3,342.35","3,347.60","9,01,095","3,01,65,09,827.30","36,468","5,79,033",64.26
INFY,EQ,23-Oct-2013,"3,342.35","3,320.00","3,338.80","3,279.00","3,320.00","3,324.80","3,308.02","8,20,198","2,71,32,27,620.25","48,896","4,82,074",58.78
INFY,EQ,24-Oct-2013,"3,324.80","3,302.30","3,375.00","3,290.05","3,309.00","3,308.75","3,326.52","8,10,070","2,69,47,11,170.55","54,918","4,03,155",49.77
INFY,EQ,25-Oct-2013,"3,308.75","3,328.00","3,350.00","3,306.30","3,328.00","3,331.55","3,331.57","7,51,418","2,50,34,01,414.85","54,716","4,68,881",62.4
INFY,EQ,28-Oct-2013,"3,331.55","3,317.20","3,334.90","3,293.15","3,325.00","3,323.45","3,323.58","4,26,556","1,41,76,94,957.80","38,481","2,43,787",57.15
INFY,EQ,29-Oct-2013,"3,323.45","3,319.50","3,364.95","3,306.75","3,327.00","3,335.60","3,332.19","6,50,049","2,16,60,87,330.85","32,772","4,03,077",62.01
INFY,EQ,30-Oct-2013,"3,335.60","3,311.00","3,338.85","3,307.45","3,323.70","3,323.90","3,324.33","6,98,886","2,32,33,27,421.95","45,439","5,10,847",73.09
INFY,EQ,31-Oct-2013,"3,323.90","3,304.30","3,328.00","3,296.20","3,298.10","3,309.90","3,313.49","12,10,943","4,01,24,45,903.20","47,300","9,12,498",75.35
INFY,EQ,01-Nov-2013,"3,309.90","3,300.00","3,315.00","3,269.40","3,272.00","3,276.70","3,286.52","7,70,838","2,53,33,76,678.90","72,466","5,15,521",66.88
INFY,EQ,03-Nov-2013,"3,276.70","3,280.00","3,295.75","3,273.20","3,280.00","3,279.40","3,282.78","50,502","16,57,87,120.20","5,068","14,748",29.2
INFY,EQ,05-Nov-2013,"3,279.40","3,252.00","3,290.55","3,233.00","3,255.05","3,265.85","3,266.37","6,65,029","2,17,22,31,193.85","57,858","4,54,163",68.29
INFY,EQ,06-Nov-2013,"3,265.85","3,275.30","3,312.20","3,275.30","3,306.90","3,306.15","3,300.93","4,63,083","1,52,86,02,784.90","20,832","2,76,566",59.72
