Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,05-Oct-2021,236.6,236.4,237.45,234.5,234.6,234.7,235.35,"92,23,597","2,17,07,41,557.95","94,090","46,99,478",50.95
ITC,EQ,06-Oct-2021,234.7,234.8,236.4,230.6,230.9,231.25,232.89,"1,75,05,160","4,07,67,18,725.15","1,12,565","99,07,202",56.60
ITC,EQ,07-Oct-2021,231.25,233.0,234.95,232.3,232.95,232.95,233.59,"1,03,71,535","2,42,26,66,147.55","85,072","51,57,574",49.73
ITC,EQ,08-Oct-2021,232.95,234.75,234.8,231.2,231.9,231.7,232.63,"97,39,240","2,26,56,38,076.15","89,186","43,47,984",44.64
ITC,EQ,11-Oct-2021,231.7,232.0,239.5,231.7,238.2,238.05,236.17,"2,11,84,428","5,00,30,54,961.30","1,53,853","99,00,712",46.74
ITC,EQ,12-Oct-2021,238.05,238.6,243.0,238.0,241.3,241.3,240.78,"2,92,22,028","7,03,61,05,158.75","2,05,242","1,16,46,287",39.85
ITC,EQ,13-Oct-2021,241.3,242.55,250.9,240.15,250.9,249.2,245.44,"5,01,59,625","12,31,12,87,566.95","2,59,485","2,30,41,573",45.94
ITC,EQ,14-Oct-2021,249.2,253.25,261.85,250.35,256.3,256.55,256.08,"8,54,06,902","21,87,12,43,335.10","4,47,958","3,56,51,835",41.74
ITC,EQ,18-Oct-2021,256.55,261.0,265.3,257.35,261.8,262.55,261.24,"6,02,92,901","15,75,12,16,295.40","3,18,410","3,18,47,322",52.82
ITC,EQ,19-Oct-2021,262.55,261.4,262.55,245.05,246.1,245.95,251.38,"5,90,61,766","14,84,71,06,587.20","4,45,769","2,45,69,236",41.60
ITC,EQ,20-Oct-2021,245.95,245.95,248.5,242.35,246.5,246.6,245.66,"4,78,22,165","11,74,79,33,319.00","2,30,234","2,37,88,245",49.74
ITC,EQ,21-Oct-2021,246.6,248.0,248.35,243.1,244.7,244.7,244.77,"2,25,18,727","5,51,19,75,287.30","1,43,909","1,17,01,284",51.96
ITC,EQ,22-Oct-2021,244.7,244.7,245.8,233.7,236.5,236.6,238.65,"3,55,37,151","8,48,07,66,476.85","2,36,176","1,70,09,316",47.86
