Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
ITC,EQ,06-Oct-2022,332.85,335.0,339.3,332.55,335.9,336.65,335.98,"2,22,35,092","7,47,05,86,426.75","1,55,672","1,68,11,239",75.61
ITC,EQ,07-Oct-2022,336.65,336.8,336.85,331.3,334.45,334.1,333.79,"1,05,06,078","3,50,68,19,673.70","1,15,865","70,85,146",67.44
ITC,EQ,10-Oct-2022,334.1,330.0,331.45,326.05,328.15,327.85,328.18,"93,88,996","3,08,12,54,840.50","1,34,866","54,90,519",58.48
ITC,EQ,11-Oct-2022,327.85,329.0,330.45,325.1,325.9,326.3,328.01,"1,06,09,956","3,48,01,58,340.95","1,41,982","68,28,001",64.35
ITC,EQ,12-Oct-2022,326.3,327.95,331.45,324.75,330.0,330.1,328.41,"1,03,37,544","3,39,49,61,390.95","1,41,735","58,13,744",56.24
ITC,EQ,13-Oct-2022,330.1,329.95,331.3,328.0,328.85,328.65,329.33,"72,66,724","2,39,31,48,173.00","88,889","41,10,062",56.56
ITC,EQ,14-Oct-2022,328.65,332.3,333.9,330.85,332.1,332.1,332.38,"64,24,915","2,13,55,42,923.60","95,294","36,93,743",57.49
ITC,EQ,17-Oct-2022,332.1,331.1,334.75,329.6,332.55,332.25,332.91,"69,29,063","2,30,67,65,038.55","1,00,913","37,45,304",54.05
ITC,EQ,18-Oct-2022,332.25,333.95,341.0,333.55,340.85,340.3,338.93,"2,08,87,417","7,07,94,64,204.30","1,16,946","1,50,03,669",71.83
ITC,EQ,19-Oct-2022,340.3,343.1,347.45,339.8,347.2,346.35,344.88,"1,62,96,080","5,62,02,13,086.55","1,47,366","68,86,786",42.26
ITC,EQ,20-Oct-2022,346.35,347.0,350.95,344.8,350.6,349.7,348.06,"1,84,74,706","6,43,02,66,358.55","1,69,065","69,38,071",37.55
ITC,EQ,21-Oct-2022,349.7,353.2,353.2,344.5,344.85,345.6,348.85,"2,73,72,160","9,54,87,93,891.00","1,92,007","1,09,05,629",39.84
ITC,EQ,24-Oct-2022,345.6,348.95,349.7,347.0,347.65,347.7,348.43,"31,70,564","1,10,47,07,572.35","72,949","16,83,624",53.10
ITC,EQ,25-Oct-2022,347.7,349.45,349.5,343.65,346.1,346.3,345.93,"1,72,42,211","5,96,46,13,498.25","1,28,574","1,20,18,710",69.71
ITC,EQ,27-Oct-2022,346.3,346.65,348.35,343.85,346.7,345.8,345.23,"1,85,58,597","6,40,70,02,652.70","1,02,198","1,37,32,749",74.00
