Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
ONGC,EQ,07-Oct-2013,264.7,264.0,266.9,260.8,266.45,266.1,263.85,"18,22,296","48,08,11,122.90","35,843","7,82,914",42.96
ONGC,EQ,08-Oct-2013,266.1,267.0,269.85,266.0,268.4,268.8,268.34,"23,77,859","63,80,78,686.80","40,923","13,68,788",57.56
ONGC,EQ,09-Oct-2013,268.8,268.5,274.4,266.1,273.75,273.7,271.3,"23,39,930","63,48,31,584.25","41,957","10,37,220",44.33
ONGC,EQ,10-Oct-2013,273.7,273.7,275.6,271.0,273.7,273.7,273.45,"22,15,282","60,57,77,844.05","46,211","11,50,819",51.95
ONGC,EQ,11-Oct-2013,273.7,276.05,278.65,273.7,275.45,276.55,276.55,"27,67,147","76,52,50,571.65","61,418","18,76,456",67.81
ONGC,EQ,14-Oct-2013,276.55,273.55,277.85,273.55,275.3,275.5,275.72,"14,21,706","39,19,90,893.10","30,359","6,65,145",46.78
ONGC,EQ,15-Oct-2013,275.5,278.0,279.4,271.35,274.65,275.2,275.07,"23,00,920","63,29,13,687.00","40,091","12,36,681",53.75
ONGC,EQ,17-Oct-2013,275.2,277.0,284.0,276.25,281.45,281.1,281.29,"39,96,487","1,12,41,59,871.55","80,377","24,30,370",60.81
ONGC,EQ,18-Oct-2013,281.1,283.5,285.95,281.55,282.75,283.55,283.93,"31,71,769","90,05,63,775.25","57,805","19,25,895",60.72
ONGC,EQ,21-Oct-2013,283.55,284.0,286.45,281.8,285.8,285.25,283.63,"24,77,107","70,25,72,456.45","44,387","17,08,263",68.96
ONGC,EQ,22-Oct-2013,285.25,286.0,287.4,282.0,286.35,286.05,285.25,"21,25,303","60,62,43,717.85","48,385","12,64,542",59.5
ONGC,EQ,23-Oct-2013,286.05,286.0,287.0,279.4,282.0,282.25,282.07,"21,19,720","59,79,06,641.00","27,434","14,17,155",66.86
ONGC,EQ,24-Oct-2013,282.25,282.25,289.0,281.2,283.5,283.8,285.96,"24,73,833","70,74,22,768.65","68,181","14,12,248",57.09
ONGC,EQ,25-Oct-2013,283.8,281.05,286.4,281.05,283.0,283.95,283.82,"25,24,755","71,65,73,048.60","57,418","16,08,856",63.72
