Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RECLTD,EQ,07-Oct-2019,124.95,124.95,125.3,122.45,122.85,122.8,123.92,"45,55,743","56,45,54,778.25","25,680","17,63,556",38.71
RECLTD,EQ,09-Oct-2019,122.8,122.8,125.85,119.45,125.2,124.95,123.17,"64,08,847","78,93,60,086.50","35,600","23,56,319",36.77
RECLTD,EQ,10-Oct-2019,124.95,124.3,127.9,123.8,125.6,126.05,126.42,"63,06,076","79,71,89,759.75","40,094","27,75,720",44.02
RECLTD,EQ,11-Oct-2019,126.05,125.4,126.15,122.05,123.0,123.05,123.48,"66,69,197","82,35,20,654.30","28,167","22,52,596",33.78
RECLTD,EQ,14-Oct-2019,123.05,124.55,127.5,123.7,125.0,124.95,125.77,"38,30,911","48,18,25,367.35","38,610","8,41,734",21.97
RECLTD,EQ,15-Oct-2019,124.95,125.6,125.6,122.7,123.15,123.25,123.68,"37,52,106","46,40,78,937.15","38,679","13,57,109",36.17
RECLTD,EQ,16-Oct-2019,123.25,123.45,125.75,122.75,125.45,125.45,124.27,"55,58,662","69,07,89,138.85","26,123","20,60,263",37.06
RECLTD,EQ,17-Oct-2019,125.45,124.25,125.9,122.35,124.55,124.5,123.78,"45,43,796","56,24,17,429.65","29,223","18,87,690",41.54
RECLTD,EQ,18-Oct-2019,124.5,125.0,131.0,124.55,130.3,130.5,128.11,"90,43,937","1,15,86,24,601.60","49,299","33,02,028",36.51
RECLTD,EQ,22-Oct-2019,130.5,130.3,135.4,129.15,133.6,133.8,133.85,"70,63,244","94,53,86,512.75","53,350","22,20,306",31.43
RECLTD,EQ,23-Oct-2019,133.8,133.8,138.2,130.9,137.25,137.2,136.19,"62,02,064","84,46,78,812.20","35,135","20,05,048",32.33
RECLTD,EQ,24-Oct-2019,137.2,137.5,138.0,133.25,134.6,134.2,135.2,"30,40,704","41,10,95,919.85","19,163","8,13,311",26.75
RECLTD,EQ,25-Oct-2019,134.2,134.6,136.8,132.8,136.1,136.35,135.11,"26,23,464","35,44,59,346.60","16,274","8,49,608",32.38
RECLTD,EQ,27-Oct-2019,136.35,136.1,137.25,135.1,136.0,135.85,136.06,"2,96,202","4,03,02,524.90","2,239","98,859",33.38
RECLTD,EQ,29-Oct-2019,135.85,135.1,137.9,134.0,136.45,136.3,136.17,"45,21,041","61,56,22,886.30","41,390","18,43,946",40.79
RECLTD,EQ,30-Oct-2019,136.3,136.45,140.5,134.65,137.5,137.4,137.67,"73,80,449","1,01,60,47,202.65","34,013","25,85,161",35.03
RECLTD,EQ,31-Oct-2019,137.4,138.05,140.35,137.55,139.8,139.8,139.32,"53,58,928","74,65,85,733.65","22,719","20,64,316",38.52
RECLTD,EQ,01-Nov-2019,139.8,139.8,142.1,139.15,140.75,141.6,141.08,"49,39,303","69,68,31,088.75","25,464","14,17,102",28.69
RECLTD,EQ,04-Nov-2019,141.6,141.6,142.95,139.35,140.9,140.9,141.36,"35,54,863","50,25,10,552.40","17,182","9,42,052",26.5
RECLTD,EQ,05-Nov-2019,140.9,140.8,141.8,136.15,136.6,137.4,138.58,"42,95,472","59,52,55,844.75","28,781","9,33,714",21.74
RECLTD,EQ,06-Nov-2019,137.4,135.8,139.0,134.4,137.7,137.7,137.3,"37,09,150","50,92,49,076.35","21,571","7,82,144",21.09
RECLTD,EQ,07-Nov-2019,137.7,138.95,144.0,138.0,143.0,142.8,141.98,"78,50,944","1,11,47,03,505.80","40,248","16,48,856",21.0
RECLTD,EQ,08-Nov-2019,142.8,142.5,143.0,138.45,138.6,138.75,140.53,"50,53,187","71,01,21,947.40","30,150","15,58,808",30.85
RECLTD,EQ,11-Nov-2019,138.75,138.25,141.1,137.4,140.95,140.5,139.88,"26,90,183","37,62,90,436.65","11,457","4,24,071",15.76
RECLTD,EQ,13-Nov-2019,140.5,140.75,141.8,137.65,138.3,137.95,139.3,"34,06,565","47,45,39,110.30","23,526","16,26,266",47.74
RECLTD,EQ,14-Nov-2019,137.95,138.0,138.0,133.5,135.0,135.1,135.22,"59,46,131","80,40,23,741.40","32,193","29,79,388",50.11
RECLTD,EQ,15-Nov-2019,135.1,135.2,136.25,133.1,134.05,134.05,134.48,"39,42,881","53,02,25,985.00","27,651","17,34,649",43.99
RECLTD,EQ,18-Nov-2019,134.05,134.3,142.65,133.1,141.1,140.35,139.43,"76,12,710","1,06,14,30,890.40","40,251","16,97,109",22.29
RECLTD,EQ,19-Nov-2019,140.35,141.1,143.6,140.0,143.2,142.95,141.75,"50,12,674","71,05,57,343.20","28,818","14,85,559",29.64
RECLTD,EQ,20-Nov-2019,142.95,143.95,146.7,143.15,144.7,145.0,144.88,"72,21,890","1,04,63,12,155.30","38,611","30,76,105",42.59
RECLTD,EQ,21-Nov-2019,145.0,144.7,144.7,137.9,138.8,138.45,140.4,"45,95,307","64,51,98,392.85","22,474","12,95,977",28.2
RECLTD,EQ,22-Nov-2019,138.45,138.7,141.7,138.15,139.7,139.7,139.78,"34,90,116","48,78,53,708.90","14,699","9,42,071",26.99
RECLTD,EQ,25-Nov-2019,139.7,139.55,141.6,138.5,139.1,139.4,140.04,"29,38,663","41,15,34,150.45","19,545","8,14,634",27.72
RECLTD,EQ,26-Nov-2019,139.4,139.4,140.2,137.15,138.0,137.95,138.47,"43,02,301","59,57,47,767.80","21,671","20,99,917",48.81
RECLTD,EQ,27-Nov-2019,137.95,138.1,138.4,134.25,135.75,136.1,135.46,"36,82,607","49,88,52,916.90","18,168","11,25,852",30.57
RECLTD,EQ,28-Nov-2019,136.1,135.9,139.0,134.75,138.7,138.5,137.2,"27,00,359","37,04,95,858.90","13,708","7,19,475",26.64
RECLTD,EQ,29-Nov-2019,138.5,137.5,139.0,136.55,138.0,137.9,137.7,"37,91,575","52,21,14,460.25","12,700","16,19,505",42.71
RECLTD,EQ,02-Dec-2019,137.9,137.95,138.85,136.0,137.7,137.9,137.7,"27,97,678","38,52,37,271.55","20,586","11,56,629",41.34
RECLTD,EQ,03-Dec-2019,137.9,136.6,137.35,130.25,130.6,130.75,132.8,"53,82,729","71,48,38,467.75","32,553","25,32,836",47.05
RECLTD,EQ,04-Dec-2019,130.75,129.6,133.65,129.05,133.25,133.1,132.0,"35,23,002","46,50,51,819.10","20,367","5,23,340",14.85
RECLTD,EQ,05-Dec-2019,133.1,133.25,136.0,132.65,134.1,134.15,134.51,"32,83,724","44,16,86,948.60","18,790","7,92,458",24.13
RECLTD,EQ,06-Dec-2019,134.15,134.0,135.15,127.85,128.9,129.0,130.06,"50,94,575","66,26,08,890.05","33,649","13,36,174",26.23
RECLTD,EQ,09-Dec-2019,129.0,129.6,131.7,128.3,130.0,129.7,130.29,"23,12,581","30,12,94,955.90","12,850","5,93,692",25.67
RECLTD,EQ,10-Dec-2019,129.7,129.65,132.3,129.0,129.5,129.4,130.45,"57,66,776","75,22,98,144.75","20,914","7,02,244",12.18
RECLTD,EQ,11-Dec-2019,129.4,130.15,133.95,129.7,133.4,133.6,132.81,"37,32,968","49,57,79,380.75","25,245","8,38,300",22.46
RECLTD,EQ,12-Dec-2019,133.6,133.8,135.85,132.3,134.65,135.0,133.99,"36,77,242","49,27,03,725.65","24,779","11,77,353",32.02
RECLTD,EQ,13-Dec-2019,135.0,135.1,136.8,134.15,136.35,136.15,135.63,"29,92,534","40,58,89,645.30","24,366","11,78,867",39.39
RECLTD,EQ,16-Dec-2019,136.15,136.05,137.25,135.0,135.75,135.95,136.12,"20,08,524","27,34,09,180.60","12,068","8,02,576",39.96
RECLTD,EQ,17-Dec-2019,135.95,136.2,138.5,135.05,138.0,138.0,137.26,"29,09,019","39,92,96,447.20","14,917","13,15,869",45.23
RECLTD,EQ,18-Dec-2019,138.0,138.25,138.6,135.65,136.95,136.85,137.12,"18,40,432","25,23,57,098.90","17,417","5,45,082",29.62
RECLTD,EQ,19-Dec-2019,136.85,136.95,138.75,136.05,137.3,137.4,137.62,"16,14,360","22,21,64,957.05","11,628","4,91,980",30.48
RECLTD,EQ,20-Dec-2019,137.4,137.0,137.9,135.6,137.0,137.25,136.91,"23,34,055","31,95,47,818.70","10,629","8,72,490",37.38
RECLTD,EQ,23-Dec-2019,137.25,136.3,138.5,135.5,136.15,136.45,136.89,"24,26,529","33,21,66,444.95","7,864","11,51,113",47.44
RECLTD,EQ,24-Dec-2019,136.45,136.3,137.9,136.0,137.0,137.35,137.0,"19,14,327","26,22,69,721.50","7,135","7,46,825",39.01
RECLTD,EQ,26-Dec-2019,137.35,137.2,139.0,136.6,138.7,138.45,138.11,"16,58,195","22,90,17,099.10","6,912","4,79,163",28.9
RECLTD,EQ,27-Dec-2019,138.45,138.75,142.75,138.65,141.45,141.55,141.69,"50,39,694","71,40,57,424.30","20,870","15,23,023",30.22
RECLTD,EQ,30-Dec-2019,141.55,141.5,142.05,140.0,141.2,141.25,141.02,"14,66,061","20,67,41,569.85","11,392","5,84,544",39.87
RECLTD,EQ,31-Dec-2019,141.25,140.55,144.7,140.2,143.0,143.1,143.18,"35,78,113","51,23,15,003.60","15,451","11,16,567",31.21
RECLTD,EQ,01-Jan-2020,143.1,143.3,144.3,141.55,143.8,143.95,143.33,"21,67,762","31,07,01,193.35","8,670","6,06,363",27.97
RECLTD,EQ,02-Jan-2020,143.95,143.95,145.9,143.5,145.7,145.45,144.86,"25,83,542","37,42,50,691.80","11,728","7,73,087",29.92
RECLTD,EQ,03-Jan-2020,145.45,145.0,145.95,142.3,143.1,143.0,144.23,"29,35,857","42,34,50,111.40","15,960","8,74,809",29.8
