Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RECLTD,EQ,06-Oct-2021,161.65,163.25,163.25,156.0,157.3,157.3,160.0,"50,51,832","80,82,94,225.60","44,996","21,18,315",41.93
RECLTD,EQ,07-Oct-2021,157.3,158.3,160.1,157.55,158.0,158.15,158.84,"25,61,768","40,69,22,013.40","28,912","9,02,246",35.22
RECLTD,EQ,08-Oct-2021,158.15,158.9,159.25,156.3,157.6,157.75,157.59,"24,64,750","38,84,22,542.15","17,284","11,35,358",46.06
RECLTD,EQ,11-Oct-2021,157.75,160.3,162.55,158.7,159.45,159.2,160.06,"37,54,214","60,08,93,233.75","33,744","15,79,192",42.06
RECLTD,EQ,12-Oct-2021,159.2,159.15,160.35,157.0,160.15,159.65,158.65,"38,47,067","61,03,53,213.55","24,678","20,63,346",53.63
RECLTD,EQ,13-Oct-2021,159.65,160.75,162.75,159.55,160.0,160.0,161.04,"51,66,055","83,19,41,795.05","39,416","25,91,190",50.16
RECLTD,EQ,14-Oct-2021,160.0,161.0,168.85,159.7,164.35,164.75,164.97,"2,14,93,592","3,54,58,45,112.45","1,09,407","97,41,924",45.32
RECLTD,EQ,18-Oct-2021,164.75,167.95,168.2,163.8,165.0,165.1,166.08,"78,34,883","1,30,11,83,783.00","55,461","30,57,345",39.02
RECLTD,EQ,19-Oct-2021,165.1,166.0,166.35,156.4,157.0,157.4,160.38,"68,39,669","1,09,69,24,296.10","45,468","23,39,861",34.21
RECLTD,EQ,20-Oct-2021,157.4,155.6,158.5,152.2,153.95,153.6,154.88,"46,80,365","72,48,83,690.40","32,015","20,51,024",43.82
RECLTD,EQ,21-Oct-2021,153.6,155.1,156.5,153.2,155.7,154.6,154.89,"60,67,144","93,97,54,865.85","27,006","34,84,122",57.43
RECLTD,EQ,22-Oct-2021,154.6,155.5,156.0,149.35,151.2,150.95,151.83,"59,54,398","90,40,46,033.35","45,352","30,81,548",51.75
RECLTD,EQ,25-Oct-2021,150.95,151.65,152.05,147.1,148.25,148.55,149.0,"51,74,649","77,10,15,338.05","37,337","24,49,788",47.34
RECLTD,EQ,26-Oct-2021,148.55,149.2,153.45,148.0,151.8,151.7,151.69,"70,53,308","1,06,99,26,739.95","36,054","34,44,442",48.83
RECLTD,EQ,27-Oct-2021,151.7,151.95,158.5,151.85,156.0,156.15,155.8,"65,46,448","1,01,99,15,517.55","37,457","28,78,169",43.97
RECLTD,EQ,28-Oct-2021,156.15,156.0,156.65,148.85,150.3,150.05,152.45,"47,85,850","72,95,96,635.10","28,344","21,92,446",45.81
RECLTD,EQ,29-Oct-2021,150.05,150.3,152.05,146.65,149.55,148.65,149.42,"70,16,976","1,04,84,60,115.35","30,755","31,20,358",44.47
RECLTD,EQ,01-Nov-2021,148.65,150.8,151.95,147.1,150.55,150.2,149.22,"68,06,097","1,01,56,02,713.05","38,121","33,16,665",48.73
RECLTD,EQ,02-Nov-2021,150.2,151.05,153.15,150.7,151.2,151.2,151.67,"39,23,448","59,50,74,888.65","21,490","17,44,701",44.47
RECLTD,EQ,03-Nov-2021,151.2,152.5,155.6,151.0,153.0,152.8,153.47,"41,78,452","64,12,85,684.65","22,735","13,10,444",31.36
RECLTD,EQ,04-Nov-2021,152.8,153.9,153.95,152.85,153.45,153.3,153.31,"4,46,439","6,84,42,748.55","4,242","2,26,190",50.67
RECLTD,EQ,08-Nov-2021,153.3,153.6,155.65,153.4,154.8,154.7,154.4,"32,03,976","49,46,81,168.65","15,848","14,32,501",44.71
RECLTD,EQ,09-Nov-2021,154.7,154.75,155.3,152.1,153.0,152.75,153.57,"30,63,573","47,04,73,471.10","16,281","16,27,776",53.13
RECLTD,EQ,10-Nov-2021,152.75,152.1,154.75,151.5,154.05,153.95,153.67,"34,53,070","53,06,22,790.90","19,055","20,36,486",58.98
RECLTD,EQ,11-Nov-2021,153.95,151.3,151.7,147.1,149.7,149.8,149.98,"42,57,381","63,85,23,301.00","26,178","23,12,621",54.32
RECLTD,EQ,12-Nov-2021,149.8,150.9,150.9,144.8,145.4,145.65,146.22,"66,32,523","96,98,04,976.35","44,275","39,14,762",59.02
RECLTD,EQ,15-Nov-2021,145.65,145.9,145.9,141.8,142.1,142.1,143.07,"45,85,154","65,60,12,807.40","29,891","25,08,065",54.7
RECLTD,EQ,16-Nov-2021,142.1,142.5,142.7,139.4,139.5,140.0,141.13,"58,01,254","81,87,11,488.00","39,362","34,72,362",59.86
