Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
SBIN,EQ,05-Oct-2011,"1,787.20","1,800.10","1,812.20","1,710.00","1,711.85","1,718.40","1,739.19","62,75,452","10,91,42,12,217.20","2,62,837","20,57,774",32.79
SBIN,EQ,07-Oct-2011,"1,718.40","1,763.00","1,777.85","1,742.55","1,747.00","1,752.30","1,756.40","29,98,504","5,26,65,87,393.50","1,26,594","10,67,772",35.61
SBIN,EQ,10-Oct-2011,"1,752.30","1,759.95","1,764.85","1,722.20","1,755.00","1,756.05","1,748.06","32,68,992","5,71,44,09,646.45","1,07,700","15,85,212",48.49
SBIN,EQ,11-Oct-2011,"1,756.05","1,776.80","1,806.00","1,753.50","1,761.25","1,764.55","1,778.97","39,35,461","7,00,10,56,346.60","1,43,261","17,52,893",44.54
SBIN,EQ,12-Oct-2011,"1,764.55","1,780.25","1,880.00","1,757.25","1,880.00","1,872.05","1,817.42","53,72,553","9,76,41,71,144.50","2,15,170","17,70,168",32.95
SBIN,EQ,13-Oct-2011,"1,872.05","1,881.00","1,933.95","1,875.00","1,875.35","1,887.35","1,907.00","41,06,962","7,83,19,62,123.20","1,72,002","11,37,228",27.69
SBIN,EQ,14-Oct-2011,"1,887.35","1,871.05","1,906.50","1,869.30","1,883.00","1,885.20","1,889.14","23,59,746","4,45,79,00,045.45","96,206","4,97,405",21.08
SBIN,EQ,17-Oct-2011,"1,885.20","1,904.00","1,933.00","1,883.15","1,885.50","1,891.70","1,910.94","24,61,262","4,70,33,21,963.35","1,02,002","6,20,292",25.2
SBIN,EQ,18-Oct-2011,"1,891.70","1,869.90","1,885.60","1,838.00","1,885.00","1,866.55","1,854.81","18,01,862","3,34,21,08,365.10","87,167","4,09,358",22.72
SBIN,EQ,19-Oct-2011,"1,866.55","1,887.95","1,923.50","1,886.05","1,909.25","1,918.35","1,909.77","15,55,536","2,97,07,22,345.80","78,909","2,98,928",19.22
