Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,05-Oct-2011,146.7,148.2,151.85,146.65,147.5,147.4,149.59,"88,80,985","1,32,84,98,974.65","68,838","18,02,172",20.29
TATAMOTORS,EQ,07-Oct-2011,147.4,153.05,160.35,153.05,158.05,159.15,157.44,"1,57,20,334","2,47,50,45,062.90","1,23,248","56,50,826",35.95
TATAMOTORS,EQ,10-Oct-2011,159.15,159.0,172.45,158.9,169.45,170.75,167.23,"2,02,24,167","3,38,21,47,988.80","1,72,718","63,89,475",31.59
TATAMOTORS,EQ,11-Oct-2011,170.75,172.7,177.95,171.35,175.25,176.75,175.27,"2,28,25,907","4,00,06,24,538.45","1,73,349","79,36,488",34.77
TATAMOTORS,EQ,12-Oct-2011,176.75,176.0,190.0,170.65,186.0,180.75,175.67,"2,71,38,893","4,76,73,77,858.20","1,65,946","1,10,79,640",40.83
TATAMOTORS,EQ,13-Oct-2011,180.75,183.4,186.2,174.75,175.0,175.85,180.01,"1,86,65,480","3,36,00,26,177.05","1,51,713","48,46,449",25.96
TATAMOTORS,EQ,14-Oct-2011,175.85,174.0,181.25,173.75,179.25,180.05,177.95,"1,48,81,631","2,64,82,52,576.00","1,26,378","28,24,011",18.98
TATAMOTORS,EQ,17-Oct-2011,180.05,183.0,191.2,183.0,188.0,188.1,187.27,"2,41,40,815","4,52,09,47,266.20","2,11,335","73,35,341",30.39
TATAMOTORS,EQ,18-Oct-2011,188.1,184.2,184.65,177.8,180.9,181.25,180.97,"1,50,25,771","2,71,92,23,346.65","1,35,228","39,29,385",26.15
TATAMOTORS,EQ,19-Oct-2011,181.25,183.9,188.25,183.9,186.0,186.95,186.51,"1,21,54,991","2,26,70,12,036.35","97,752","38,91,272",32.01
TATAMOTORS,EQ,20-Oct-2011,186.95,182.45,184.5,180.75,182.65,183.1,182.56,"1,36,18,769","2,48,62,48,564.05","87,940","53,37,816",39.19
TATAMOTORS,EQ,21-Oct-2011,183.1,184.8,185.6,177.15,178.0,178.15,181.28,"1,23,20,540","2,23,35,00,806.45","97,878","40,95,830",33.24
TATAMOTORS,EQ,24-Oct-2011,178.15,182.65,187.45,182.65,186.9,186.15,185.81,"1,29,22,015","2,40,09,78,391.15","1,19,714","49,88,414",38.6
TATAMOTORS,EQ,25-Oct-2011,186.15,188.0,193.4,184.8,192.5,191.8,188.75,"1,64,37,542","3,10,26,42,967.70","1,12,753","38,52,444",23.44
TATAMOTORS,EQ,26-Oct-2011,191.8,194.7,194.9,190.35,190.7,191.8,193.06,"42,30,172","81,66,67,594.00","37,998","10,85,349",25.66
TATAMOTORS,EQ,28-Oct-2011,191.8,197.75,208.0,197.25,206.5,206.8,204.74,"1,78,70,744","3,65,87,73,095.10","1,53,071","89,09,823",49.86
TATAMOTORS,EQ,31-Oct-2011,206.8,205.5,205.5,197.75,198.6,198.45,199.6,"1,32,94,873","2,65,36,09,847.55","1,26,880","58,49,255",44.0
TATAMOTORS,EQ,01-Nov-2011,198.45,195.1,202.45,191.8,193.6,193.45,197.15,"2,04,81,549","4,03,79,09,545.50","1,79,558","60,32,598",29.45
TATAMOTORS,EQ,02-Nov-2011,193.45,190.3,196.9,188.1,191.55,192.1,192.68,"2,30,17,915","4,43,50,51,726.80","1,52,985","68,74,295",29.86
TATAMOTORS,EQ,03-Nov-2011,192.1,191.0,192.25,185.4,188.85,188.7,189.01,"2,17,86,359","4,11,79,17,476.35","1,41,116","71,49,695",32.82
TATAMOTORS,EQ,04-Nov-2011,188.7,193.5,193.7,185.75,187.9,188.1,189.57,"1,79,79,945","3,40,84,41,715.40","1,35,033","61,19,999",34.04
TATAMOTORS,EQ,08-Nov-2011,188.1,189.5,190.7,185.25,189.3,189.7,188.06,"1,22,37,849","2,30,13,99,081.25","1,09,604","18,55,096",15.16
TATAMOTORS,EQ,09-Nov-2011,189.7,191.4,191.95,183.8,184.4,184.75,188.91,"1,38,99,966","2,62,58,65,771.70","1,07,250","48,79,431",35.1
TATAMOTORS,EQ,11-Nov-2011,184.75,184.05,188.15,180.5,182.0,181.45,183.57,"1,85,15,572","3,39,89,26,480.05","1,49,096","50,79,618",27.43
TATAMOTORS,EQ,14-Nov-2011,181.45,184.05,185.5,176.15,176.3,177.8,180.9,"1,57,67,673","2,85,24,05,269.25","1,35,218","42,15,305",26.73
TATAMOTORS,EQ,15-Nov-2011,177.8,173.75,184.5,171.9,181.6,181.25,180.59,"2,22,58,057","4,01,95,56,896.95","1,73,965","45,50,810",20.45
TATAMOTORS,EQ,16-Nov-2011,181.25,182.0,183.8,177.75,183.7,182.3,181.11,"1,65,32,913","2,99,42,18,716.95","1,18,794","32,35,965",19.57
TATAMOTORS,EQ,17-Nov-2011,182.3,182.0,183.0,173.8,174.8,175.15,178.59,"1,25,83,654","2,24,72,69,863.50","97,922","31,39,041",24.95
TATAMOTORS,EQ,18-Nov-2011,175.15,172.0,172.0,166.95,171.0,170.3,169.59,"1,28,86,140","2,18,54,07,482.95","1,08,422","28,73,610",22.3
TATAMOTORS,EQ,21-Nov-2011,170.3,169.25,169.25,160.15,162.2,161.55,164.26,"1,34,49,115","2,20,92,13,587.95","1,24,993","43,04,547",32.01
TATAMOTORS,EQ,22-Nov-2011,161.55,163.0,175.2,163.0,173.5,172.45,170.32,"2,37,23,293","4,04,06,22,960.55","2,08,500","85,20,314",35.92
TATAMOTORS,EQ,23-Nov-2011,172.45,170.0,171.15,165.55,168.2,168.35,168.4,"1,40,98,973","2,37,42,02,313.20","1,19,420","35,07,907",24.88
TATAMOTORS,EQ,24-Nov-2011,168.35,166.9,174.95,164.15,172.8,173.05,169.15,"1,94,30,798","3,28,67,76,874.90","1,22,223","45,86,716",23.61
TATAMOTORS,EQ,25-Nov-2011,173.05,169.55,179.8,169.55,170.4,171.85,174.9,"1,99,26,544","3,48,51,21,831.75","1,55,442","65,26,707",32.75
TATAMOTORS,EQ,28-Nov-2011,171.85,174.5,182.95,173.85,182.0,181.85,179.12,"1,53,20,998","2,74,43,33,950.55","1,19,260","50,41,084",32.9
TATAMOTORS,EQ,29-Nov-2011,181.85,180.85,181.8,175.7,176.7,177.45,178.88,"1,32,79,285","2,37,53,50,618.50","1,08,329","43,94,035",33.09
TATAMOTORS,EQ,30-Nov-2011,177.45,174.5,176.4,169.55,173.15,172.8,173.43,"1,50,58,198","2,61,15,14,747.00","1,16,806","45,94,430",30.51
TATAMOTORS,EQ,01-Dec-2011,172.8,181.0,185.45,180.9,182.65,183.0,183.46,"1,64,80,698","3,02,36,28,095.25","1,38,575","62,71,204",38.05
TATAMOTORS,EQ,02-Dec-2011,183.0,182.0,192.75,181.75,191.8,191.9,188.65,"1,57,46,236","2,97,04,79,200.10","1,45,056","40,73,184",25.87
TATAMOTORS,EQ,05-Dec-2011,191.9,190.85,194.6,189.2,191.35,191.6,191.75,"1,14,28,494","2,19,13,95,576.50","1,29,363","25,05,822",21.93
TATAMOTORS,EQ,07-Dec-2011,191.6,191.0,195.75,190.0,190.25,191.4,193.51,"1,24,25,124","2,40,43,25,000.30","1,38,962","49,24,477",39.63
TATAMOTORS,EQ,08-Dec-2011,191.4,190.25,191.5,185.85,185.9,188.55,188.1,"1,21,45,504","2,28,45,64,590.10","1,42,190","40,81,201",33.6
TATAMOTORS,EQ,09-Dec-2011,188.55,183.7,185.7,180.1,182.75,183.0,183.23,"1,48,71,345","2,72,48,09,239.95","1,32,654","41,88,818",28.17
TATAMOTORS,EQ,12-Dec-2011,183.0,187.05,187.8,176.2,177.9,177.35,181.27,"1,44,03,325","2,61,08,45,382.05","1,16,407","42,72,639",29.66
TATAMOTORS,EQ,13-Dec-2011,177.35,174.5,182.35,174.25,179.7,178.9,178.97,"1,42,81,985","2,55,59,79,500.45","1,25,987","29,96,033",20.98
TATAMOTORS,EQ,14-Dec-2011,178.9,176.85,181.7,176.2,177.0,177.1,179.14,"1,44,96,036","2,59,68,78,624.80","1,08,002","40,53,715",27.96
TATAMOTORS,EQ,15-Dec-2011,177.1,175.0,176.0,167.5,172.8,172.65,172.33,"1,80,77,891","3,11,53,74,326.75","1,37,476","45,88,154",25.38
TATAMOTORS,EQ,16-Dec-2011,172.65,175.4,179.75,170.3,171.85,172.4,176.41,"1,59,19,535","2,80,84,41,169.35","1,30,376","44,28,442",27.82
TATAMOTORS,EQ,19-Dec-2011,172.4,172.0,180.3,169.25,180.0,179.8,175.51,"2,05,13,550","3,60,04,33,474.60","1,34,972","79,12,390",38.57
TATAMOTORS,EQ,20-Dec-2011,179.8,180.0,180.75,173.85,174.65,174.9,176.28,"1,45,68,217","2,56,81,50,836.50","97,690","43,45,002",29.83
TATAMOTORS,EQ,21-Dec-2011,174.9,179.75,181.9,174.7,176.9,177.0,178.3,"2,10,77,155","3,75,79,87,284.00","1,26,612","86,66,209",41.12
TATAMOTORS,EQ,22-Dec-2011,177.0,175.0,184.45,173.5,184.1,183.6,179.19,"1,23,23,905","2,20,83,75,117.20","1,00,752","32,42,801",26.31
TATAMOTORS,EQ,23-Dec-2011,183.6,184.9,187.35,182.7,185.05,184.95,185.24,"1,05,93,162","1,96,22,24,541.80","1,02,654","30,69,584",28.98
TATAMOTORS,EQ,26-Dec-2011,184.95,186.0,188.65,185.1,186.3,186.75,187.15,"70,97,843","1,32,83,48,940.95","58,422","23,14,856",32.61
TATAMOTORS,EQ,27-Dec-2011,186.75,186.0,186.4,180.85,182.35,182.1,183.41,"61,99,700","1,13,70,91,689.40","54,721","14,22,600",22.95
TATAMOTORS,EQ,28-Dec-2011,182.1,181.0,183.5,178.85,179.6,180.2,181.09,"87,77,190","1,58,94,70,493.85","66,230","29,17,794",33.24
