Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
TATAMOTORS,EQ,06-Oct-2022,407.9,409.6,417.65,409.5,413.4,414.1,414.77,"1,27,71,199","5,29,70,81,398.40","1,59,765","34,12,533",26.72
TATAMOTORS,EQ,07-Oct-2022,414.1,413.4,414.0,408.7,413.0,412.15,411.67,"1,06,70,854","4,39,28,89,228.65","1,17,622","20,60,289",19.31
TATAMOTORS,EQ,10-Oct-2022,412.15,403.4,403.4,393.05,396.55,395.95,396.05,"3,29,14,630","13,03,58,76,368.35","3,83,835","1,22,62,312",37.25
TATAMOTORS,EQ,11-Oct-2022,395.95,397.0,399.5,391.3,391.75,393.35,396.08,"1,46,41,301","5,79,90,93,652.85","1,87,285","36,77,800",25.12
TATAMOTORS,EQ,12-Oct-2022,393.35,394.55,398.2,391.1,396.75,396.55,394.96,"1,42,87,344","5,64,29,49,988.45","1,70,299","30,02,072",21.01
TATAMOTORS,EQ,13-Oct-2022,396.55,396.55,403.5,394.55,399.0,399.0,398.2,"1,25,84,114","5,01,10,16,732.50","1,42,183","36,24,102",28.80
TATAMOTORS,EQ,14-Oct-2022,399.0,407.0,409.2,395.3,396.25,396.25,401.55,"1,28,75,470","5,17,01,99,321.75","1,35,477","26,34,822",20.46
TATAMOTORS,EQ,17-Oct-2022,396.25,394.0,398.9,392.5,397.0,396.1,395.78,"95,43,556","3,77,71,15,166.75","1,15,112","22,34,989",23.42
TATAMOTORS,EQ,18-Oct-2022,396.1,401.0,406.7,400.7,404.55,404.25,403.83,"1,42,15,544","5,74,06,13,453.25","1,33,571","53,72,096",37.79
TATAMOTORS,EQ,19-Oct-2022,404.25,406.2,406.95,397.3,398.65,399.05,402.39,"86,48,435","3,48,00,82,846.90","91,985","27,79,381",32.14
TATAMOTORS,EQ,20-Oct-2022,399.05,397.0,399.9,393.1,397.9,398.1,396.74,"1,07,47,183","4,26,38,36,335.25","1,23,832","32,85,034",30.57
TATAMOTORS,EQ,21-Oct-2022,398.1,397.0,402.25,394.7,398.2,398.05,399.01,"1,02,79,618","4,10,16,87,458.65","1,17,448","24,93,105",24.25
TATAMOTORS,EQ,24-Oct-2022,398.05,406.0,406.0,400.15,402.3,401.6,402.04,"28,71,205","1,15,43,37,705.80","71,959","13,08,292",45.57
TATAMOTORS,EQ,25-Oct-2022,401.6,404.35,410.5,403.2,404.2,404.55,407.01,"1,79,79,661","7,31,78,16,836.80","1,76,905","62,33,795",34.67
TATAMOTORS,EQ,27-Oct-2022,404.55,408.55,411.7,404.0,408.0,407.7,408.11,"1,46,14,841","5,96,45,01,519.15","1,38,789","52,90,463",36.20
TATAMOTORS,EQ,28-Oct-2022,407.7,408.0,411.2,406.1,410.2,409.9,408.99,"1,24,88,938","5,10,77,91,578.55","1,07,978","29,56,142",23.67
TATAMOTORS,EQ,31-Oct-2022,409.9,414.35,416.3,411.6,412.15,412.75,413.11,"99,28,218","4,10,14,31,170.45","1,15,652","37,45,548",37.73
TATAMOTORS,EQ,01-Nov-2022,412.75,414.9,422.4,412.8,421.0,421.35,417.98,"1,73,24,893","7,24,15,35,370.85","1,65,150","60,52,576",34.94
TATAMOTORS,EQ,02-Nov-2022,421.35,423.05,425.1,420.15,422.6,422.15,422.26,"1,24,33,578","5,25,02,37,518.95","96,473","49,24,895",39.61
TATAMOTORS,EQ,03-Nov-2022,422.15,419.4,423.3,414.5,416.3,416.25,417.83,"1,09,87,519","4,59,09,42,130.10","1,06,482","31,41,578",28.59
TATAMOTORS,EQ,04-Nov-2022,416.25,418.2,426.0,416.9,424.9,425.35,422.73,"1,22,77,023","5,18,99,08,108.45","1,16,431","43,98,001",35.82
TATAMOTORS,EQ,07-Nov-2022,425.35,428.25,437.5,428.25,435.0,435.0,432.99,"1,50,58,076","6,52,00,25,232.95","1,42,616","48,72,207",32.36
TATAMOTORS,EQ,09-Nov-2022,435.0,439.2,441.2,432.0,433.1,433.15,436.28,"1,44,71,443","6,31,35,75,496.40","1,52,615","44,16,834",30.52
TATAMOTORS,EQ,10-Nov-2022,433.15,420.5,420.55,409.2,413.2,412.2,413.57,"2,62,51,660","10,85,69,86,374.85","3,26,473","98,99,540",37.71
TATAMOTORS,EQ,11-Nov-2022,412.2,420.0,425.5,414.7,423.0,423.5,420.82,"1,92,96,401","8,12,02,15,752.15","1,93,066","62,41,304",32.34
TATAMOTORS,EQ,14-Nov-2022,423.5,424.0,437.7,423.5,433.5,433.7,433.93,"1,79,96,083","7,80,90,03,764.25","1,80,908","64,44,449",35.81
TATAMOTORS,EQ,15-Nov-2022,433.7,434.9,438.5,434.1,436.35,437.15,437.01,"1,06,96,024","4,67,42,53,814.35","1,14,853","37,36,864",34.94
TATAMOTORS,EQ,16-Nov-2022,437.15,436.95,438.2,429.6,431.0,431.55,433.56,"82,06,169","3,55,78,29,752.10","95,936","31,34,843",38.20
TATAMOTORS,EQ,17-Nov-2022,431.55,422.0,427.55,419.6,422.9,423.15,423.35,"1,56,21,809","6,61,34,36,881.35","1,51,500","60,70,329",38.86
TATAMOTORS,EQ,18-Nov-2022,423.15,424.0,426.45,421.15,424.0,423.8,423.98,"98,51,962","4,17,70,71,481.85","89,517","38,82,494",39.41
TATAMOTORS,EQ,21-Nov-2022,423.8,425.6,427.6,420.0,420.3,421.1,422.76,"94,97,812","4,01,52,52,994.35","1,06,019","37,40,496",39.38
TATAMOTORS,EQ,22-Nov-2022,421.1,421.0,426.4,420.5,424.5,424.7,423.77,"64,07,614","2,71,53,85,156.60","78,377","19,89,582",31.05
TATAMOTORS,EQ,23-Nov-2022,424.7,426.85,429.3,422.85,423.95,424.05,426.79,"65,68,241","2,80,32,70,110.65","76,429","20,90,089",31.82
TATAMOTORS,EQ,24-Nov-2022,424.05,424.5,425.25,420.7,423.9,423.4,422.83,"67,68,613","2,86,19,40,712.20","84,532","28,89,931",42.70
TATAMOTORS,EQ,25-Nov-2022,423.4,425.0,435.15,424.0,434.45,433.2,430.81,"1,87,64,073","8,08,36,92,097.40","1,35,643","86,96,922",46.35
TATAMOTORS,EQ,28-Nov-2022,433.2,435.0,440.35,432.4,432.55,433.25,435.82,"1,07,01,208","4,66,38,39,319.80","1,30,866","34,86,448",32.58
TATAMOTORS,EQ,29-Nov-2022,433.25,432.5,437.9,429.55,432.65,433.15,433.87,"86,30,105","3,74,43,70,418.00","1,11,063","26,59,012",30.81
TATAMOTORS,EQ,30-Nov-2022,433.15,435.0,441.0,433.3,439.3,439.4,438.08,"1,47,27,892","6,45,19,37,620.05","1,37,741","73,07,939",49.62
TATAMOTORS,EQ,01-Dec-2022,439.4,443.0,443.6,436.85,438.0,438.25,439.68,"89,09,310","3,91,72,75,338.45","1,06,368","33,88,815",38.04
TATAMOTORS,EQ,02-Dec-2022,438.25,439.0,441.15,435.0,435.5,435.4,437.03,"83,52,658","3,65,03,49,373.60","1,03,291","34,84,977",41.72
TATAMOTORS,EQ,05-Dec-2022,435.4,435.5,437.5,427.8,429.1,428.75,430.4,"1,28,57,807","5,53,40,33,838.00","1,50,850","69,38,199",53.96
TATAMOTORS,EQ,06-Dec-2022,428.75,428.8,431.35,425.35,426.85,427.1,428.11,"84,61,831","3,62,26,08,721.05","1,03,055","30,39,144",35.92
TATAMOTORS,EQ,07-Dec-2022,427.1,428.0,428.0,419.1,419.9,420.1,421.61,"1,21,33,315","5,11,55,38,619.55","1,85,117","48,24,179",39.76
TATAMOTORS,EQ,08-Dec-2022,420.1,421.0,421.4,415.35,418.0,417.2,418.3,"95,39,923","3,99,05,28,249.30","1,09,940","38,82,273",40.70
TATAMOTORS,EQ,09-Dec-2022,417.2,419.3,420.95,409.55,413.2,413.3,414.81,"99,20,219","4,11,50,39,075.55","1,31,596","40,53,560",40.86
TATAMOTORS,EQ,12-Dec-2022,413.3,412.0,416.9,408.0,414.4,414.15,413.94,"80,09,229","3,31,53,24,830.00","99,429","29,16,041",36.41
TATAMOTORS,EQ,13-Dec-2022,414.15,419.95,421.5,417.25,418.5,418.5,418.97,"97,17,894","4,07,14,75,685.65","1,61,902","38,10,736",39.21
TATAMOTORS,EQ,14-Dec-2022,418.5,420.55,421.35,417.35,418.35,417.9,418.94,"63,14,883","2,64,55,61,123.20","68,884","31,77,823",50.32
TATAMOTORS,EQ,15-Dec-2022,417.9,418.85,422.8,415.7,416.7,416.7,419.33,"75,42,601","3,16,28,33,598.00","87,483","24,24,083",32.14
TATAMOTORS,EQ,16-Dec-2022,416.7,417.35,427.8,413.1,422.6,421.6,420.49,"5,09,49,198","21,42,35,14,687.05","1,87,172","3,15,69,820",61.96
TATAMOTORS,EQ,19-Dec-2022,421.6,421.9,422.85,415.5,418.05,418.0,418.14,"98,09,103","4,10,16,08,096.90","1,17,803","33,74,002",34.40
TATAMOTORS,EQ,20-Dec-2022,418.0,418.0,418.0,408.0,409.95,410.5,410.96,"1,23,41,042","5,07,16,47,700.85","2,34,187","44,90,579",36.39
TATAMOTORS,EQ,21-Dec-2022,410.5,412.6,414.4,401.0,402.15,402.6,407.27,"1,16,06,059","4,72,68,14,262.45","1,53,187","42,32,672",36.47
TATAMOTORS,EQ,22-Dec-2022,402.6,404.1,404.7,390.2,394.7,394.45,395.24,"1,49,08,929","5,89,26,30,005.75","2,54,243","49,38,865",33.13
TATAMOTORS,EQ,23-Dec-2022,394.45,390.0,390.0,377.0,378.5,378.35,381.94,"1,99,02,886","7,60,16,62,665.90","3,46,083","78,17,059",39.28
TATAMOTORS,EQ,26-Dec-2022,378.35,380.25,390.7,375.2,385.5,384.8,385.1,"1,69,79,026","6,53,86,30,886.55","2,43,760","53,05,213",31.25
TATAMOTORS,EQ,27-Dec-2022,384.8,390.0,397.45,388.5,395.1,394.15,393.86,"1,43,72,461","5,66,07,08,159.70","1,89,040","27,09,262",18.85
TATAMOTORS,EQ,28-Dec-2022,394.15,394.0,395.9,390.4,390.75,391.3,392.83,"84,43,917","3,31,70,09,457.40","1,53,216","27,95,348",33.10
TATAMOTORS,EQ,29-Dec-2022,391.3,389.0,390.0,383.05,386.5,385.9,385.43,"1,56,27,403","6,02,32,03,992.15","2,39,147","67,04,995",42.91
TATAMOTORS,EQ,30-Dec-2022,385.9,391.0,392.2,387.0,388.0,387.95,389.76,"91,98,673","3,58,52,67,095.30","1,32,690","27,24,897",29.62
TATAMOTORS,EQ,02-Jan-2023,387.95,392.5,396.0,391.0,395.0,394.8,394.17,"1,05,01,357","4,13,93,54,568.30","1,42,685","30,93,993",29.46
TATAMOTORS,EQ,03-Jan-2023,394.8,396.0,398.35,393.0,393.9,393.9,395.21,"94,31,220","3,72,72,87,418.50","1,33,270","30,54,642",32.39
TATAMOTORS,EQ,04-Jan-2023,393.9,394.8,394.8,385.0,385.75,385.6,387.3,"1,61,21,049","6,24,36,66,263.20","1,72,074","81,86,814",50.78
TATAMOTORS,EQ,05-Jan-2023,385.6,387.9,388.75,382.5,387.0,386.9,386.13,"1,04,43,908","4,03,26,91,650.75","1,30,918","42,50,557",40.70
TATAMOTORS,EQ,06-Jan-2023,386.9,386.1,388.4,381.0,382.05,382.0,384.04,"87,15,469","3,34,71,21,640.85","1,47,467","37,87,825",43.46
TATAMOTORS,EQ,09-Jan-2023,382.0,386.35,392.7,385.0,388.95,389.45,389.87,"1,46,93,099","5,72,84,45,417.50","1,67,573","71,69,022",48.79
TATAMOTORS,EQ,10-Jan-2023,389.45,400.0,417.75,400.0,412.5,412.9,411.86,"5,40,21,379","22,24,94,91,445.35","4,67,152","1,51,27,215",28.00
TATAMOTORS,EQ,11-Jan-2023,412.9,415.75,420.0,413.55,417.2,418.2,417.61,"2,22,24,361","9,28,10,97,362.10","2,20,634","95,60,380",43.02
