Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
VEDL,EQ,05-Oct-2016,187.0,188.3,193.0,188.1,190.7,191.7,190.85,"1,54,49,272","2,94,85,21,694.55","94,628","20,93,424",13.55
VEDL,EQ,06-Oct-2016,191.7,192.0,201.4,190.4,197.9,197.5,196.54,"2,56,79,205","5,04,70,09,710.85","1,37,729","72,90,484",28.39
VEDL,EQ,07-Oct-2016,197.5,197.05,198.15,192.75,194.55,194.85,194.57,"1,68,20,206","3,27,26,31,510.65","73,885","63,96,301",38.03
VEDL,EQ,10-Oct-2016,194.85,198.0,201.7,196.8,199.75,199.55,199.88,"1,33,83,535","2,67,51,35,554.80","67,059","31,42,378",23.48
VEDL,EQ,13-Oct-2016,199.55,197.9,199.35,192.4,194.6,196.0,195.77,"1,22,12,482","2,39,08,32,879.40","66,441","33,99,149",27.83
VEDL,EQ,14-Oct-2016,196.0,195.7,197.7,192.8,195.25,195.7,195.13,"81,06,335","1,58,18,12,068.75","62,863","14,15,640",17.46
VEDL,EQ,17-Oct-2016,195.7,194.0,198.0,191.2,193.2,193.0,194.76,"87,20,756","1,69,84,81,506.40","44,977","13,52,246",15.51
VEDL,EQ,18-Oct-2016,193.0,195.0,196.8,192.45,196.2,196.4,195.13,"1,03,08,987","2,01,15,62,377.55","52,595","27,15,120",26.34
VEDL,EQ,19-Oct-2016,196.4,197.5,200.9,196.25,198.05,198.5,198.72,"1,00,03,851","1,98,79,99,753.40","49,731","22,31,653",22.31
VEDL,EQ,20-Oct-2016,198.5,200.1,208.55,199.5,208.05,207.6,205.12,"1,57,49,425","3,23,05,28,718.05","90,373","35,07,536",22.27
VEDL,EQ,21-Oct-2016,207.6,207.4,207.4,202.05,203.1,203.1,203.76,"98,03,842","1,99,76,58,729.10","51,373","23,99,839",24.48
VEDL,EQ,24-Oct-2016,203.1,203.5,205.85,201.6,202.3,202.35,203.45,"70,33,038","1,43,08,71,717.10","38,002","15,48,872",22.02
VEDL,EQ,25-Oct-2016,202.35,202.3,204.7,197.9,203.9,203.95,202.02,"94,53,365","1,90,97,70,807.90","54,920","17,46,786",18.48
VEDL,EQ,26-Oct-2016,203.95,202.1,205.65,199.2,201.3,201.4,203.25,"79,07,499","1,60,72,30,551.25","44,823","20,73,421",26.22
VEDL,EQ,27-Oct-2016,201.4,201.0,202.5,199.0,199.75,199.65,200.14,"1,13,24,369","2,26,64,51,301.85","37,767","60,26,061",53.21
VEDL,EQ,28-Oct-2016,199.65,200.65,204.0,198.6,202.5,202.6,202.42,"1,41,16,778","2,85,74,78,901.85","65,596","32,76,439",23.21
VEDL,EQ,30-Oct-2016,202.6,203.7,203.8,201.65,201.9,202.55,202.93,"6,97,401","14,15,25,364.80","4,390","2,07,060",29.69
VEDL,EQ,01-Nov-2016,202.55,204.95,223.3,202.55,220.25,219.8,217.16,"3,22,88,788","7,01,17,57,791.70","1,81,626","56,20,202",17.41
VEDL,EQ,02-Nov-2016,219.8,215.0,222.25,214.6,218.9,218.25,219.24,"1,84,35,282","4,04,17,68,358.05","1,13,911","35,77,192",19.4
VEDL,EQ,03-Nov-2016,218.25,217.0,225.9,216.3,218.6,217.8,221.61,"1,66,36,090","3,68,66,79,283.80","96,579","22,64,781",13.61
VEDL,EQ,04-Nov-2016,217.8,219.8,222.2,207.35,212.9,212.75,212.81,"1,68,62,503","3,58,84,38,243.70","94,242","17,58,408",10.43
VEDL,EQ,07-Nov-2016,212.75,217.2,219.85,213.85,214.95,215.75,216.36,"1,05,99,203","2,29,32,32,391.15","65,945","21,73,905",20.51
VEDL,EQ,08-Nov-2016,215.75,217.45,222.5,215.4,220.25,219.85,219.47,"1,30,20,745","2,85,75,98,716.45","75,948","20,59,248",15.82
VEDL,EQ,09-Nov-2016,219.85,205.2,218.85,197.9,217.75,217.65,209.42,"1,86,15,639","3,89,84,52,890.65","82,548","30,29,252",16.27
VEDL,EQ,10-Nov-2016,217.65,224.05,233.7,223.05,229.6,229.3,229.67,"2,25,74,275","5,18,47,10,637.95","1,08,653","72,58,606",32.15
VEDL,EQ,11-Nov-2016,229.3,226.0,233.5,224.35,230.8,229.8,229.93,"1,73,52,156","3,98,97,38,823.65","92,977","60,25,564",34.73
VEDL,EQ,15-Nov-2016,229.8,226.25,229.8,207.9,209.75,209.55,217.81,"1,98,01,557","4,31,29,16,505.85","1,05,054","67,25,689",33.97
VEDL,EQ,16-Nov-2016,209.55,215.55,216.0,205.05,205.75,206.7,209.33,"1,33,57,862","2,79,62,21,229.85","94,708","41,20,703",30.85
VEDL,EQ,17-Nov-2016,206.7,207.1,218.0,204.9,213.9,213.9,212.95,"1,82,14,596","3,87,87,08,281.40","1,21,514","55,43,465",30.43
VEDL,EQ,18-Nov-2016,213.9,214.2,214.8,201.8,203.9,203.35,206.34,"1,34,08,155","2,76,66,77,345.00","93,035","33,49,689",24.98
VEDL,EQ,21-Nov-2016,203.35,204.1,207.9,192.2,197.5,196.75,199.29,"1,60,42,584","3,19,72,02,699.40","82,827","18,89,784",11.78
VEDL,EQ,22-Nov-2016,196.75,201.0,208.15,200.4,207.95,206.9,204.09,"1,27,53,933","2,60,29,30,538.70","77,352","23,41,767",18.36
VEDL,EQ,23-Nov-2016,206.9,210.6,217.9,208.5,217.0,216.8,214.89,"1,81,28,303","3,89,55,92,831.10","1,04,460","29,21,939",16.12
VEDL,EQ,24-Nov-2016,216.8,217.0,223.85,215.25,221.0,221.8,220.28,"2,17,24,842","4,78,56,47,780.00","1,18,410","40,37,848",18.59
VEDL,EQ,25-Nov-2016,221.8,223.7,228.5,219.8,223.5,223.25,224.73,"1,69,72,449","3,81,41,73,156.45","1,30,688","39,04,975",23.01
VEDL,EQ,28-Nov-2016,223.25,223.5,229.9,219.8,229.75,228.6,225.59,"1,43,42,100","3,23,54,67,575.90","93,290","27,72,667",19.33
