Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VEDL,EQ,05-Oct-2018,239.40,237.0,241.5,226.1,229.7,231.65,233.02,"1,71,75,345","4,00,21,66,409.90","1,12,432","52,20,296",30.39
VEDL,EQ,08-Oct-2018,231.65,227.0,228.25,198.25,207.3,206.75,212.81,"3,72,93,316","7,93,64,94,048.40","2,10,227","97,31,266",26.09
VEDL,EQ,09-Oct-2018,206.75,208.0,216.5,204.05,212.15,212.1,211.43,"1,78,69,475","3,77,81,65,449.45","1,29,988","32,56,661",18.22
VEDL,EQ,10-Oct-2018,212.10,213.3,220.65,213.25,218.05,218.15,217.95,"1,27,74,692","2,78,42,21,310.10","1,08,301","49,69,622",38.9
VEDL,EQ,11-Oct-2018,218.15,208.15,217.75,200.0,208.75,207.9,210.7,"1,64,24,058","3,46,05,11,366.80","1,65,929","49,81,717",30.33
VEDL,EQ,12-Oct-2018,207.90,210.5,216.6,210.4,214.5,214.3,214.06,"1,16,97,753","2,50,40,43,561.45","99,923","46,44,848",39.71
VEDL,EQ,15-Oct-2018,214.30,216.9,216.9,208.65,211.0,210.6,211.87,"1,40,22,679","2,97,09,78,853.00","96,846","64,60,365",46.07
VEDL,EQ,16-Oct-2018,210.60,212.0,214.8,211.5,212.4,212.45,212.99,"54,05,111","1,15,12,24,170.50","42,355","9,66,896",17.89
VEDL,EQ,17-Oct-2018,212.45,215.4,216.45,206.65,208.7,207.95,210.98,"85,86,330","1,81,15,11,350.35","73,096","25,81,735",30.07
VEDL,EQ,19-Oct-2018,207.95,206.45,214.2,199.75,212.7,211.1,208.12,"1,99,58,162","4,15,37,10,392.55","1,38,715","69,98,282",35.06
VEDL,EQ,22-Oct-2018,211.10,213.05,219.25,207.85,212.9,213.55,214.22,"1,37,66,095","2,94,89,64,204.95","89,209","38,60,359",28.04
VEDL,EQ,23-Oct-2018,213.55,211.8,216.25,207.6,210.4,210.35,212.22,"1,21,00,077","2,56,78,99,727.25","73,625","43,93,854",36.31
VEDL,EQ,24-Oct-2018,210.35,212.2,214.0,208.3,213.05,211.9,211.38,"83,65,420","1,76,82,85,257.15","77,470","21,24,040",25.39
VEDL,EQ,25-Oct-2018,211.90,208.6,209.6,201.6,204.55,204.6,205.05,"2,13,49,045","4,37,75,72,978.45","1,05,774","1,22,27,445",57.27
VEDL,EQ,26-Oct-2018,204.60,204.85,207.45,199.0,203.75,203.65,203.41,"1,20,26,230","2,44,62,30,631.10","83,369","19,33,425",16.08
VEDL,EQ,29-Oct-2018,203.65,207.05,212.5,203.85,211.2,211.4,207.73,"1,08,70,728","2,25,81,67,979.90","71,746","37,29,539",34.31
VEDL,EQ,30-Oct-2018,211.40,212.6,216.4,210.0,211.45,211.2,212.8,"1,05,00,891","2,23,46,32,611.10","81,635","19,16,410",18.25
VEDL,EQ,31-Oct-2018,211.20,211.45,213.85,207.0,210.55,211.15,209.85,"1,07,31,974","2,25,20,84,616.95","82,112","25,61,681",23.87
VEDL,EQ,01-Nov-2018,211.15,213.0,215.4,208.0,213.4,212.8,212.66,"1,72,81,051","3,67,49,02,375.65","89,419","59,90,076",34.66
