Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
,,,,,,,,,,,,,,
ONGC,EQ,6-Oct-23,182.2,183.5,184,181,181.5,181.45,182.72,"1,11,28,340","2,03,33,17,359.50","1,09,763","56,61,908",50.88
ONGC,EQ,9-Oct-23,181.45,182.9,183.5,180.6,182.2,181.7,181.34,"57,59,904","1,04,44,88,134.25","1,24,089","29,12,226",50.56
ONGC,EQ,10-Oct-23,181.7,182.3,184.7,181.25,183.35,183.5,182.73,"1,46,22,727","2,67,19,44,238.75","1,01,416","60,87,759",41.63
ONGC,EQ,11-Oct-23,183.5,184.4,184.5,182.05,183,183.25,183.73,"1,18,19,690","2,17,16,22,339.45","1,09,876","75,51,771",63.89
ONGC,EQ,12-Oct-23,183.25,183.2,184.7,182.75,184.4,184.45,183.66,"84,99,601","1,56,10,23,756.55","67,354","53,27,152",62.68
ONGC,EQ,13-Oct-23,184.45,184.5,184.85,183,185.15,184.9,184.06,"86,77,885","1,59,72,08,563.60","82,027","49,82,577",57.42
ONGC,EQ,16-Oct-23,184.9,187.95,186.25,184.05,186.5,186.55,185.23,"74,35,899","1,37,73,84,591.15","66,822","33,45,589",44.99
ONGC,EQ,17-Oct-23,186.55,187,188.2,186.25,186,186.25,187.13,"1,23,76,549","2,31,60,42,723.15","90,799","66,00,084",53.33
ONGC,EQ,18-Oct-23,186.25,188,187.05,185.55,186.85,186.95,186.28,"43,81,065","81,61,18,344.60","41,219","22,62,187",51.64
ONGC,EQ,19-Oct-23,186.95,186,188.05,186.05,186,186.3,187.03,"1,01,81,113","1,90,41,69,871.35","75,568","67,70,056",66.5
ONGC,EQ,20-Oct-23,186.3,187,186.65,185.05,186,186.2,186.04,"91,48,124","1,70,19,42,157.45","87,017","53,52,011",58.5
ONGC,EQ,23-Oct-23,186.2,185.95,187.3,185.15,184.5,184.85,186.35,"79,12,216","1,47,44,47,366.35","62,874","55,10,127",69.64
ONGC,EQ,25-Oct-23,184.85,184.85,185.95,184.2,183.3,184.35,185.28,"47,23,090","87,50,82,480.80","63,248","29,83,309",63.16
ONGC,EQ,26-Oct-23,184.35,183.5,185.85,183,180,180.9,184.56,"68,12,004","1,25,72,02,178.90","76,088","36,76,243",53.97
ONGC,EQ,27-Oct-23,180.9,181,184.15,179.9,185,184.75,181.78,"84,74,867","1,54,05,31,681.45","86,477","39,96,076",47.15
ONGC,EQ,30-Oct-23,184.75,185,185.8,180.3,188.75,188.8,183.26,"64,22,123","1,17,69,23,496.30","49,573","43,48,147",67.71
ONGC,EQ,31-Oct-23,188.8,189.2,189.2,184.6,185.95,186.15,187.01,"73,52,638","1,37,50,13,668.20","65,978","35,63,642",48.47
ONGC,EQ,1-Nov-23,186.15,186.15,189.8,184.2,186.25,186.7,186.27,"94,04,675","1,75,17,95,794.85","69,695","54,17,547",57.6
ONGC,EQ,2-Nov-23,186.7,187,188.8,185.05,186.4,186.2,187.06,"91,67,869","1,71,49,10,066.40","64,415","60,79,328",66.31
ONGC,EQ,3-Nov-23,186.2,186.65,187.65,185.75,189.8,190,186.52,"1,14,71,209","2,13,96,20,051.30","67,072","79,44,060",69.25
ONGC,EQ,6-Nov-23,190,190.2,190.65,185.8,193.25,193.3,189.03,"74,64,912","1,41,10,61,426.00","64,988","39,20,537",52.52
ONGC,EQ,7-Nov-23,193.3,193.4,194.2,189.55,193.5,193.2,192.11,"89,62,124","1,72,17,06,134.45","80,191","45,79,008",51.09
ONGC,EQ,8-Nov-23,193.2,193.7,198,192.35,195.35,195.35,195.57,"1,39,21,916","2,72,26,67,396.40","1,10,871","54,20,276",38.93
ONGC,EQ,9-Nov-23,195.35,196.5,196.55,192.3,192.55,192.7,194.98,"1,01,86,886","1,98,61,92,584.45","77,872","56,81,045",55.77
ONGC,EQ,10-Nov-23,192.7,192.7,196.7,192.2,195.9,195.9,193.79,"53,03,833","1,02,78,22,922.10","68,085","21,99,734",41.47
ONGC,EQ,12-Nov-23,195.9,198.8,196.5,192.7,196.7,196.75,194.97,"60,25,889","1,17,48,45,338.40","69,971","22,39,577",37.17
ONGC,EQ,13-Nov-23,196.75,195.9,198.8,195.9,195.65,195.8,197.47,"29,88,611","59,01,46,129.55","31,125","15,41,797",51.59
